GCCSA_CODE_2016,Pakistan_C06_P,Pakistan_C11_M,Pakistan_C11_F,Pakistan_C11_P,Pakistan_C16_M,Pakistan_C16_F,Pakistan_C16_P,Philippines_C06_M,Philippines_C06_F,Philippines_C06_P,Philippines_C11_M,Philippines_C11_F,Philippines_C11_P,Philippines_C16_M,Philippines_C16_F,Philippines_C16_P,Poland_C06_M,Poland_C06_F,Poland_C06_P,Poland_C11_M,Poland_C11_F,Poland_C11_P,Poland_C16_M,Poland_C16_F,Poland_C16_P,Singapore_C06_M,Singapore_C06_F,Singapore_C06_P,Singapore_C11_M,Singapore_C11_F,Singapore_C11_P,Singapore_C16_M,Singapore_C16_F,Singapore_C16_P,South_Africa_C06_M,South_Africa_C06_F,South_Africa_C06_P,South_Africa_C11_M,South_Africa_C11_F,South_Africa_C11_P,South_Africa_C16_M,South_Africa_C16_F,South_Africa_C16_P,Sri_Lanka_C06_M,Sri_Lanka_C06_F,Sri_Lanka_C06_P,Sri_Lanka_C11_M,Sri_Lanka_C11_F,Sri_Lanka_C11_P,Sri_Lanka_C16_M,Sri_Lanka_C16_F,Sri_Lanka_C16_P,Thailand_C06_M,Thailand_C06_F,Thailand_C06_P,Thailand_C11_M,Thailand_C11_F,Thailand_C11_P,Thailand_C16_M,Thailand_C16_F,Thailand_C16_P,F_Y_R_o_Macedonia_C06_M,F_Y_R_o_Macedonia_C06_F,F_Y_R_o_Macedonia_C06_P,F_Y_R_o_Macedonia_C11_M,F_Y_R_o_Macedonia_C11_F,F_Y_R_o_Macedonia_C11_P,F_Y_R_o_Macedonia_C16_M,F_Y_R_o_Macedonia_C16_F,F_Y_R_o_Macedonia_C16_P,Turkey_C06_M,Turkey_C06_F,Turkey_C06_P,Turkey_C11_M,Turkey_C11_F,Turkey_C11_P,Turkey_C16_M,Turkey_C16_F,Turkey_C16_P,Unitd_Kingdom_C06_M,Unitd_Kingdom_C06_F,Unitd_Kingdom_C06_P,Unitd_Kingdom_C11_M,Unitd_Kingdom_C11_F,Unitd_Kingdom_C11_P,Unitd_Kingdom_C16_M,Unitd_Kingdom_C16_F,Unitd_Kingdom_C16_P,Unit_Sts_Amer_C06_M,Unit_Sts_Amer_C06_F,Unit_Sts_Amer_C06_P,Unit_Sts_Amer_C11_M,Unit_Sts_Amer_C11_F,Unit_Sts_Amer_C11_P,Unit_Sts_Amer_C16_M,Unit_Sts_Amer_C16_F,Unit_Sts_Amer_C16_P,Vietnam_C06_M,Vietnam_C06_F,Vietnam_C06_P,Vietnam_C11_M,Vietnam_C11_F,Vietnam_C11_P,Vietnam_C16_M,Vietnam_C16_F,Vietnam_C16_P,Zimbabwe_C06_M,Zimbabwe_C06_F,Zimbabwe_C06_P,Zimbabwe_C11_M,Zimbabwe_C11_F,Zimbabwe_C11_P,Zimbabwe_C16_M,Zimbabwe_C16_F,Zimbabwe_C16_P,Born_elsewhere_C06_M,Born_elsewhere_C06_F,Born_elsewhere_C06_P,Born_elsewhere_C11_M,Born_elsewhere_C11_F,Born_elsewhere_C11_P,Born_elsewhere_C16_M,Born_elsewhere_C16_F,Born_elsewhere_C16_P,Country_birt_ns_C06_M,Country_birt_ns_C06_F,Country_birt_ns_C06_P,Country_birt_ns_C11_M,Country_birt_ns_C11_F,Country_birt_ns_C11_P,Country_birt_ns_C16_M,Country_birt_ns_C16_F,Country_birt_ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
9OTER,0,23,0,23,8,0,8,0,3,3,9,3,13,23,42,68,0,0,3,0,0,3,0,0,0,31,15,51,37,21,54,37,18,51,0,0,3,6,4,7,20,15,34,0,0,0,4,0,3,3,0,3,0,4,4,5,6,17,8,13,24,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,32,22,58,34,32,62,77,59,137,3,3,3,0,3,5,6,6,12,0,0,0,3,0,5,26,3,24,0,0,0,0,0,4,0,3,4,14,13,27,151,11,166,96,33,126,115,47,161,227,71,294,316,256,570,1237,1053,2290,1958,1043,3004,2432,2090,4523
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,0,11,0,0,0,3,3,9,22,4,25,7,19,26,21,28,55
8ACTE,539,627,453,1083,1143,855,1993,587,1066,1656,902,1520,2417,1492,2303,3789,467,610,1080,422,602,1026,401,545,942,332,386,717,449,474,921,494,532,1026,517,545,1059,819,813,1631,986,1019,2008,779,825,1604,1107,1154,2267,1366,1411,2774,291,483,769,381,661,1048,439,860,1302,188,184,373,192,179,372,197,203,405,103,78,175,122,97,212,128,98,231,8131,7958,16095,8191,7880,16079,7919,7628,15550,948,1021,1975,1154,1246,2402,1340,1436,2775,1100,1263,2364,1351,1605,2958,1468,1876,3340,161,164,327,263,269,538,300,319,623,6703,7226,13922,8176,8787,16965,9880,10568,20452,8936,8215,17150,8477,7321,15804,11068,11067,22131,159282,164043,323325,176414,180170,356586,195432,201425,396857
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,3,4,9,11,3,4,9,0,6,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,29,21,15,29,12,8,18,5,9,13,3,7,8,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,15,39,20,18,35,16,12,32,39,24,63,33,16,41,45,23,64,371,337,709,328,305,630,312,228,538
7RNTE,12,23,9,28,24,14,39,119,287,404,248,430,676,352,582,927,10,13,26,20,18,41,10,17,29,60,22,86,22,19,40,24,17,36,99,94,192,143,135,281,132,134,262,34,29,57,43,38,76,79,70,141,16,68,82,20,82,103,33,116,144,5,3,12,3,3,7,8,6,10,7,0,6,6,3,7,3,3,9,872,810,1686,833,786,1624,796,722,1523,438,328,765,392,306,706,415,350,762,39,35,75,54,49,99,76,84,165,54,59,114,120,138,255,124,128,251,489,427,915,632,641,1273,780,748,1528,3437,2856,6296,3009,2362,5369,4845,4327,9175,43170,41743,84910,45506,43870,89374,45287,44157,89443
7GDAR,69,106,52,157,200,111,312,528,939,1460,1165,1733,2890,2194,2771,4963,30,43,77,31,29,59,49,47,92,72,105,176,75,119,194,115,145,259,121,126,249,237,229,468,336,284,618,114,96,213,205,165,374,329,308,635,108,311,422,150,472,622,223,586,805,5,0,10,14,4,14,10,4,13,11,6,22,19,12,28,29,14,42,2294,2064,4352,2401,2246,4647,2700,2360,5066,169,143,308,177,168,348,228,212,438,231,242,474,267,299,566,333,436,768,73,89,167,152,170,325,209,219,420,2135,2011,4146,2727,2403,5125,3667,3483,7143,6389,5224,11614,7376,5725,13109,9013,6999,16010,55086,50909,105992,62895,57687,120586,71889,64939,136828
79799,0,0,0,0,0,0,0,0,0,0,7,0,7,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,4,0,0,0,8,3,12,6,3,9,4,4,4,78,17,94,90,19,107,61,14,70
79499,0,0,0,0,0,0,0,0,4,4,4,5,6,3,4,6,0,0,0,4,0,4,0,4,4,0,0,0,0,3,6,3,0,3,4,0,4,6,3,9,3,0,5,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,70,130,67,74,144,62,80,138,3,5,9,3,3,3,3,6,11,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,15,33,38,31,66,33,35,67,148,120,272,156,92,247,386,317,702,1043,863,1901,1017,850,1870,1332,1157,2489
