GCCSA_CODE_2016,Spks_Engl_only_C06_M,Spks_Engl_only_C06_F,Spks_Engl_only_C06_P,Spks_Engl_only_C11_M,Spks_Engl_only_C11_F,Spks_Engl_only_C11_P,Spks_Engl_only_C16_M,Spks_Engl_only_C16_F,Spks_Engl_only_C16_P,SOL_Afrik_C06_M,SOL_Afrik_C06_F,SOL_Afrik_C06_P,SOL_Afrik_C11_M,SOL_Afrik_C11_F,SOL_Afrik_C11_P,SOL_Afrik_C16_M,SOL_Afrik_C16_F,SOL_Afrik_C16_P,SOL_Arabic_C06_M,SOL_Arabic_C06_F,SOL_Arabic_C06_P,SOL_Arabic_C11_M,SOL_Arabic_C11_F,SOL_Arabic_C11_P,SOL_Arabic_C16_M,SOL_Arabic_C16_F,SOL_Arabic_C16_P,SOL_Aus_In_La_C06_M,SOL_Aus_In_La_C06_F,SOL_Aus_In_La_C06_P,SOL_Aus_In_La_C11_M,SOL_Aus_In_La_C11_F,SOL_Aus_In_La_C11_P,SOL_Aus_In_La_C16_M,SOL_Aus_In_La_C16_F,SOL_Aus_In_La_C16_P,SOL_Bengali_C06_M,SOL_Bengali_C06_F,SOL_Bengali_C06_P,SOL_Bengali_C11_M,SOL_Bengali_C11_F,SOL_Bengali_C11_P,SOL_Bengali_C16_M,SOL_Bengali_C16_F,SOL_Bengali_C16_P,SOL_Canton_C06_M,SOL_Canton_C06_F,SOL_Canton_C06_P,SOL_Canton_C11_M,SOL_Canton_C11_F,SOL_Canton_C11_P,SOL_Canton_C16_M,SOL_Canton_C16_F,SOL_Canton_C16_P,SOL_Mandar_C06_M,SOL_Mandar_C06_F,SOL_Mandar_C06_P,SOL_Mandar_C11_M,SOL_Mandar_C11_F,SOL_Mandar_C11_P,SOL_Mandar_C16_M,SOL_Mandar_C16_F,SOL_Mandar_C16_P,SOL_CL_Oth_C06_M,SOL_CL_Oth_C06_F,SOL_CL_Oth_C06_P,SOL_CL_Oth_C11_M,SOL_CL_Oth_C11_F,SOL_CL_Oth_C11_P,SOL_CL_Oth_C16_M,SOL_CL_Oth_C16_F,SOL_CL_Oth_C16_P,SOL_CL_Tot_C06_M,SOL_CL_Tot_C06_F,SOL_CL_Tot_C06_P,SOL_CL_Tot_C11_M,SOL_CL_Tot_C11_F,SOL_CL_Tot_C11_P,SOL_CL_Tot_C16_M,SOL_CL_Tot_C16_F,SOL_CL_Tot_C16_P,SOL_Croatian_C06_M,SOL_Croatian_C06_F,SOL_Croatian_C06_P,SOL_Croatian_C11_M,SOL_Croatian_C11_F,SOL_Croatian_C11_P,SOL_Croatian_C16_M,SOL_Croatian_C16_F,SOL_Croatian_C16_P,SOL_Dut_C06_M,SOL_Dut_C06_F,SOL_Dut_C06_P,SOL_Dut_C11_M,SOL_Dut_C11_F,SOL_Dut_C11_P,SOL_Dut_C16_M,SOL_Dut_C16_F,SOL_Dut_C16_P,SOL_Filipino_C06_M,SOL_Filipino_C06_F,SOL_Filipino_C06_P,SOL_Filipino_C11_M,SOL_Filipino_C11_F,SOL_Filipino_C11_P,SOL_Filipino_C16_M,SOL_Filipino_C16_F,SOL_Filipino_C16_P,SOL_French_C06_M,SOL_French_C06_F,SOL_French_C06_P,SOL_French_C11_M,SOL_French_C11_F,SOL_French_C11_P,SOL_French_C16_M,SOL_French_C16_F,SOL_French_C16_P,SOL_German_C06_M,SOL_German_C06_F,SOL_German_C06_P,SOL_German_C11_M,SOL_German_C11_F,SOL_German_C11_P,SOL_German_C16_M,SOL_German_C16_F,SOL_German_C16_P,SOL_Gre_C06_M,SOL_Gre_C06_F,SOL_Gre_C06_P,SOL_Gre_C11_M,SOL_Gre_C11_F,SOL_Gre_C11_P,SOL_Gre_C16_M,SOL_Gre_C16_F,SOL_Gre_C16_P,SOL_Hindi_C06_M,SOL_Hindi_C06_F,SOL_Hindi_C06_P,SOL_Hindi_C11_M,SOL_Hindi_C11_F,SOL_Hindi_C11_P,SOL_Hindi_C16_M,SOL_Hindi_C16_F,SOL_Hindi_C16_P,SOL_Indon_C06_M,SOL_Indon_C06_F,SOL_Indon_C06_P,SOL_Indon_C11_M,SOL_Indon_C11_F,SOL_Indon_C11_P,SOL_Indon_C16_M,SOL_Indon_C16_F,SOL_Indon_C16_P,SOL_Italian_C06_M,SOL_Italian_C06_F,SOL_Italian_C06_P,SOL_Italian_C11_M,SOL_Italian_C11_F,SOL_Italian_C11_P,SOL_Italian_C16_M,SOL_Italian_C16_F,SOL_Italian_C16_P,SOL_Japanes_C06_M,SOL_Japanes_C06_F,SOL_Japanes_C06_P,SOL_Japanes_C11_M,SOL_Japanes_C11_F,SOL_Japanes_C11_P,SOL_Japanes_C16_M,SOL_Japanes_C16_F,SOL_Japanes_C16_P,SOL_Korean_C06_M,SOL_Korean_C06_F,SOL_Korean_C06_P,SOL_Korean_C11_M,SOL_Korean_C11_F,SOL_Korean_C11_P,SOL_Korean_C16_M,SOL_Korean_C16_F,SOL_Korean_C16_P,SOL_Mac_C06_M,SOL_Mac_C06_F,SOL_Mac_C06_P,SOL_Mac_C11_M,SOL_Mac_C11_F,SOL_Mac_C11_P,SOL_Mac_C16_M,SOL_Mac_C16_F,SOL_Mac_C16_P,SOL_Pe_in_Da_C06_M,SOL_Pe_in_Da_C06_F,SOL_Pe_in_Da_C06_P,SOL_Pe_in_Da_C11_M,SOL_Pe_in_Da_C11_F,SOL_Pe_in_Da_C11_P,SOL_Pe_in_Da_C16_M,SOL_Pe_in_Da_C16_F,SOL_Pe_in_Da_C16_P,SOL_Polish_C06_M,SOL_Polish_C06_F
9OTER,536,426,955,517,402,920,871,812,1688,0,0,0,3,3,3,6,13,23,3,3,3,3,4,11,0,3,8,0,0,0,18,32,48,12,22,38,0,0,0,0,0,0,0,0,0,70,57,128,76,59,137,44,32,72,167,156,322,125,104,232,170,154,325,22,20,45,18,16,36,19,13,35,256,236,490,222,180,402,234,202,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,0,0,0,0,0,0,5,10,14,0,0,3,0,0,3,3,5,4,0,0,0,4,0,6,12,3,17,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,3,3,5,12,14,23,0,7,6,3,3,4,3,6,4,0,0,0,5,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,9,4,16,4,16,21,20,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,128964,132949,261913,137351,140216,277564,142856,145783,288639,99,90,192,233,238,471,318,334,651,741,650,1386,1273,1144,2414,1579,1448,3029,63,79,140,47,62,111,63,64,124,410,337,750,725,630,1357,1003,935,1941,1395,1481,2877,1630,1840,3475,1810,2043,3854,1699,1925,3620,3032,3623,6656,5745,6643,12395,180,236,412,404,436,839,454,490,953,3275,3640,6916,5068,5898,10969,8011,9183,17195,1223,1305,2526,1181,1218,2398,1083,1188,2272,241,336,580,256,338,592,255,328,585,193,278,474,337,482,819,538,769,1304,498,522,1012,756,844,1594,939,1108,2047,863,940,1804,875,1005,1884,858,1059,1913,1287,1278,2567,1384,1383,2771,1167,1263,2436,701,686,1381,1194,1123,2313,1810,1833,3642,313,397,710,466,546,1012,616,710,1325,1712,1703,3416,1608,1703,3312,1571,1676,3247,277,353,629,384,502,885,481,632,1116,359,444,802,735,803,1540,1155,1218,2367,275,284,558,293,291,579,288,304,593,215,209,423,315,338,657,495,441,933,514,652
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,277,260,536,242,232,475,190,160,355,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,5,3,15,0,3,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,4,8,4,12,18,9,19,11,8,14,0,0,0,0,0,0,0,0,0,16,8,19,18,12,26,10,11,20,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,3,0,0,0,0,4,3,0,0,4,0,0,0,0,0,0,5,5,13,0,0,3,0,0,3,0,3,3,0,0,0,0,0,0,4,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,8,0,0,0,0,0
7RNTE,22783,21565,44341,22794,21097,43893,19714,18588,38304,35,30,63,50,57,106,52,61,109,36,10,45,48,17,60,57,32,84,13695,14484,28180,16026,17153,33179,16327,17211,33536,11,8,16,12,7,17,16,11,22,39,31,69,39,44,78,41,35,75,45,46,96,60,98,158,135,174,303,8,4,13,16,23,34,14,24,35,88,84,171,116,167,276,186,228,421,9,5,20,10,9,19,3,5,11,31,25,54,39,37,77,39,25,69,47,98,151,107,153,261,143,196,344,57,51,107,63,68,126,76,69,147,86,108,197,108,120,232,102,137,237,49,32,78,48,36,84,45,28,69,19,21,43,84,67,154,124,84,204,32,16,50,39,33,69,33,47,79,89,63,154,85,80,166,96,69,169,13,36,46,23,48,65,29,64,95,12,23,33,50,49,106,38,37,76,7,8,12,4,3,7,3,4,12,4,3,8,8,5,9,13,11,26,12,14
7GDAR,42122,39280,81406,45316,42304,87619,48748,44199,92942,21,24,37,95,102,196,91,107,198,122,95,221,153,85,235,180,97,278,450,534,978,565,669,1235,513,619,1129,41,27,68,115,75,188,249,162,413,294,329,626,283,310,593,305,348,654,217,245,463,450,580,1028,810,1041,1849,333,356,686,371,375,747,310,310,620,844,929,1776,1107,1263,2369,1423,1701,3119,9,9,18,21,19,41,22,17,32,58,64,122,74,63,137,74,83,159,192,325,513,397,611,1006,774,922,1699,90,118,212,155,139,294,238,243,483,215,218,436,254,271,530,254,321,580,1300,1104,2406,1488,1273,2762,1693,1474,3174,67,39,113,163,109,273,368,277,647,296,419,718,350,511,869,449,637,1089,311,270,583,284,284,576,307,291,593,44,51,96,45,74,121,232,169,398,18,6,29,73,74,151,151,130,285,3,0,8,6,4,17,8,8,13,7,9,11,14,13,22,71,51,122,38,40
79799,50,15,67,67,11,78,16,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,22,0,22,0,0,3,0,0,0,0,0,0,4,0,4,0,0,0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,797,673,1470,758,671,1429,720,642,1364,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,14,13,33,24,10,32,153,133,290,0,0,0,0,0,0,0,0,0,3,0,3,3,6,8,0,0,0,0,0,0,0,4,6,7,3,8,0,0,0,0,0,0,0,0,3,3,4,4,6,11,21,10,4,10,0,0,0,0,0,0,0,0,0,3,3,6,3,3,12,12,8,18,0,0,0,0,0,0,0,0,6,7,3,6,4,6,17,9,8,20,7,8,22,3,12,16,10,18,22,0,0,3,4,0,4,0,0,0,0,0,0,0,3,4,0,0,0,3,3,6,3,3,7,0,0,0,4,4,8,7,4,10,4,3,9,0,0,0,3,0,4,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
