GCCSA_CODE_2016,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
9OTER,10,0,0,3,0,9,13,0,3,5,0,0,3,0,3,3,8,18,26,9,0,11,11,10,25,152,88,243,853,89,946,543,252,796,394,350,742,1073,318,1390,924,635,1562
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,8,0,0,0,0,4,4,10,0,10,3,0,9,7,6,16
8ACTE,1781,755,1221,1969,740,1489,2228,34,25,61,21,22,47,14,20,39,1196,1413,2604,1265,1526,2795,1214,1948,3163,10192,9435,19619,9896,8546,18441,11723,11300,23021,53642,53984,107630,57545,57119,114663,65071,66374,131450
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,11,14,6,8,14,0,6,6,36,29,65,43,17,64,76,25,105,127,123,244,113,76,194,123,84,211
7RNTE,304,173,293,467,106,191,294,14,18,29,15,5,18,6,4,16,163,295,463,296,430,729,197,262,460,7147,6054,13196,5669,4420,10086,7350,6291,13636,15579,14906,30482,15672,14795,30464,16754,16108,32855
7GDAR,496,219,441,662,275,624,892,8,9,20,12,5,17,16,15,28,242,427,667,336,553,888,409,764,1171,7471,5920,13391,9307,6554,15866,9828,7034,16864,19234,18406,37646,21811,20433,42248,24331,23178,47501
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,15,6,4,11,12,4,13,16,7,17,10,4,12,16,7,23
79499,4,0,6,5,4,4,7,0,0,0,0,0,0,0,0,0,9,5,16,3,5,12,10,14,22,207,152,354,165,115,273,449,379,822,265,204,475,224,181,402,527,450,986
