GCCSA_CODE_2016,C06_1PF_U_N,C06_1PF_U_1_149,C06_1PF_U_150_299,C06_1PF_U_300_399,C06_1PF_U_400_499,C06_1PF_U_500_649,C06_1PF_U_650_799,C06_1PF_U_800_999,C06_1PF_U_1000_1499,C06_1PF_U_1500_1999,C06_1PF_U_2000_2499,C06_1PF_U_2500_2999,C06_1PF_U_3000_3999,C06_1PF_U_4000m,C06_1PF_U_Ns,C06_1PF_U_T,C06_1PF_N_lf_Fi_N,C06_1PF_N_lf_Fi_1_149,C06_1PF_N_lf_Fi_150_299,C06_1PF_N_lf_Fi_300_399,C06_1PF_N_lf_Fi_400_499,C06_1PF_N_lf_Fi_500_649,C06_1PF_N_lf_Fi_650_799,C06_1PF_N_lf_Fi_800_999,C06_1PF_N_lf_Fi_1000_1499,C06_1PF_N_lf_Fi_1500_1999,C06_1PF_N_lf_Fi_2000_2499,C06_1PF_N_lf_Fi_2500_2999,C06_1PF_N_lf_Fi_3000_3999,C06_1PF_N_lf_Fi_4000m,C06_1PF_N_lf_Fi_Ns,C06_1PF_N_lf_T,C06_1PF_LFns_N,C06_1PF_LFns_1_149,C06_1PF_LFns_150_299,C06_1PF_LFns_300_399,C06_1PF_LFns_400_499,C06_1PF_LFns_500_649,C06_1PF_LFns_650_799,C06_1PF_LFns_800_999,C06_1PF_LFns_1000_1499,C06_1PF_LFns_1500_1999,C06_1PF_LFns_2000_2499,C06_1PF_LFns_2500_2999,C06_1PF_LFns_3000_3999,C06_1PF_LFns_4000m,C06_1PF_LFns_Ns,C06_1PF_LF_NS_T,C06_1PF_TFI_N,C06_1PF_TFI_1_149,C06_1PF_TFI_150_299,C06_1PF_TFI_300_399,C06_1PF_TFI_400_499,C06_1PF_TFI_500_649,C06_1PF_TFI_650_799,C06_1PF_TFI_800_999,C06_1PF_TFI_1000_1499,C06_1PF_TFI_1500_1999,C06_1PF_TFI_2000_2499,C06_1PF_TFI_2500_2999,C06_1PF_TFI_3000_3999,C06_1PF_TFI_4000m,C06_1PF_TFI_Ns,C06_1PF_TFI_T,C06_TFI_N,C06_TFI_1_149,C06_TFI_150_299,C06_TFI_300_399,C06_TFI_400_499,C06_TFI_500_649,C06_TFI_650_799,C06_TFI_800_999,C06_TFI_1000_1499,C06_TFI_1500_1999,C06_TFI_2000_2499,C06_TFI_2500_2999,C06_TFI_3000_3999,C06_TFI_4000m,C06_TFI_Ns,C06_T_T,C11_CFNC_BF_N,C11_CFNC_BF_1_149,C11_CFNC_BF_150_299,C11_CFNC_BF_300_399,C11_CFNC_BF_400_499,C11_CFNC_BF_500_649,C11_CFNC_BF_650_799,C11_CFNC_BF_800_999,C11_CFNC_BF_1000_1499,C11_CFNC_BF_1500_1999,C11_CFNC_BF_2000_2499,C11_CFNC_BF_2500_2999,C11_CFNC_BF_3000_3999,C11_CFNC_BF_4000m,C11_CFNC_BF_Ns,C11_CFNC_BF_T,C11_CFNC_BPT_N,C11_CFNC_BPT_1_149,C11_CFNC_BPT_150_299,C11_CFNC_BPT_300_399,C11_CFNC_BPT_400_499,C11_CFNC_BPT_500_649,C11_CFNC_BPT_650_799,C11_CFNC_BPT_800_999,C11_CFNC_BPT_1000_1499,C11_CFNC_BPT_1500_1999,C11_CFNC_BPT_2000_2499,C11_CFNC_BPT_2500_2999,C11_CFNC_BPT_3000_3999,C11_CFNC_BPT_4000m,C11_CFNC_BPT_Ns,C11_CFNC_BPT_T,C11_CFNC_1F1P_N,C11_CFNC_1F1P_1_149,C11_CFNC_1F1P_150_299,C11_CFNC_1F1P_300_399,C11_CFNC_1F1P_400_499,C11_CFNC_1F1P_500_649,C11_CFNC_1F1P_650_799,C11_CFNC_1F1P_800_999,C11_CFNC_1F1P_1000_1499,C11_CFNC_1F1P_1500_1999,C11_CFNC_1F1P_2000_2499,C11_CFNC_1F1P_2500_2999,C11_CFNC_1F1P_3000_3999,C11_CFNC_1F1P_4000m,C11_CFNC_1F1P_Ns,C11_CFNC_1F1P_T,C11_CFNC_1E1A_N,C11_CFNC_1E1A_1_149,C11_CFNC_1E1A_150_299,C11_CFNC_1E1A_300_399,C11_CFNC_1E1A_400_499,C11_CFNC_1E1A_500_649,C11_CFNC_1E1A_650_799,C11_CFNC_1E1A_800_999,C11_CFNC_1E1A_1000_1499,C11_CFNC_1E1A_1500_1999,C11_CFNC_1E1A_2000_2499,C11_CFNC_1E1A_2500_2999,C11_CFNC_1E1A_3000_3999,C11_CFNC_1E1A_4000m,C11_CFNC_1E1A_Ns,C11_CFNC_1E1A_T,C11_CFNC_1F1NW_N,C11_CFNC_1F1NW_1_149,C11_CFNC_1F1NW_150_299,C11_CFNC_1F1NW_300_399,C11_CFNC_1F1NW_400_499,C11_CFNC_1F1NW_500_649,C11_CFNC_1F1NW_650_799,C11_CFNC_1F1NW_800_999,C11_CFNC_1F1NW_1000_1499,C11_CFNC_1F1NW_1500_1999,C11_CFNC_1F1NW_2000_2499,C11_CFNC_1F1NW_2500_2999,C11_CFNC_1F1NW_3000_3999,C11_CFNC_1F1NW_4000m,C11_CFNC_1F1NW_Ns,C11_CFNC_1F1NW_T,C11_CFNC_1P1NW_N,C11_CFNC_1P1NW_1_149,C11_CFNC_1P1NW_150_299,C11_CFNC_1P1NW_300_399,C11_CFNC_1P1NW_400_499,C11_CFNC_1P1NW_500_649,C11_CFNC_1P1NW_650_799,C11_CFNC_1P1NW_800_999,C11_CFNC_1P1NW_1000_1499,C11_CFNC_1P1NW_1500_1999,C11_CFNC_1P1NW_2000_2499,C11_CFNC_1P1NW_2500_2999,C11_CFNC_1P1NW_3000_3999,C11_CFNC_1P1NW_4000m,C11_CFNC_1P1NW_Ns,C11_CFNC_1P1NW_T,C11_CFNC_1A1NW_N,C11_CFNC_1A1NW_1_149,C11_CFNC_1A1NW_150_299,C11_CFNC_1A1NW_300_399,C11_CFNC_1A1NW_400_499,C11_CFNC_1A1NW_500_649,C11_CFNC_1A1NW_650_799,C11_CFNC_1A1NW_800_999,C11_CFNC_1A1NW_1000_1499,C11_CFNC_1A1NW_1500_1999,C11_CFNC_1A1NW_2000_2499,C11_CFNC_1A1NW_2500_2999,C11_CFNC_1A1NW_3000_3999,C11_CFNC_1A1NW_4000m,C11_CFNC_1A1NW_Ns,C11_CFNC_1A1NW_T,C11_CFNC_BA_N,C11_CFNC_BA_1_149,C11_CFNC_BA_150_299,C11_CFNC_BA_300_399,C11_CFNC_BA_400_499,C11_CFNC_BA_500_649,C11_CFNC_BA_650_799,C11_CFNC_BA_800_999
9OTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,4,7,0,3,6,3,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,9,4,5,17,7,0,3,0,0,0,59,6,10,5,9,26,34,32,45,126,72,53,29,20,3,89,555,0,0,0,0,0,0,0,0,4,14,17,11,11,3,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,5,4,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,3,3,9,4,0,5,0,0,0,38,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,12,16,80,106,15,83,24,11,20,7,0,0,0,0,40,406,67,75,378,630,133,660,210,254,482,216,78,44,26,6,385,3640,3,0,0,0,4,10,0,7,14,6,0,3,0,0,93,134,92,138,547,1072,177,1559,1021,1150,2952,1348,537,539,182,24,1457,12792,312,444,751,1359,1919,3948,2819,3839,14979,11837,10451,9549,8409,3200,9345,83164,27,0,3,0,3,10,17,72,445,1067,2802,1704,3360,2109,69,11699,3,0,5,7,4,40,48,142,192,166,195,86,174,63,6,1128,4,0,0,4,3,18,48,130,628,763,824,483,854,316,22,4094,0,0,0,4,0,8,8,18,108,155,237,122,272,167,22,1118,16,3,8,13,36,29,153,218,730,670,353,736,453,105,56,3590,3,13,32,30,67,117,166,214,419,297,232,151,128,46,39,1958,6,4,4,0,6,16,18,28,85,69,61,55,49,12,14,439,0,0,0,0,0,0,3,11
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7RNTE,4,3,50,43,11,28,9,12,13,4,0,0,0,0,16,185,46,44,388,291,155,246,98,108,114,33,3,8,0,0,150,1686,3,4,9,5,3,9,6,3,8,3,3,0,0,0,196,261,60,81,613,474,233,520,285,280,428,122,36,27,9,3,542,3709,130,273,877,613,1679,1863,835,1066,2768,1883,1235,905,580,151,2366,17234,9,0,3,0,0,20,21,69,184,328,519,320,395,166,41,2081,0,0,10,0,3,32,21,32,32,31,19,7,3,4,5,191,7,0,0,0,3,12,7,27,116,128,138,57,86,13,7,605,0,0,0,3,3,6,6,15,17,24,48,24,41,5,9,202,0,0,3,9,11,30,54,51,132,105,35,79,19,3,18,560,0,3,11,15,20,47,31,32,21,16,15,0,3,0,5,223,0,0,3,4,0,12,6,9,17,10,9,6,0,0,10,93,0,0,0,0,0,3,4,0
7GDAR,3,6,23,57,5,45,15,7,9,0,0,4,0,0,28,198,45,30,153,314,47,287,92,73,142,38,3,8,3,0,175,1423,0,0,3,3,0,10,3,3,0,0,0,0,0,0,90,113,58,48,205,485,60,695,533,445,944,291,93,100,22,3,608,4585,152,118,276,566,574,1380,1139,1280,5333,3948,3017,2050,1330,379,3799,25350,16,0,3,0,0,7,15,60,256,648,1217,649,916,382,62,4229,4,0,3,4,0,9,26,44,73,49,50,21,35,15,6,348,11,0,0,0,5,6,23,48,278,315,295,150,189,56,21,1402,0,0,0,0,0,0,11,16,54,84,138,63,101,35,15,509,6,0,0,5,11,3,74,88,296,219,94,152,74,17,38,1095,0,0,6,20,13,38,41,52,71,39,17,30,10,0,7,352,0,0,0,3,3,8,10,7,22,16,16,18,4,3,11,125,3,0,0,0,0,3,0,3
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
