LGA_CODE_2016,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_T_Married_M,C11_T_Married_F,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P,C16_15_19_Married_M,C16_15_19_Married_F,C16_15_19_Sep_M,C16_15_19_Sep_F,C16_15_19_Div_M,C16_15_19_Div_F,C16_15_19_Wid_M,C16_15_19_Wid_F,C16_15_19_Nvr_marrd_M,C16_15_19_Nvr_marrd_F,C16_15_19_T_M,C16_15_19_T_F,C16_15_19_T_P,C16_20_24_Married_M,C16_20_24_Married_F,C16_20_24_Sep_M,C16_20_24_Sep_F,C16_20_24_Div_M,C16_20_24_Div_F,C16_20_24_Wid_M,C16_20_24_Wid_F,C16_20_24_Nvr_marrd_M,C16_20_24_Nvr_marrd_F,C16_20_24_T_M,C16_20_24_T_F,C16_20_24_T_P,C16_25_29_Married_M,C16_25_29_Married_F,C16_25_29_Sep_M,C16_25_29_Sep_F,C16_25_29_Div_M,C16_25_29_Div_F,C16_25_29_Wid_M,C16_25_29_Wid_F,C16_25_29_Nvr_marrd_M,C16_25_29_Nvr_marrd_F,C16_25_29_T_M,C16_25_29_T_F,C16_25_29_T_P,C16_30_34_Married_M,C16_30_34_Married_F,C16_30_34_Sep_M,C16_30_34_Sep_F,C16_30_34_Div_M,C16_30_34_Div_F,C16_30_34_Wid_M,C16_30_34_Wid_F,C16_30_34_Nvr_marrd_M,C16_30_34_Nvr_marrd_F,C16_30_34_T_M,C16_30_34_T_F,C16_30_34_T_P,C16_35_39_Married_M,C16_35_39_Married_F,C16_35_39_Sep_M,C16_35_39_Sep_F,C16_35_39_Div_M,C16_35_39_Div_F,C16_35_39_Wid_M,C16_35_39_Wid_F,C16_35_39_Nvr_marrd_M,C16_35_39_Nvr_marrd_F,C16_35_39_T_M,C16_35_39_T_F,C16_35_39_T_P,C16_40_44_Married_M,C16_40_44_Married_F,C16_40_44_Sep_M,C16_40_44_Sep_F,C16_40_44_Div_M,C16_40_44_Div_F,C16_40_44_Wid_M,C16_40_44_Wid_F,C16_40_44_Nvr_marrd_M,C16_40_44_Nvr_marrd_F,C16_40_44_T_M,C16_40_44_T_F,C16_40_44_T_P,C16_45_49_Married_M,C16_45_49_Married_F,C16_45_49_Sep_M,C16_45_49_Sep_F,C16_45_49_Div_M,C16_45_49_Div_F,C16_45_49_Wid_M,C16_45_49_Wid_F,C16_45_49_Nvr_marrd_M,C16_45_49_Nvr_marrd_F,C16_45_49_T_M,C16_45_49_T_F,C16_45_49_T_P,C16_50_54_Married_M,C16_50_54_Married_F,C16_50_54_Sep_M,C16_50_54_Sep_F,C16_50_54_Div_M,C16_50_54_Div_F,C16_50_54_Wid_M,C16_50_54_Wid_F,C16_50_54_Nvr_marrd_M,C16_50_54_Nvr_marrd_F,C16_50_54_T_M,C16_50_54_T_F,C16_50_54_T_P,C16_55_59_Married_M,C16_55_59_Married_F,C16_55_59_Sep_M,C16_55_59_Sep_F,C16_55_59_Div_M,C16_55_59_Div_F,C16_55_59_Wid_M,C16_55_59_Wid_F,C16_55_59_Nvr_marrd_M,C16_55_59_Nvr_marrd_F,C16_55_59_T_M,C16_55_59_T_F,C16_55_59_T_P,C16_60_64_Married_M,C16_60_64_Married_F,C16_60_64_Sep_M,C16_60_64_Sep_F,C16_60_64_Div_M,C16_60_64_Div_F,C16_60_64_Wid_M,C16_60_64_Wid_F,C16_60_64_Nvr_marrd_M,C16_60_64_Nvr_marrd_F,C16_60_64_T_M,C16_60_64_T_F,C16_60_64_T_P,C16_65_69_Married_M,C16_65_69_Married_F,C16_65_69_Sep_M,C16_65_69_Sep_F,C16_65_69_Div_M,C16_65_69_Div_F,C16_65_69_Wid_M,C16_65_69_Wid_F,C16_65_69_Nvr_marrd_M,C16_65_69_Nvr_marrd_F,C16_65_69_T_M,C16_65_69_T_F,C16_65_69_T_P,C16_70_74_Married_M,C16_70_74_Married_F,C16_70_74_Sep_M,C16_70_74_Sep_F,C16_70_74_Div_M,C16_70_74_Div_F,C16_70_74_Wid_M,C16_70_74_Wid_F,C16_70_74_Nvr_marrd_M,C16_70_74_Nvr_marrd_F,C16_70_74_T_M,C16_70_74_T_F,C16_70_74_T_P,C16_75_79_Married_M,C16_75_79_Married_F,C16_75_79_Sep_M,C16_75_79_Sep_F,C16_75_79_Div_M,C16_75_79_Div_F,C16_75_79_Wid_M,C16_75_79_Wid_F,C16_75_79_Nvr_marrd_M,C16_75_79_Nvr_marrd_F,C16_75_79_T_M,C16_75_79_T_F,C16_75_79_T_P,C16_80_84_Married_M,C16_80_84_Married_F,C16_80_84_Sep_M,C16_80_84_Sep_F,C16_80_84_Div_M,C16_80_84_Div_F,C16_80_84_Wid_M,C16_80_84_Wid_F,C16_80_84_Nvr_marrd_M,C16_80_84_Nvr_marrd_F,C16_80_84_T_M,C16_80_84_T_F,C16_80_84_T_P,C16_85o_Married_M,C16_85o_Married_F
LGA10050,323,743,1065,8856,8896,537,734,1490,2052,482,2045,6968,6455,18327,20180,38510,10,9,0,0,0,0,0,0,1603,1626,1611,1635,3248,53,113,4,11,0,0,0,6,1638,1677,1695,1810,3508,352,529,24,43,6,13,3,0,1182,1065,1569,1657,3222,794,882,42,60,38,64,0,3,755,638,1626,1644,3274,816,899,57,97,78,113,3,5,513,488,1477,1593,3071,894,955,70,109,109,178,3,14,414,378,1497,1638,3136,904,916,101,105,215,282,8,30,394,365,1628,1697,3328,888,942,82,92,245,344,18,36,310,222,1541,1634,3172,1035,1008,65,103,230,379,21,73,234,170,1592,1739,3324,941,955,80,91,255,321,26,107,159,109,1459,1585,3049,913,829,64,59,185,287,44,182,108,60,1316,1418,2731,723,660,28,32,142,180,81,236,48,54,1019,1154,2172,525,420,27,22,84,109,79,338,36,44,746,924,1672,354,256,8,4,35,52,85,386,21,30,501,734,1241,257,124
LGA10130,194,365,561,4984,4996,332,400,726,1042,282,1148,4564,4466,10884,12051,22935,5,0,0,0,0,0,0,0,1255,1300,1254,1302,2560,41,73,0,0,4,0,3,0,1326,1343,1369,1422,2793,213,321,19,18,9,11,0,0,652,579,887,931,1819,390,431,15,34,12,33,0,0,389,338,809,830,1640,384,418,28,35,30,32,3,0,262,273,708,759,1471,426,499,39,56,57,92,3,8,230,215,757,876,1636,502,519,36,53,87,114,3,13,199,196,824,894,1720,564,583,44,62,125,164,4,22,214,161,950,991,1942,560,600,51,57,125,167,16,50,159,141,911,1018,1927,521,504,33,51,129,131,18,48,103,80,799,819,1623,524,433,27,25,117,138,35,106,69,47,776,752,1523,400,380,14,15,57,80,44,137,54,39,572,650,1222,305,246,8,7,37,60,55,189,21,27,422,526,950,195,106,6,9,12,26,56,220,8,8,282,362,647,117,63
LGA10250,519,876,1401,7967,8086,462,583,1444,2064,557,2065,4779,4230,15206,17024,32232,0,0,0,0,0,0,0,0,1247,1133,1245,1133,2384,12,43,0,6,3,0,0,0,766,731,780,788,1571,159,235,9,11,6,11,0,0,628,549,804,809,1616,375,489,22,27,24,38,0,3,506,484,921,1040,1966,516,573,25,50,47,74,3,3,426,377,1021,1074,2089,648,749,60,80,88,161,0,10,398,374,1189,1381,2574,745,836,59,86,127,262,4,21,340,320,1268,1526,2793,835,834,59,107,225,295,19,41,304,261,1436,1534,2972,887,970,100,95,228,379,23,59,268,203,1502,1705,3210,1039,1074,63,76,247,323,35,89,151,122,1535,1692,3226,1086,965,70,61,262,325,44,156,100,71,1566,1574,3139,837,738,23,28,139,185,61,237,71,32,1131,1227,2361,616,504,14,18,85,131,83,321,36,35,832,1000,1837,411,304,10,4,49,62,116,377,24,12,600,768,1367,371,193
LGA10300,10,28,34,470,469,39,34,74,58,26,95,313,236,917,898,1815,0,0,0,0,0,0,0,0,76,56,74,56,135,0,6,0,0,0,0,0,0,74,48,81,56,132,14,28,0,0,0,0,0,0,40,41,57,64,121,21,38,0,3,0,0,0,0,20,27,44,65,112,38,26,0,3,3,9,0,0,29,21,71,56,129,43,52,7,0,4,4,0,0,23,13,75,71,143,38,36,0,0,9,7,0,0,26,8,73,56,128,56,46,0,4,3,12,0,7,20,10,77,77,157,60,67,9,3,9,5,0,5,18,11,93,92,190,70,55,9,3,14,14,0,13,5,8,94,93,194,52,36,0,3,12,8,0,7,10,0,75,60,132,28,18,3,0,5,0,3,12,3,0,43,29,70,14,21,3,0,9,5,3,22,3,0,30,47,74,15,9,3,0,4,0,7,18,4,0,26,31,57,9,3
LGA10470,186,457,647,7130,6927,451,570,1114,1430,345,1347,6145,5063,15191,15335,30521,3,0,0,0,0,4,0,0,1515,1453,1515,1460,2980,56,77,4,8,3,6,0,4,1537,1446,1604,1544,3148,305,385,21,29,13,10,3,3,1125,810,1459,1235,2689,590,628,29,44,24,34,0,3,670,459,1311,1166,2477,625,675,50,75,54,95,3,8,435,294,1167,1146,2308,739,745,60,84,112,179,4,3,370,272,1281,1286,2573,800,810,62,86,139,181,8,37,314,237,1326,1351,2675,740,797,74,82,168,208,5,25,266,207,1249,1317,2565,800,827,71,76,184,257,10,52,197,137,1258,1356,2617,833,758,58,53,160,212,24,78,142,65,1214,1167,2380,734,699,44,47,176,193,45,124,79,57,1074,1117,2195,572,451,30,34,127,114,61,189,56,44,837,832,1667,381,269,17,16,50,66,60,213,29,45,540,612,1151,223,181,4,4,23,36,61,274,22,29,338,529,867,159,76
LGA10550,309,498,803,6760,6767,423,484,1311,1451,458,1500,3878,3323,12832,13528,26358,0,0,0,0,0,0,0,0,914,879,915,879,1792,20,38,0,3,0,0,0,0,599,527,622,569,1189,84,160,8,16,5,12,0,0,457,385,558,569,1126,248,332,12,31,22,29,0,0,341,327,628,718,1353,325,391,22,38,33,48,0,8,280,272,657,755,1414,410,469,57,59,52,109,3,8,278,261,797,900,1705,503,622,60,64,130,167,3,27,321,244,1019,1128,2147,661,740,67,81,184,226,10,36,259,232,1183,1319,2507,838,942,74,78,248,293,20,65,257,238,1434,1613,3054,966,972,69,62,279,289,40,106,196,129,1549,1560,3109,986,893,72,57,287,267,52,142,96,86,1499,1441,2941,752,636,47,23,139,171,68,201,56,30,1064,1062,2121,554,406,19,21,94,82,57,244,35,23,755,771,1527,321,200,9,10,50,39,82,266,26,16,488,528,1018,206,121
LGA10600,127,189,318,2320,2327,185,204,578,748,160,533,1567,1456,4807,5262,10074,0,0,0,0,0,0,0,0,390,332,387,335,719,3,14,0,0,0,0,0,0,194,172,201,188,396,51,79,4,7,0,6,0,0,165,146,217,236,452,88,112,8,12,0,3,0,0,140,127,244,258,503,108,135,4,15,21,24,0,0,133,128,262,299,568,169,198,21,20,35,41,0,7,137,132,362,396,755,200,245,9,38,34,79,0,8,119,108,368,479,848,249,262,33,40,67,106,3,7,103,109,453,521,977,266,301,28,27,104,153,9,19,132,107,536,604,1139,313,304,24,21,111,136,14,34,89,67,543,560,1103,294,264,27,16,97,92,22,60,54,49,495,477,976,250,215,16,10,62,78,15,54,31,21,368,373,748,171,135,12,5,39,41,30,92,4,7,252,280,530,120,74,3,0,25,27,28,99,11,7,193,201,393,61,30
LGA10650,97,161,255,1781,1816,120,136,332,306,137,442,933,675,3301,3366,6669,0,0,0,0,0,0,0,0,219,198,223,198,421,5,10,0,3,0,0,0,0,181,142,185,155,331,39,57,0,6,0,3,0,0,132,127,180,189,375,98,107,3,11,3,4,0,0,92,56,191,180,377,96,138,7,13,9,23,0,0,52,48,171,214,382,144,125,14,16,22,25,0,0,53,62,235,224,463,133,146,8,12,14,40,0,4,61,36,224,235,453,124,163,10,13,36,42,0,5,50,28,223,258,485,166,208,15,24,43,56,4,12,51,23,287,323,611,211,227,17,15,69,52,15,28,40,13,357,341,693,297,242,23,5,66,48,18,45,23,9,432,354,782,191,189,16,7,34,31,17,64,22,12,284,306,590,155,141,5,3,27,8,22,65,12,0,230,219,450,99,54,4,3,10,9,34,73,10,3,147,144,290,70,29
LGA10750,849,1926,2771,59422,59263,3262,4561,6411,9494,2041,8485,41375,35325,112510,117129,229639,32,62,5,9,10,3,7,0,12010,11149,12066,11229,23289,491,1122,23,70,11,31,6,8,11237,9828,11776,11060,22830,3453,5571,140,240,106,158,10,14,8077,6425,11775,12403,24178,8228,9925,316,465,298,402,20,39,4645,3727,13507,14560,28066,9864,9810,385,596,470,682,16,55,2910,2355,13643,13506,27150,8743,8237,455,642,671,1080,22,110,2276,2022,12167,12091,24254,7380,7200,524,631,851,1374,53,188,1966,1618,10780,11012,21791,7009,6662,471,586,1014,1478,88,342,1490,1144,10081,10196,20274,6197,5859,443,542,1041,1488,121,609,1075,812,8884,9310,18193,5510,4992,356,434,928,1245,174,873,558,440,7536,7974,15507,4611,3917,307,313,706,1077,292,1159,321,258,6243,6723,12964,3074,2237,167,168,444,608,285,1275,178,130,4148,4426,8572,1939,1280,104,63,236,330,333,1362,91,72,2705,3101,5812,1065,620,51,32,109,198,339,1336,61,53,1620,2240,3868,646,311
LGA10800,47,102,153,1256,1238,67,62,180,150,85,318,708,515,2289,2290,4582,0,0,0,0,0,0,0,0,167,168,167,169,333,7,14,0,0,0,0,0,0,139,112,143,121,267,30,54,0,0,0,0,0,0,106,82,132,136,271,78,93,7,6,3,8,0,0,69,52,160,156,319,100,109,4,7,0,4,0,0,47,38,155,167,318,118,118,15,5,10,21,0,4,43,32,183,176,361,96,129,7,6,20,16,3,0,29,20,151,175,325,127,135,14,4,26,18,0,3,43,18,209,175,385,155,169,8,13,29,24,5,12,44,8,243,227,468,141,123,15,11,27,31,0,10,26,17,210,184,393,130,130,10,9,17,12,6,30,16,6,179,183,363,112,64,4,3,13,11,11,32,5,3,149,118,264,74,74,3,3,10,4,21,58,5,3,109,143,249,64,45,0,0,7,4,20,49,3,4,91,102,194,45,23
