LGA_CODE_2016,Per_age_15ov_C06_M,Per_age_15ov_C06_F,Per_age_15ov_C06_P,Per_age_15ov_C11_M,Per_age_15ov_C11_F,Per_age_15ov_C11_P,Per_age_15ov_C16_M,Per_age_15ov_C16_F,Per_age_15ov_C16_P,Lfs_Em_FT_C06_M,Lfs_Em_FT_C06_F,Lfs_Em_FT_C06_P,Lfs_Em_FT_C11_M,Lfs_Em_FT_C11_F,Lfs_Em_FT_C11_P,Lfs_Em_FT_C16_M,Lfs_Em_FT_C16_F,Lfs_Em_FT_C16_P,Lfs_Em_PT_C06_M,Lfs_Em_PT_C06_F,Lfs_Em_PT_C06_P,Lfs_Em_PT_C11_M,Lfs_Em_PT_C11_F,Lfs_Em_PT_C11_P,Lfs_Em_PT_C16_M,Lfs_Em_PT_C16_F,Lfs_Em_PT_C16_P,Lfs_Em_AFWr_C06_M,Lfs_Em_AFWr_C06_F,Lfs_Em_AFWr_C06_P,Lfs_Em_AFWr_C11_M,Lfs_Em_AFWr_C11_F,Lfs_Em_AFWr_C11_P,Lfs_Em_AFWr_C16_M,Lfs_Em_AFWr_C16_F,Lfs_Em_AFWr_C16_P,Lfs_Unem_LFW_C06_M,Lfs_Unem_LFW_C06_F,Lfs_Unem_LFW_C06_P,Lfs_Unem_LFW_C11_M,Lfs_Unem_LFW_C11_F,Lfs_Unem_LFW_C11_P,Lfs_Unem_LFW_C16_M,Lfs_Unem_LFW_C16_F,Lfs_Unem_LFW_C16_P,Lfs_Tot_LForc_C06_M,Lfs_Tot_LForc_C06_F,Lfs_Tot_LForc_C06_P,Lfs_Tot_LForc_C11_M,Lfs_Tot_LForc_C11_F,Lfs_Tot_LForc_C11_P,Lfs_Tot_LForc_C16_M,Lfs_Tot_LForc_C16_F,Lfs_Tot_LForc_C16_P,N_LForc_C06_M,N_LForc_C06_F,N_LForc_C06_P,N_LForc_C11_M,N_LForc_C11_F,N_LForc_C11_P,N_LForc_C16_M,N_LForc_C16_F,N_LForc_C16_P,Pcnt_Unemp_C06_M,Pcnt_Unemp_C06_F,Pcnt_Unemp_C06_P,Pcnt_Unemp_C11_M,Pcnt_Unemp_C11_F,Pcnt_Unemp_C11_P,Pcnt_Unemp_C16_M,Pcnt_Unemp_C16_F,Pcnt_Unemp_C16_P,Pcnt_LForc_prt_C06_M,Pcnt_LForc_prt_C06_F,Pcnt_LForc_prt_C06_P,Pcnt_LForc_prt_C11_M,Pcnt_LForc_prt_C11_F,Pcnt_LForc_prt_C11_P,Pcnt_LForc_prt_C16_M,Pcnt_LForc_prt_C16_F,Pcnt_LForc_prt_C16_P,Pcnt_Emp_to_pop_C06_M,Pcnt_Emp_to_pop_C06_F,Pcnt_Emp_to_pop_C06_P,Pcnt_Emp_to_pop_C11_M,Pcnt_Emp_to_pop_C11_F,Pcnt_Emp_to_pop_C11_P,Pcnt_Emp_to_pop_C16_M,Pcnt_Emp_to_pop_C16_F,Pcnt_Emp_to_pop_C16_P,No_sc_qu_Po_De_C06_M,No_sc_qu_Po_De_C06_F,No_sc_qu_Po_De_C06_P,No_sc_qu_Po_De_C11_M,No_sc_qu_Po_De_C11_F,No_sc_qu_Po_De_C11_P,No_sc_qu_Po_De_C16_M,No_sc_qu_Po_De_C16_F,No_sc_qu_Po_De_C16_P,N_s_q_Gr_D_G_Ce_C06_M,N_s_q_Gr_D_G_Ce_C06_F,N_s_q_Gr_D_G_Ce_C06_P,N_s_q_Gr_D_G_Ce_C11_M,N_s_q_Gr_D_G_Ce_C11_F,N_s_q_Gr_D_G_Ce_C11_P,N_s_q_Gr_D_G_Ce_C16_M,N_s_q_Gr_D_G_Ce_C16_F,N_s_q_Gr_D_G_Ce_C16_P,N_s_q_BD_C06_M,N_s_q_BD_C06_F,N_s_q_BD_C06_P,N_s_q_BD_C11_M,N_s_q_BD_C11_F,N_s_q_BD_C11_P,N_s_q_BD_C16_M,N_s_q_BD_C16_F,N_s_q_BD_C16_P,N_s_q_AdDip_DL_C06_M,N_s_q_AdDip_DL_C06_F,N_s_q_AdDip_DL_C06_P,N_s_q_AdDip_DL_C11_M,N_s_q_AdDip_DL_C11_F,N_s_q_AdDip_DL_C11_P,N_s_q_AdDip_DL_C16_M,N_s_q_AdDip_DL_C16_F,N_s_q_AdDip_DL_C16_P,N_s_q_Cert_III_IV_C06_M,N_s_q_Cert_III_IV_C06_F,N_s_q_Cert_III_IV_C06_P,N_s_q_Cert_III_IV_C11_M,N_s_q_Cert_III_IV_C11_F,N_s_q_Cert_III_IV_C11_P,N_s_q_Cert_III_IV_C16_M,N_s_q_Cert_III_IV_C16_F,N_s_q_Cert_III_IV_C16_P,N_s_q_Cert_I_II_C06_M,N_s_q_Cert_I_II_C06_F,N_s_q_Cert_I_II_C06_P,N_s_q_Cert_I_II_C11_M,N_s_q_Cert_I_II_C11_F,N_s_q_Cert_I_II_C11_P,N_s_q_Cert_I_II_C16_M,N_s_q_Cert_I_II_C16_F,N_s_q_Cert_I_II_C16_P,N_s_q_Cert_Lev_nfd_C06_M,N_s_q_Cert_Lev_nfd_C06_F,N_s_q_Cert_Lev_nfd_C06_P,N_s_q_Cert_Lev_nfd_C11_M,N_s_q_Cert_Lev_nfd_C11_F,N_s_q_Cert_Lev_nfd_C11_P,N_s_q_Cert_Lev_nfd_C16_M,N_s_q_Cert_Lev_nfd_C16_F,N_s_q_Cert_Lev_nfd_C16_P,N_s_q_Cert_Lev_Tot_C06_M,N_s_q_Cert_Lev_Tot_C06_F,N_s_q_Cert_Lev_Tot_C06_P,N_s_q_Cert_Lev_Tot_C11_M,N_s_q_Cert_Lev_Tot_C11_F,N_s_q_Cert_Lev_Tot_C11_P,N_s_q_Cert_Lev_Tot_C16_M,N_s_q_Cert_Lev_Tot_C16_F,N_s_q_Cert_Lev_Tot_C16_P,Mi_Liv_SA_1yr_ag_C06_M,Mi_Liv_SA_1yr_ag_C06_F,Mi_Liv_SA_1yr_ag_C06_P,Mi_Liv_SA_1yr_ag_C11_M,Mi_Liv_SA_1yr_ag_C11_F,Mi_Liv_SA_1yr_ag_C11_P,Mi_Liv_SA_1yr_ag_C16_M,Mi_Liv_SA_1yr_ag_C16_F,Mi_Liv_SA_1yr_ag_C16_P,Mi_Liv_DA_1yr_ag_C06_M,Mi_Liv_DA_1yr_ag_C06_F,Mi_Liv_DA_1yr_ag_C06_P,Mi_Liv_DA_1yr_ag_C11_M,Mi_Liv_DA_1yr_ag_C11_F,Mi_Liv_DA_1yr_ag_C11_P,Mi_Liv_DA_1yr_ag_C16_M,Mi_Liv_DA_1yr_ag_C16_F,Mi_Liv_DA_1yr_ag_C16_P,Mi_Liv_SA_5yrs_ag_C06_M,Mi_Liv_SA_5yrs_ag_C06_F,Mi_Liv_SA_5yrs_ag_C06_P,Mi_Liv_SA_5yrs_ag_C11_M,Mi_Liv_SA_5yrs_ag_C11_F,Mi_Liv_SA_5yrs_ag_C11_P,Mi_Liv_SA_5yrs_ag_C16_M,Mi_Liv_SA_5yrs_ag_C16_F,Mi_Liv_SA_5yrs_ag_C16_P,Mi_Liv_DA_5yrs_ag_C06_M,Mi_Liv_DA_5yrs_ag_C06_F,Mi_Liv_DA_5yrs_ag_C06_P,Mi_Liv_DA_5yrs_ag_C11_M,Mi_Liv_DA_5yrs_ag_C11_F,Mi_Liv_DA_5yrs_ag_C11_P,Mi_Liv_DA_5yrs_ag_C16_M,Mi_Liv_DA_5yrs_ag_C16_F,Mi_Liv_DA_5yrs_ag_C16_P
LGA10050,17573,19171,36742,18327,20180,38510,19759,21704,41468,8900,4545,13441,8912,4889,13795,8745,4856,13599,1839,4896,6731,1963,5234,7196,2345,5738,8084,654,685,1339,684,748,1441,534,691,1224,715,671,1385,720,657,1378,896,787,1684,12103,10793,22896,12279,11530,23810,12515,12071,24587,4427,7419,11842,5081,7738,12820,5767,8087,13853,5.9,6.2,6,5.9,5.7,5.8,7.2,6.5,6.8,68.9,56.3,62.3,67,57.1,61.8,63.3,55.6,59.3,64.8,52.8,58.5,63.1,53.9,58.2,58.8,52,55.2,264,193,458,391,359,758,466,578,1047,197,373,571,249,446,697,304,546,843,1369,1987,3351,1580,2474,4052,1773,2935,4703,970,1407,2371,1087,1684,2771,1395,2133,3530,4404,1708,6105,4879,2308,7186,5437,2897,8334,241,422,669,232,474,713,211,430,644,189,411,608,198,399,595,311,575,888,4837,2542,7381,5317,3178,8497,5964,3903,9869,17176,18300,35479,18104,19298,37402,18123,19387,37515,3758,4231,7988,3563,4143,7704,3903,4273,8177,10798,11461,22254,11741,12458,24198,11898,12578,24473,8755,9728,18483,8431,9453,17890,9166,10268,19440
LGA10130,10469,11504,21976,10884,12051,22935,11545,12567,24115,4303,2601,6903,4461,2788,7252,4335,2793,7126,1285,2601,3887,1419,2759,4180,1585,2875,4459,379,368,753,357,408,767,325,407,736,550,477,1032,520,429,953,554,476,1032,6522,6055,12578,6761,6386,13148,6806,6551,13359,3345,4886,8230,3453,4940,8397,3810,5021,8834,8.4,7.9,8.2,7.7,6.7,7.2,8.1,7.3,7.7,62.3,52.6,57.2,62.1,53,57.3,59,52.1,55.4,57,48.4,52.5,57.3,49.4,53.2,54.1,48.3,51.1,644,443,1085,734,584,1319,921,824,1741,117,252,369,147,341,486,193,380,571,1043,1483,2523,1159,1716,2876,1261,2023,3285,508,919,1426,562,946,1509,628,1100,1729,1892,766,2659,2130,1041,3175,2270,1209,3482,136,252,388,126,238,364,128,203,327,136,261,398,133,283,419,182,331,507,2169,1274,3442,2390,1569,3962,2575,1741,4317,10112,10686,20796,10398,11017,21419,10305,10815,21117,2420,2725,5147,2421,2806,5231,2385,2829,5215,6317,6682,12997,6706,7114,13819,6707,7047,13750,5401,6006,11407,5327,5944,11272,5522,6145,11664
LGA10250,14827,16423,31247,15206,17024,32232,16498,18363,34860,5798,3275,9075,5732,3340,9075,5843,3540,9382,2085,4046,6128,2138,4313,6448,2467,4676,7140,505,507,1010,516,550,1068,444,494,939,671,600,1269,613,505,1112,623,459,1086,9058,8424,17485,8996,8712,17711,9380,9169,18550,5036,7153,12196,5491,7576,13071,5851,7788,13639,7.4,7.1,7.3,6.8,5.8,6.3,6.6,5,5.9,61.1,51.3,56,59.2,51.2,54.9,56.9,49.9,53.2,56.6,47.7,51.9,55.1,48.2,51.5,53.1,47.4,50.1,314,238,553,361,356,715,511,559,1071,170,300,473,217,336,551,295,452,741,1441,1771,3207,1679,2271,3948,1940,2792,4734,877,1471,2350,1017,1701,2716,1236,2086,3324,3799,1306,5108,3986,1754,5746,4358,2024,6380,153,296,448,158,309,463,133,295,430,199,404,609,207,411,621,337,606,938,4151,2015,6163,4351,2481,6824,4826,2925,7753,14525,15771,30299,15160,16527,31685,15336,16332,31664,3003,3232,6231,2710,3026,5737,2919,3297,6219,9006,9796,18803,10097,10929,21024,10085,10890,20968,7535,8223,15757,6738,7649,14394,7474,8179,15652
LGA10300,976,946,1926,917,898,1815,922,879,1801,525,250,774,458,220,674,419,194,614,73,207,280,86,187,272,93,212,302,50,37,84,46,36,84,37,29,63,24,33,60,25,20,46,30,28,55,671,527,1197,611,464,1077,577,456,1041,216,354,569,223,372,593,230,321,552,3.6,6.3,5,4.1,4.3,4.3,5.2,6.1,5.3,68.8,55.7,62.1,66.6,51.7,59.3,62.6,51.9,57.8,66.4,52.2,59.1,64.3,49.3,56.7,59.5,49.5,54.4,0,10,11,4,5,7,9,15,21,5,11,16,3,13,13,0,10,13,27,64,90,35,59,89,33,63,94,26,41,69,26,51,70,26,60,80,147,62,205,161,86,245,169,88,250,11,6,18,9,13,22,9,16,26,11,13,17,3,16,20,4,12,19,167,78,245,175,112,287,188,113,300,1055,960,2009,945,895,1836,914,848,1761,130,140,261,110,135,243,114,118,236,762,687,1452,693,641,1330,669,609,1274,310,337,647,294,317,607,295,305,604
LGA10470,14174,14326,28501,15191,15335,30521,16480,16703,33181,6529,3500,10032,7089,3861,10952,6989,4178,11165,1454,3612,5066,1608,3909,5523,1781,4144,5923,531,551,1077,517,540,1057,478,606,1079,544,516,1065,518,479,988,645,518,1162,9060,8178,17242,9728,8792,18521,9893,9437,19332,4532,5553,10086,4663,5779,10447,5396,6023,11424,6,6.3,6.2,5.3,5.4,5.3,6.5,5.5,6,63.9,57.1,60.5,64,57.3,60.7,60,56.5,58.3,60.1,53.5,56.8,60.7,54.2,57.4,56.1,53.5,54.8,308,217,522,364,321,689,454,499,951,133,244,376,152,311,466,226,424,645,1035,1662,2690,1209,1918,3132,1372,2382,3759,636,1083,1712,853,1248,2095,1023,1651,2672,3512,1205,4714,3968,1702,5666,4459,2048,6508,163,352,509,170,356,523,169,358,526,195,425,622,189,445,635,266,558,818,3872,1971,5850,4331,2499,6828,4892,2963,7856,13364,13785,27150,14560,14900,29462,14901,15366,30271,2956,3198,6157,2950,3180,6134,2964,3144,6112,8176,8358,16529,9351,9458,18808,9605,9773,19380,7053,7604,14657,6998,7477,14472,7427,7992,15418
LGA10550,12215,12783,25005,12832,13528,26358,13549,14437,27994,4574,2217,6791,4596,2399,6998,4458,2497,6957,1616,3192,4808,1712,3400,5112,1792,3508,5298,476,388,868,450,484,934,437,461,895,557,382,938,483,345,825,418,329,750,7217,6184,13399,7239,6626,13870,7101,6795,13905,4422,6000,10424,4951,6218,11169,5406,6542,11948,7.7,6.2,7,6.7,5.2,5.9,5.9,4.8,5.4,59.1,48.4,53.6,56.4,49,52.6,52.4,47.1,49.7,54.6,45.3,49.9,52.7,46.4,49.5,49.4,44.8,47,152,141,290,223,205,427,311,345,651,132,230,365,176,344,518,188,406,598,819,1161,1987,1012,1464,2473,1124,1821,2947,672,998,1671,743,1202,1942,893,1444,2331,3345,1123,4476,3644,1395,5040,3846,1649,5493,111,259,371,119,291,413,127,309,437,167,313,471,157,346,505,250,482,730,3619,1696,5315,3930,2031,5961,4230,2445,6669,12345,12693,25039,12707,13181,25894,12652,13183,25834,2182,2334,4517,2149,2297,4449,2013,2192,4205,8029,8118,16149,8812,8932,17743,8952,9121,18070,5735,6192,11926,5279,5754,11031,5190,5741,10929
LGA10600,4784,5127,9914,4807,5262,10074,5030,5433,10465,1501,823,2322,1516,887,2407,1508,880,2386,656,1220,1879,740,1345,2085,834,1369,2210,170,138,308,143,136,283,138,162,298,292,235,529,232,183,416,226,160,378,2613,2412,5025,2640,2554,5193,2697,2574,5273,1917,2442,4353,1994,2549,4548,1993,2499,4489,11.2,9.7,10.5,8.8,7.2,8,8.4,6.2,7.2,54.6,47,50.7,54.9,48.5,51.5,53.6,47.4,50.4,48.6,42.5,45.5,49.9,45,47.4,49.3,44.4,46.8,77,77,158,107,131,238,129,184,314,51,110,162,61,149,215,74,154,228,384,538,920,420,709,1127,505,896,1405,259,474,736,317,516,832,363,607,975,1235,434,1675,1363,561,1926,1368,600,1970,41,92,131,44,91,137,63,92,153,47,111,161,47,132,176,95,177,271,1326,639,1967,1452,788,2245,1526,872,2401,4897,5117,10011,4970,5275,10244,4752,5071,9817,863,958,1823,852,952,1804,845,937,1780,3260,3360,6627,3451,3586,7038,3348,3476,6827,2180,2398,4577,2014,2312,4323,2029,2285,4314
LGA10650,3194,3248,6436,3301,3366,6669,3483,3532,7018,1539,710,2244,1420,651,2076,1271,621,1895,277,759,1033,293,773,1071,309,822,1132,163,112,282,140,139,271,140,120,258,84,73,155,83,77,158,92,74,165,2062,1662,3719,1935,1635,3570,1814,1633,3450,1005,1465,2470,1175,1512,2687,1321,1543,2864,4.1,4.4,4.2,4.3,4.7,4.4,5.1,4.5,4.8,64.6,51.2,57.8,58.6,48.6,53.5,52.1,46.2,49.2,62,48.7,55.3,56.1,46.4,51.3,49.4,44.3,46.8,14,13,25,13,21,36,18,35,53,9,34,41,16,44,56,16,48,67,130,247,380,149,284,434,160,333,494,136,211,352,165,232,398,185,275,460,788,297,1084,814,382,1197,893,464,1355,16,59,70,25,62,87,24,59,82,22,66,92,29,51,83,47,92,133,826,414,1245,869,494,1361,959,612,1565,3251,3224,6480,3279,3323,6595,3230,3215,6438,583,615,1202,513,536,1053,479,534,1013,2076,2036,4110,2358,2358,4712,2269,2264,4533,1533,1617,3144,1221,1270,2483,1269,1325,2600
LGA10750,100383,104502,204888,112510,117129,229639,128170,132134,260306,52013,30121,82142,57801,33817,91623,63968,38436,102402,8865,18883,27745,11396,22493,33887,14754,26539,41295,4504,3666,8170,4174,4113,8286,3745,4023,7771,4512,4092,8605,5223,5089,10309,5909,5998,11907,69900,56759,126658,78586,65506,144091,88377,74994,163377,24492,41826,66319,28431,46297,74727,33296,50446,83745,6.5,7.2,6.8,6.6,7.8,7.2,6.7,8,7.3,69.6,54.3,61.8,69.8,55.9,62.7,69,56.8,62.8,65.1,50.4,57.6,65.2,51.6,58.3,64.3,52.2,58.2,2378,1776,4155,4334,3636,7967,7236,6781,14020,540,817,1357,925,1235,2159,1261,1725,2983,9337,11852,21185,12824,16437,29260,17585,22722,40305,5866,7230,13100,8067,9653,17723,10544,12429,22969,20343,7221,27568,22175,10134,32310,23256,12317,35577,817,1865,2683,1034,2147,3178,1023,2017,3039,1209,2434,3646,1295,2393,3687,2157,3097,5249,22372,11524,33896,24507,14670,39182,26439,17425,43865,108238,110855,219096,122436,125363,247798,131207,134157,265365,16479,17118,33595,17879,18246,36128,21662,21607,43268,70198,72014,142212,81474,83743,165220,86357,88421,174777,44155,46152,90312,47465,49057,96524,57874,58797,116668
LGA10800,2391,2356,4744,2289,2290,4582,2366,2363,4725,1302,538,1836,1243,518,1766,1092,519,1609,183,549,732,188,548,738,233,529,764,121,105,223,102,88,198,84,84,168,74,53,125,43,55,101,60,37,95,1678,1238,2919,1577,1215,2790,1469,1169,2635,612,1014,1625,615,997,1610,626,896,1526,4.4,4.3,4.3,2.7,4.5,3.6,4.1,3.2,3.6,70.2,52.5,61.5,68.9,53.1,60.9,62.1,49.5,55.8,67.2,50.6,58.8,67,50.4,59,59.6,47.9,53.8,14,7,21,14,9,21,11,24,37,6,21,29,16,19,31,13,24,37,101,173,281,96,190,293,107,216,323,58,131,191,78,145,225,86,161,250,519,193,715,542,255,805,590,253,841,30,50,75,26,55,81,21,60,80,42,50,97,25,54,77,43,68,108,592,300,886,598,363,964,651,378,1023,2482,2521,5004,2425,2487,4915,2345,2296,4635,417,414,834,361,331,692,228,263,489,1836,1814,3655,1779,1796,3581,1749,1700,3454,878,930,1808,788,837,1631,701,729,1429
