SA2_MAINCODE_2016,SOL_Polish_C06_P,SOL_Polish_C11_M,SOL_Polish_C11_F,SOL_Polish_C11_P,SOL_Polish_C16_M,SOL_Polish_C16_F,SOL_Polish_C16_P,SOL_Punjabi_C06_M,SOL_Punjabi_C06_F,SOL_Punjabi_C06_P,SOL_Punjabi_C11_M,SOL_Punjabi_C11_F,SOL_Punjabi_C11_P,SOL_Punjabi_C16_M,SOL_Punjabi_C16_F,SOL_Punjabi_C16_P,SOL_Russian_C06_M,SOL_Russian_C06_F,SOL_Russian_C06_P,SOL_Russian_C11_M,SOL_Russian_C11_F,SOL_Russian_C11_P,SOL_Russian_C16_M,SOL_Russian_C16_F,SOL_Russian_C16_P,SOL_Samoan_C06_M,SOL_Samoan_C06_F,SOL_Samoan_C06_P,SOL_Samoan_C11_M,SOL_Samoan_C11_F,SOL_Samoan_C11_P,SOL_Samoan_C16_M,SOL_Samoan_C16_F,SOL_Samoan_C16_P,SOL_Serbian_C06_M,SOL_Serbian_C06_F,SOL_Serbian_C06_P,SOL_Serbian_C11_M,SOL_Serbian_C11_F,SOL_Serbian_C11_P,SOL_Serbian_C16_M,SOL_Serbian_C16_F,SOL_Serbian_C16_P,SOL_Sinhalese_C06_M,SOL_Sinhalese_C06_F,SOL_Sinhalese_C06_P,SOL_Sinhalese_C11_M,SOL_Sinhalese_C11_F,SOL_Sinhalese_C11_P,SOL_Sinhalese_C16_M,SOL_Sinhalese_C16_F,SOL_Sinhalese_C16_P,SOL_Spanish_C06_M,SOL_Spanish_C06_F,SOL_Spanish_C06_P,SOL_Spanish_C11_M,SOL_Spanish_C11_F,SOL_Spanish_C11_P,SOL_Spanish_C16_M,SOL_Spanish_C16_F,SOL_Spanish_C16_P,SOL_Tagalog_C06_M,SOL_Tagalog_C06_F,SOL_Tagalog_C06_P,SOL_Tagalog_C11_M,SOL_Tagalog_C11_F,SOL_Tagalog_C11_P,SOL_Tagalog_C16_M,SOL_Tagalog_C16_F,SOL_Tagalog_C16_P,SOL_Tamil_C06_M,SOL_Tamil_C06_F,SOL_Tamil_C06_P,SOL_Tamil_C11_M,SOL_Tamil_C11_F,SOL_Tamil_C11_P,SOL_Tamil_C16_M,SOL_Tamil_C16_F,SOL_Tamil_C16_P,SOL_Thai_C06_M,SOL_Thai_C06_F,SOL_Thai_C06_P,SOL_Thai_C11_M,SOL_Thai_C11_F,SOL_Thai_C11_P,SOL_Thai_C16_M,SOL_Thai_C16_F,SOL_Thai_C16_P,SOL_Turkish_C06_M,SOL_Turkish_C06_F,SOL_Turkish_C06_P,SOL_Turkish_C11_M,SOL_Turkish_C11_F,SOL_Turkish_C11_P,SOL_Turkish_C16_M,SOL_Turkish_C16_F,SOL_Turkish_C16_P,SOL_Urdu_C06_M,SOL_Urdu_C06_F,SOL_Urdu_C06_P,SOL_Urdu_C11_M,SOL_Urdu_C11_F,SOL_Urdu_C11_P,SOL_Urdu_C16_M,SOL_Urdu_C16_F,SOL_Urdu_C16_P,SOL_Viet_C06_M,SOL_Viet_C06_F,SOL_Viet_C06_P,SOL_Viet_C11_M,SOL_Viet_C11_F,SOL_Viet_C11_P,SOL_Viet_C16_M,SOL_Viet_C16_F,SOL_Viet_C16_P,SOL_Other_C06_M,SOL_Other_C06_F,SOL_Other_C06_P,SOL_Other_C11_M,SOL_Other_C11_F,SOL_Other_C11_P,SOL_Other_C16_M,SOL_Other_C16_F,SOL_Other_C16_P,SOL_Tot_C06_M,SOL_Tot_C06_F,SOL_Tot_C06_P,SOL_Tot_C11_M,SOL_Tot_C11_F,SOL_Tot_C11_P,SOL_Tot_C16_M,SOL_Tot_C16_F,SOL_Tot_C16_P,Lang_spoke_home_NS_C06_M,Lang_spoke_home_NS_C06_F,Lang_spoke_home_NS_C06_P,Lang_spoke_home_NS_C11_M,Lang_spoke_home_NS_C11_F,Lang_spoke_home_NS_C11_P,Lang_spoke_home_NS_C16_M,Lang_spoke_home_NS_C16_F,Lang_spoke_home_NS_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
101021007,0,0,3,0,0,0,0,0,0,0,0,0,0,7,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,7,9,6,3,14,9,4,16,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,22,11,10,21,9,18,26,29,34,67,53,52,106,64,69,130,66,43,103,106,108,215,213,222,439,1188,1154,2342,1690,1668,3356,1955,1916,3872
101021008,32,10,14,24,3,5,14,0,0,0,5,3,8,15,7,19,0,0,0,4,4,4,4,7,8,17,15,26,26,26,50,10,12,25,59,49,100,57,46,101,42,41,92,0,3,4,0,0,0,3,3,6,6,17,21,15,10,22,13,7,21,8,10,14,3,8,12,10,16,24,5,0,3,0,0,3,4,3,4,0,0,0,4,11,15,0,13,20,0,0,7,3,5,9,0,0,3,0,0,0,3,4,6,4,11,20,11,11,18,9,8,18,10,15,28,65,72,138,71,90,157,74,93,167,614,647,1262,580,599,1178,540,574,1112,255,220,480,186,194,377,227,254,475,4579,4669,9245,4237,4362,8602,4073,4172,8247
101021009,47,20,23,44,8,19,26,3,3,9,41,37,80,104,93,198,7,3,12,6,9,20,9,10,15,9,4,15,6,3,10,14,16,25,47,46,98,37,51,89,34,25,60,0,0,0,4,8,16,9,11,21,13,9,29,16,12,33,14,25,35,8,24,36,25,35,62,40,54,93,3,0,5,7,7,14,15,15,36,4,3,12,4,8,15,3,14,20,0,0,0,3,0,3,3,0,6,9,4,11,26,12,39,49,26,79,13,9,28,15,13,25,19,25,40,124,133,257,159,159,320,222,268,495,723,721,1443,943,962,1906,1116,1182,2300,377,373,744,380,255,633,430,391,823,4627,4502,9127,5210,5025,10233,5430,5403,10842
101021010,28,11,12,23,7,7,9,8,4,13,41,28,61,68,53,119,4,9,10,7,3,11,5,7,16,3,3,8,0,4,6,3,4,7,12,7,19,18,3,21,14,10,21,0,3,3,4,9,13,4,3,6,10,8,22,5,13,20,14,15,28,8,16,16,18,18,37,9,18,24,3,3,6,4,3,7,3,3,6,7,5,12,0,4,3,8,9,8,3,0,3,0,0,0,0,0,0,4,0,5,9,5,21,21,10,30,4,7,7,11,13,23,6,12,19,51,35,81,91,68,159,109,91,191,268,251,513,423,393,816,509,467,974,202,141,342,164,114,281,156,131,289,2071,1935,4002,2414,2230,4639,2459,2325,4786
101021011,13,12,14,19,9,21,27,0,0,0,0,0,0,19,17,40,8,10,15,8,10,17,0,3,4,0,0,0,0,0,0,3,0,3,13,8,23,3,8,11,19,19,37,3,0,4,0,0,0,4,8,10,25,16,41,30,24,49,27,24,48,0,0,0,0,3,3,19,16,37,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,10,9,0,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,4,3,3,5,6,5,4,9,51,62,112,64,80,142,94,96,191,284,281,564,318,352,669,484,503,985,372,304,675,397,339,727,835,756,1591,6412,6237,12650,7116,6993,14111,8619,8331,16946
101021012,35,13,12,25,11,8,20,3,10,16,10,3,15,27,28,56,10,10,26,8,12,16,14,13,24,0,0,0,7,6,6,7,0,8,31,35,71,35,33,69,26,33,64,9,11,16,11,8,20,12,11,17,20,24,41,18,16,33,19,28,49,3,14,14,8,15,26,10,19,27,3,0,4,7,6,11,8,4,13,3,8,12,10,15,20,7,14,23,5,0,4,7,3,14,12,9,22,0,0,0,4,11,13,6,9,15,15,12,26,7,12,19,4,6,13,78,70,153,99,111,208,106,111,216,586,602,1189,664,693,1359,658,691,1353,284,252,530,196,168,363,259,252,507,5707,5994,11701,6185,6385,12572,6291,6350,12643
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,5,6,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,21,8,0,4,5,7,9,25,29,53,23,24,50,35,37,68,69,59,126,39,32,74,79,87,171,1254,1286,2538,1223,1196,2419,1207,1188,2390
101031014,10,3,9,7,3,5,9,0,0,0,0,0,0,0,0,3,0,0,0,7,8,13,0,0,4,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,4,3,8,3,6,12,7,6,10,10,9,19,8,7,11,8,9,19,4,3,8,0,3,3,0,5,5,0,10,10,0,0,0,0,0,0,0,0,0,7,9,18,3,4,11,0,9,12,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,4,5,5,3,4,5,3,12,6,9,14,22,30,55,40,51,90,42,50,89,214,208,421,211,251,464,191,260,454,314,168,481,241,130,373,443,277,717,3386,3399,6789,3306,3364,6677,3388,3346,6742
101031015,0,3,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,5,0,0,0,0,0,0,0,0,3,0,0,0,6,5,5,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,29,4,11,21,12,10,22,65,65,130,83,66,152,66,52,117,63,46,105,82,33,117,147,138,285,1401,1353,2757,1645,1532,3175,1691,1596,3280
101031016,6,5,0,7,8,3,10,0,0,0,0,0,0,0,0,0,3,3,10,7,3,8,3,0,7,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,3,4,3,7,3,8,8,3,7,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,7,15,5,14,21,3,4,3,4,10,7,7,4,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,28,24,52,28,34,61,32,30,61,133,123,255,158,158,315,196,197,397,719,528,1243,527,379,901,343,262,605,3458,2945,6406,3568,3095,6664,3725,3228,6951
