SA2_MAINCODE_2016,C11_F_u_a_a_h_FH_One_PFam,C11_F_u_a_a_h_FH_oth_fa,C11_F_u_a_a_h_FH_Tot,C11_F_u_a_a_h_LP_H,C11_F_u_a_a_h_GH,C11_F_u_a_a_h_OH,C11_F_u_a_a_h_Tot,C11_F_u_a_T_FH_CF_no_ch,C11_F_u_a_T_FH_CF_w_ch,C11_F_u_a_T_FH_One_PFam,C11_F_u_a_T_FH_oth_fa,C11_F_u_a_T_FH_Tot,C11_F_u_a_T_LP_H,C11_F_u_a_T_GH,C11_F_u_a_T_OH,C11_F_u_a_T_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_T_FH_CF_no_ch,C11_OD_T_FH_CF_w_ch,C11_OD_T_FH_One_PFam,C11_OD_T_FH_oth_fa,C11_OD_T_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_T_T,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_T,C11_T_FH_CF_no_ch,C11_T_FH_CF_w_ch,C11_T_FH_One_PFam,C11_T_FH_oth_fa,C11_T_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_T_T,C16_S_h_FH_CF_no_ch,C16_S_h_FH_CF_w_ch,C16_S_h_FH_One_PFam,C16_S_h_FH_oth_fa,C16_S_h_FH_Tot,C16_S_h_LP_H,C16_S_h_GH,C16_S_h_OH,C16_S_h_Tot,C16_Sd_r_t_1_FH_CF_no_ch,C16_Sd_r_t_1_FH_CF_w_ch,C16_Sd_r_t_1_FH_One_PFam,C16_Sd_r_t_1_FH_oth_fa,C16_Sd_r_t_1_FH_Tot,C16_Sd_r_t_1_LP_H,C16_Sd_r_t_1_GH,C16_Sd_r_t_1_OH,C16_Sd_r_t_1_Tot,C16_Sd_r_t_2m_FH_CF_no_ch,C16_Sd_r_t_2m_FH_CF_w_ch,C16_Sd_r_t_2m_FH_One_PFam,C16_Sd_r_t_2m_FH_oth_fa,C16_Sd_r_t_2m_FH_Tot,C16_Sd_r_t_2m_LP_H,C16_Sd_r_t_2m_GH,C16_Sd_r_t_2m_OH,C16_Sd_r_t_2m_Tot,C16_Sd_r_t_T_FH_CF_no_ch,C16_Sd_r_t_T_FH_CF_w_ch,C16_Sd_r_t_T_FH_One_PFam,C16_Sd_r_t_T_FH_oth_fa,C16_Sd_r_t_T_FH_Tot,C16_Sd_r_t_T_LP_H,C16_Sd_r_t_T_GH,C16_Sd_r_t_T_OH,C16_Sd_r_t_T_Tot,C16_F_u_a_1_2_FH_CF_no_ch,C16_F_u_a_1_2_FH_CF_w_ch,C16_F_u_a_1_2_FH_One_PFam,C16_F_u_a_1_2_FH_oth_fa,C16_F_u_a_1_2_FH_Tot,C16_F_u_a_1_2_LP_H,C16_F_u_a_1_2_GH,C16_F_u_a_1_2_OH,C16_F_u_a_1_2_Tot,C16_F_u_a_3_FH_CF_no_ch,C16_F_u_a_3_FH_CF_w_ch,C16_F_u_a_3_FH_One_PFam,C16_F_u_a_3_FH_oth_fa,C16_F_u_a_3_FH_Tot,C16_F_u_a_3_LP_H,C16_F_u_a_3_GH,C16_F_u_a_3_OH,C16_F_u_a_3_Tot,C16_F_u_a_4m_FH_CF_no_ch,C16_F_u_a_4m_FH_CF_w_ch,C16_F_u_a_4m_FH_One_PFam,C16_F_u_a_4m_FH_oth_fa,C16_F_u_a_4m_FH_Tot,C16_F_u_a_4m_LP_H,C16_F_u_a_4m_GH,C16_F_u_a_4m_OH,C16_F_u_a_4m_Tot,C16_F_u_a_a_h_FH_CF_no_ch,C16_F_u_a_a_h_FH_CF_w_ch,C16_F_u_a_a_h_FH_One_PFam,C16_F_u_a_a_h_FH_oth_fa,C16_F_u_a_a_h_FH_Tot,C16_F_u_a_a_h_LP_H,C16_F_u_a_a_h_GH,C16_F_u_a_a_h_OH,C16_F_u_a_a_h_Tot,C16_F_u_a_T_FH_CF_no_ch,C16_F_u_a_T_FH_CF_w_ch,C16_F_u_a_T_FH_One_PFam,C16_F_u_a_T_FH_oth_fa,C16_F_u_a_T_FH_Tot,C16_F_u_a_T_LP_H,C16_F_u_a_T_GH,C16_F_u_a_T_OH,C16_F_u_a_T_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_T_FH_CF_no_ch,C16_OD_T_FH_CF_w_ch,C16_OD_T_FH_One_PFam,C16_OD_T_FH_oth_fa,C16_OD_T_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_T_T,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_T,C16_T_FH_CF_no_ch,C16_T_FH_CF_w_ch,C16_T_FH_One_PFam,C16_T_FH_oth_fa
101021007,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,4,9,0,0,8,8,0,5,28,0,3,0,0,3,4,0,0,8,0,0,0,0,0,0,0,0,7,9,8,0,0,14,13,3,8,46,0,0,0,0,0,0,0,0,0,435,321,123,5,888,393,30,91,1398,480,344,114,8,948,405,27,208,1591,3,4,0,0,11,9,0,8,23,4,0,0,0,4,0,0,0,4,8,4,5,0,12,9,0,8,26,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,3,0,0,0,3,3,0,3,16,5,0,0,0,7,0,0,4,13,0,0,0,0,0,0,0,0,0,8,3,0,0,14,7,0,9,26,5,6,5,0,14,12,0,0,24,497,353,127,8
101021008,0,0,0,3,0,0,9,13,9,9,0,35,82,3,15,136,0,0,0,0,3,11,0,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,24,40,0,0,0,0,0,0,0,0,0,693,1082,469,38,2282,745,63,155,3242,566,908,369,30,1879,451,57,109,2497,57,47,35,7,142,144,10,8,302,53,37,35,0,127,73,8,11,218,110,81,70,4,274,213,17,16,520,3,0,4,0,7,33,0,4,46,0,0,4,0,7,15,0,9,26,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,4,4,4,5,0,19,50,0,16,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,4,0,0,4,0,0,0,4,0,0,0,0,0,8,0,0,6,685,1002,445,36
101021009,0,0,7,15,0,4,25,245,141,110,18,514,862,70,183,1628,4,0,0,0,4,11,0,22,32,0,0,0,0,0,0,0,0,0,6,8,0,0,8,8,3,3,22,8,8,0,0,12,18,3,25,61,3,3,0,0,9,8,0,0,15,971,938,470,65,2437,1728,193,327,4684,540,617,253,26,1434,491,63,91,2073,111,71,58,5,249,285,14,49,603,101,80,46,10,241,236,20,38,535,218,149,102,16,486,526,36,91,1137,75,62,46,5,185,350,16,70,620,61,39,18,5,125,176,16,41,356,130,89,48,8,279,374,32,88,778,0,3,0,0,0,3,0,0,5,268,187,116,14,594,899,73,201,1763,0,0,0,0,0,6,0,28,31,0,0,0,0,0,0,0,12,13,3,0,0,0,12,4,0,0,15,7,0,3,0,9,12,0,38,54,3,0,0,0,3,0,3,0,7,1031,953,480,54
101021010,0,0,0,3,0,0,3,124,69,41,12,241,428,36,84,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,4,0,0,11,0,3,0,0,7,8,0,0,13,0,0,0,0,0,0,0,0,0,489,451,172,34,1150,765,73,144,2131,239,317,75,7,635,154,12,38,835,41,36,14,3,102,123,6,11,241,73,61,36,4,177,141,14,16,351,117,101,53,9,280,268,24,29,597,39,41,29,0,108,149,10,30,299,20,27,8,0,61,79,8,13,160,46,33,9,3,94,135,6,23,260,0,0,0,0,0,0,0,0,0,102,100,45,3,254,372,29,64,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,461,524,172,14
101021011,3,0,4,4,0,3,13,4,0,3,0,6,4,0,3,17,36,9,11,3,62,57,0,53,167,0,8,0,0,9,0,0,0,17,5,0,0,0,5,3,0,0,5,43,21,11,3,77,61,3,53,193,0,0,0,0,3,0,0,0,3,1435,2012,305,27,3776,649,74,325,4824,1679,2364,333,28,4395,668,57,450,5581,6,0,0,0,5,5,0,3,20,0,3,3,0,4,0,0,7,13,6,3,5,0,15,8,0,8,28,4,0,0,0,4,3,0,0,11,0,0,0,0,0,0,0,0,0,3,4,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,3,4,0,0,10,11,0,0,20,8,3,3,0,13,19,0,33,67,3,12,0,0,13,3,0,3,18,0,6,0,0,7,5,0,5,16,9,14,3,0,32,23,0,41,102,7,9,0,5,14,6,3,3,27,1707,2392,341,32
101021012,0,0,0,0,0,0,0,16,17,8,0,47,48,6,11,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,11,3,0,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0,0,990,1989,409,31,3422,606,87,128,4243,790,1833,337,17,2978,382,49,93,3496,98,99,55,0,255,208,11,33,508,51,42,30,6,128,50,7,7,191,148,138,82,7,386,251,18,36,695,7,9,5,0,21,37,3,12,77,0,0,0,0,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,5,0,23,38,3,13,83,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,7,0,0,10,0,0,0,6,951,1987,432,25
101031013,0,0,0,0,0,0,0,3,0,0,0,5,12,0,0,16,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,4,3,0,3,0,0,7,0,0,0,7,0,3,0,0,7,3,0,3,11,0,0,0,0,0,0,0,0,0,317,237,93,6,653,333,24,34,1040,285,228,77,5,592,290,21,66,970,5,0,0,0,6,4,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,6,7,0,0,9,0,0,0,0,0,12,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,18,0,0,0,0,0,3,0,0,8,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,3,7,0,3,11,0,4,0,0,3,3,0,0,10,290,234,79,5
101031014,0,0,0,5,0,0,5,9,0,3,5,20,97,5,6,127,0,0,0,0,0,3,0,7,12,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,3,16,5,0,0,0,7,11,0,13,26,0,3,0,0,5,0,0,0,4,758,636,310,22,1721,894,66,111,2800,710,558,316,13,1597,698,67,121,2486,17,3,4,0,27,60,4,19,112,6,0,0,0,3,14,0,0,17,23,7,4,0,34,72,4,16,130,14,5,11,0,26,119,11,22,177,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,11,0,26,123,11,24,187,0,3,0,0,5,7,0,7,17,0,0,0,0,0,0,0,0,0,0,3,3,0,6,10,0,0,18,4,5,3,0,17,14,0,13,38,4,8,3,0,17,26,0,4,46,753,577,338,18
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,19,28,0,0,0,0,3,3,0,3,8,3,0,0,0,3,0,0,0,4,4,4,0,0,9,12,0,20,41,0,0,0,0,0,3,0,0,3,448,333,87,6,882,314,23,99,1322,444,332,62,10,849,286,19,155,1313,3,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,3,6,5,3,0,0,11,8,0,3,22,3,4,0,0,4,3,0,4,12,3,0,0,0,3,0,0,0,3,11,3,0,0,19,17,0,11,38,10,8,0,0,13,10,0,14,32,467,341,65,10
101031016,0,0,0,0,0,6,4,49,37,22,0,103,82,34,267,490,9,3,0,0,14,17,4,118,149,0,0,0,0,0,0,0,0,3,0,3,0,0,3,7,0,8,14,13,3,0,0,18,24,4,124,166,13,14,0,0,20,38,0,459,518,565,653,167,15,1396,546,100,1268,3305,529,609,152,11,1297,369,59,269,1989,18,14,4,0,33,26,8,27,94,37,14,17,0,63,68,17,114,263,47,28,20,0,98,96,21,139,358,30,18,9,3,65,65,32,450,605,13,3,3,0,17,23,7,52,102,3,4,0,0,5,19,5,40,70,0,0,0,0,0,0,0,0,0,45,22,13,3,88,107,43,546,782,4,6,0,0,9,20,3,141,182,0,0,0,0,0,0,0,6,4,0,0,0,0,0,3,0,3,7,8,6,0,0,12,29,3,150,190,52,32,6,0,86,69,9,140,305,684,695,190,17
