SA3_CODE_2016,C06_SH_0b_NPGH_2,C06_SH_0b_NPGH_3,C06_SH_0b_NPGH_4,C06_SH_0b_NPGH_5,C06_SH_0b_NPGH_6_mor,C06_SH_0bTotal,C06_SH_1b_NPGH_2,C06_SH_1b_NPGH_3,C06_SH_1b_NPGH_4,C06_SH_1b_NPGH_5,C06_SH_1b_NPGH_6_mor,C06_SH_1b_Tot,C06_SH_2b_NPGH_2,C06_SH_2b_NPGH_3,C06_SH_2b_NPGH_4,C06_SH_2b_NPGH_5,C06_SH_2b_NPGH_6_mor,C06_SH_2b_Tot,C06_SH_3b_NPGH_2,C06_SH_3b_NPGH_3,C06_SH_3b_NPGH_4,C06_SH_3b_NPGH_5,C06_SH_3b_NPGH_6_mor,C06_SH_3b_Tot,C06_SH_4mb_NPGH_2,C06_SH_4mb_NPGH_3,C06_SH_4mb_NPGH_4,C06_SH_4mb_NPGH_5,C06_SH_4mb_NPGH_6_mor,C06_SH_4mb_Tot,C06_SH_NB_NS_NPGH_2,C06_SH_NB_NS_NPGH_3,C06_SH_NB_NS_NPGH_4,C06_SH_NB_NS_NPGH_5,C06_SH_NB_NS_NPGH_6_mor,C06_SH_NB_NS_T,C06_SH_Tot_NPGH_2,C06_SH_Tot_NPGH_3,C06_SH_Tot_NPGH_4,C06_SH_Tot_NPGH_5,C06_SH_Tot_NPGH_6_mor,C06_SH_T_T,C06_SDRTHT_0b_NPGH_2,C06_SDRTHT_0b_NPGH_3,C06_SDRTHT_0b_NPGH_4,C06_SDRTHT_0b_NPGH_5,C06_SDRTHT_0b_NPGH_6_mor,C06_SDRTHT_0bTotal,C06_SDRTHT_1b_NPGH_2,C06_SDRTHT_1b_NPGH_3,C06_SDRTHT_1b_NPGH_4,C06_SDRTHT_1b_NPGH_5,C06_SDRTHT_1b_NPGH_6_mor,C06_SDRTHT_1b_Tot,C06_SDRTHT_2b_NPGH_2,C06_SDRTHT_2b_NPGH_3,C06_SDRTHT_2b_NPGH_4,C06_SDRTHT_2b_NPGH_5,C06_SDRTHT_2b_NPGH_6_mor,C06_SDRTHT_2b_Tot,C06_SDRTHT_3b_NPGH_2,C06_SDRTHT_3b_NPGH_3,C06_SDRTHT_3b_NPGH_4,C06_SDRTHT_3b_NPGH_5,C06_SDRTHT_3b_NPGH_6_mor,C06_SDRTHT_3b_Tot,C06_SDRTHT_4mb_NPGH_2,C06_SDRTHT_4mb_NPGH_3,C06_SDRTHT_4mb_NPGH_4,C06_SDRTHT_4mb_NPGH_5,C06_SDRTHT_4mb_NPGH_6_mor,C06_SDRTHT_4mb_Tot,C06_SDRTHT_NB_NS_NPGH_2,C06_SDRTHT_NB_NS_NPGH_3,C06_SDRTHT_NB_NS_NPGH_4,C06_SDRTHT_NB_NS_NPGH_5,C06_SDRTHT_NB_NS_NPGH_6_mor,C06_SDRTHT_NB_NS_T,C06_SDRTHT_Tot_NPGH_2,C06_SDRTHT_Tot_NPGH_3,C06_SDRTHT_Tot_NPGH_4,C06_SDRTHT_Tot_NPGH_5,C06_SDRTHT_Tot_NPGH_6_mor,C06_SDRTHT_T_T,C06_FUA_0b_NPGH_2,C06_FUA_0b_NPGH_3,C06_FUA_0b_NPGH_4,C06_FUA_0b_NPGH_5,C06_FUA_0b_NPGH_6_mor,C06_FUA_0bTotal,C06_FUA_1b_NPGH_2,C06_FUA_1b_NPGH_3,C06_FUA_1b_NPGH_4,C06_FUA_1b_NPGH_5,C06_FUA_1b_NPGH_6_mor,C06_FUA_1b_Tot,C06_FUA_2b_NPGH_2,C06_FUA_2b_NPGH_3,C06_FUA_2b_NPGH_4,C06_FUA_2b_NPGH_5,C06_FUA_2b_NPGH_6_mor,C06_FUA_2b_Tot,C06_FUA_3b_NPGH_2,C06_FUA_3b_NPGH_3,C06_FUA_3b_NPGH_4,C06_FUA_3b_NPGH_5,C06_FUA_3b_NPGH_6_mor,C06_FUA_3b_Tot,C06_FUA_4mb_NPGH_2,C06_FUA_4mb_NPGH_3,C06_FUA_4mb_NPGH_4,C06_FUA_4mb_NPGH_5,C06_FUA_4mb_NPGH_6_mor,C06_FUA_4mb_Tot,C06_FUA_NB_NS_NPGH_2,C06_FUA_NB_NS_NPGH_3,C06_FUA_NB_NS_NPGH_4,C06_FUA_NB_NS_NPGH_5,C06_FUA_NB_NS_NPGH_6_mor,C06_FUA_NB_NS_T,C06_FUA_Tot_NPGH_2,C06_FUA_Tot_NPGH_3,C06_FUA_Tot_NPGH_4,C06_FUA_Tot_NPGH_5,C06_FUA_Tot_NPGH_6_mor,C06_FUA_T_T,C06_OD_0b_NPGH_2,C06_OD_0b_NPGH_3,C06_OD_0b_NPGH_4,C06_OD_0b_NPGH_5,C06_OD_0b_NPGH_6_mor,C06_OD_0bTotal,C06_OD_1b_NPGH_2,C06_OD_1b_NPGH_3,C06_OD_1b_NPGH_4,C06_OD_1b_NPGH_5,C06_OD_1b_NPGH_6_mor,C06_OD_1b_Tot,C06_OD_2b_NPGH_2,C06_OD_2b_NPGH_3,C06_OD_2b_NPGH_4,C06_OD_2b_NPGH_5,C06_OD_2b_NPGH_6_mor,C06_OD_2b_Tot,C06_OD_3b_NPGH_2,C06_OD_3b_NPGH_3,C06_OD_3b_NPGH_4,C06_OD_3b_NPGH_5,C06_OD_3b_NPGH_6_mor,C06_OD_3b_Tot,C06_OD_4mb_NPGH_2,C06_OD_4mb_NPGH_3,C06_OD_4mb_NPGH_4,C06_OD_4mb_NPGH_5,C06_OD_4mb_NPGH_6_mor,C06_OD_4mb_Tot,C06_OD_NB_NS_NPGH_2,C06_OD_NB_NS_NPGH_3,C06_OD_NB_NS_NPGH_4,C06_OD_NB_NS_NPGH_5,C06_OD_NB_NS_NPGH_6_mor,C06_OD_NB_NS_T,C06_OD_Tot_NPGH_2,C06_OD_Tot_NPGH_3,C06_OD_Tot_NPGH_4,C06_OD_Tot_NPGH_5,C06_OD_Tot_NPGH_6_mor,C06_OD_T_T,C06_DS_NS_NPGH_2,C06_DS_NS_NPGH_3,C06_DS_NS_NPGH_4,C06_DS_NS_NPGH_5,C06_DS_NS_NPGH_6_mor,C06_DS_NS_T,C06_Tot_NPGH_2,C06_Tot_NPGH_3,C06_Tot_NPGH_4,C06_Tot_NPGH_5,C06_Tot_NPGH_6_mor,C06_T_T,C11_SH_0b_NPGH_2,C11_SH_0b_NPGH_3,C11_SH_0b_NPGH_4,C11_SH_0b_NPGH_5,C11_SH_0b_NPGH_6_mor,C11_SH_0bTotal,C11_SH_1b_NPGH_2,C11_SH_1b_NPGH_3,C11_SH_1b_NPGH_4,C11_SH_1b_NPGH_5,C11_SH_1b_NPGH_6_mor,C11_SH_1b_Tot,C11_SH_2b_NPGH_2,C11_SH_2b_NPGH_3,C11_SH_2b_NPGH_4,C11_SH_2b_NPGH_5,C11_SH_2b_NPGH_6_mor,C11_SH_2b_Tot,C11_SH_3b_NPGH_2,C11_SH_3b_NPGH_3
10102,0,0,0,0,0,0,3,0,0,0,0,4,40,4,0,0,0,40,113,8,4,3,0,131,48,6,3,0,0,60,6,0,0,0,0,5,209,21,12,7,0,244,0,0,0,0,0,0,3,0,0,0,0,3,48,0,0,0,0,48,26,3,0,0,0,29,3,0,0,0,0,4,0,0,0,0,0,0,84,7,0,0,0,93,3,0,0,0,0,3,14,0,0,0,0,14,85,3,0,0,0,94,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,109,8,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,407,32,9,7,0,455,0,0,0,0,0,0,4,0,0,0,0,4,37,0,0,0,0,35,119,25
10103,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,0,33,42,4,4,0,0,53,23,4,3,4,0,30,7,0,0,0,0,7,98,15,12,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,6,3,3,0,0,0,8,0,3,0,0,0,3,12,4,0,0,0,17,26,10,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,133,25,9,3,0,173,3,0,0,0,0,3,4,0,0,0,0,4,27,3,0,0,0,31,57,13
10104,0,0,0,0,0,0,7,0,0,0,0,4,106,7,0,0,0,109,257,12,7,0,0,279,75,6,6,4,0,90,13,0,0,0,0,13,464,24,18,4,0,502,0,0,0,0,0,0,3,0,0,0,0,3,27,0,0,0,0,27,12,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,0,0,45,0,0,0,0,0,0,4,0,0,0,0,4,61,3,0,0,0,66,16,0,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,8,80,3,0,0,0,87,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,16,0,0,0,0,0,0,596,33,20,4,0,653,0,0,0,0,0,0,7,0,0,0,0,7,104,4,0,0,0,112,248,30
10105,0,0,0,0,0,0,3,0,0,0,0,3,44,0,0,0,0,45,111,10,0,0,0,121,27,5,7,0,0,46,5,0,0,0,0,5,188,14,16,3,0,217,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,6,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,0,26,0,0,0,0,0,0,4,0,0,0,0,4,25,0,0,0,0,25,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,0,32,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,11,0,0,0,0,0,0,244,24,15,3,0,284,0,0,0,0,0,0,6,0,0,0,0,6,45,0,0,0,0,45,111,12
10106,4,0,0,0,0,4,3,0,0,0,0,3,33,0,0,0,0,33,91,11,9,0,0,111,41,3,3,0,0,45,4,0,0,0,0,4,176,15,9,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,11,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,8,0,0,0,0,0,0,202,22,9,0,0,234,3,0,0,0,0,3,3,0,0,0,0,3,68,0,0,0,0,63,109,12
10201,3,0,0,0,0,3,11,0,0,0,0,11,254,5,3,3,0,260,491,63,23,3,0,581,163,26,32,11,0,233,21,0,0,3,0,27,940,105,52,15,0,1119,0,0,0,0,0,0,0,0,0,0,0,0,98,7,0,0,0,100,116,28,7,0,0,145,3,0,3,0,0,8,3,0,0,0,0,3,223,31,14,0,0,264,0,0,0,0,0,0,9,0,0,0,0,9,135,4,0,0,0,148,61,18,0,0,0,80,7,0,0,0,0,8,6,0,0,0,0,10,211,28,4,0,0,241,0,0,0,0,0,0,5,0,0,0,0,5,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,24,0,0,0,0,25,0,0,0,0,0,0,1402,155,69,22,3,1649,3,0,0,0,0,3,24,0,0,0,0,19,209,6,3,0,0,223,508,59
10202,7,0,0,0,0,7,11,0,0,0,0,15,270,5,0,0,0,274,566,45,7,3,0,628,174,35,23,9,0,237,29,0,0,0,0,30,1054,84,29,13,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,54,3,0,0,0,62,71,7,0,0,0,79,3,6,0,0,0,6,0,0,0,0,0,3,134,17,0,0,0,147,0,0,0,0,0,0,6,0,0,0,0,3,51,0,0,0,0,53,21,0,0,0,0,21,3,3,0,0,0,3,0,0,0,0,0,0,79,3,0,0,0,82,4,0,0,0,0,4,0,0,0,0,0,0,29,0,0,0,0,29,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36,0,0,0,0,0,0,1301,110,32,18,3,1461,4,0,0,0,0,7,7,0,0,0,0,10,265,4,0,0,0,272,536,56
10301,0,0,0,0,0,0,0,0,0,0,0,0,60,3,0,0,0,59,158,43,13,4,0,219,64,13,28,5,4,116,3,0,0,0,0,3,284,63,43,8,4,400,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,41,21,19,9,3,0,47,0,0,9,0,0,15,0,0,0,0,0,0,61,26,20,3,0,108,0,0,0,0,0,0,0,0,0,0,0,0,83,4,0,0,0,83,20,5,3,0,0,26,3,0,0,3,0,13,0,0,0,0,0,0,106,12,3,3,0,127,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,5,4,0,0,0,12,0,0,0,0,0,0,458,104,64,15,4,638,0,0,0,0,0,0,0,0,0,0,0,4,53,0,0,0,0,54,167,35
10302,0,0,0,0,0,0,3,0,0,0,0,3,85,0,0,0,0,91,173,17,6,0,0,199,49,6,4,0,0,67,7,0,0,0,0,13,324,28,10,0,0,367,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,4,16,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,366,34,14,0,0,410,3,0,0,0,0,3,4,0,0,0,0,4,89,3,0,0,0,91,173,24
10303,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,92,123,11,7,0,0,144,36,7,4,0,3,49,7,0,0,0,0,13,262,22,14,0,4,296,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,15,9,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,24,0,0,0,0,27,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,0,8,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,12,0,0,0,0,12,0,0,0,0,0,0,313,18,11,0,3,354,3,0,0,0,0,3,3,0,0,0,0,3,91,0,0,0,0,93,154,12
