SA3_CODE_2016,C06_CF_BPT_1000_1499,C06_CF_BPT_1500_1999,C06_CF_BPT_2000_2499,C06_CF_BPT_2500_2999,C06_CF_BPT_3000_3999,C06_CF_BPT_4000m,C06_CF_BPT_Ns,C06_CF_BPT_T,C06_CF_1F1P_N,C06_CF_1F1P_1_149,C06_CF_1F1P_150_299,C06_CF_1F1P_300_399,C06_CF_1F1P_400_499,C06_CF_1F1P_500_649,C06_CF_1F1P_650_799,C06_CF_1F1P_800_999,C06_CF_1F1P_1000_1499,C06_CF_1F1P_1500_1999,C06_CF_1F1P_2000_2499,C06_CF_1F1P_2500_2999,C06_CF_1F1P_3000_3999,C06_CF_1F1P_4000m,C06_CF_1F1P_Ns,C06_CF_1F1P_T,C06_CF_1E1A_N,C06_CF_1E1A_1_149,C06_CF_1E1A_150_299,C06_CF_1E1A_300_399,C06_CF_1E1A_400_499,C06_CF_1E1A_500_649,C06_CF_1E1A_650_799,C06_CF_1E1A_800_999,C06_CF_1E1A_1000_1499,C06_CF_1E1A_1500_1999,C06_CF_1E1A_2000_2499,C06_CF_1E1A_2500_2999,C06_CF_1E1A_3000_3999,C06_CF_1E1A_4000_mr,C06_CF_1E1A_Ns,C06_CF_1E1A_T,C06_CF_1F1NW_N,C06_CF_1F1NW_1_149,C06_CF_1F1NW_150_299,C06_CF_1F1NW_300_399,C06_CF_1F1NW_400_499,C06_CF_1F1NW_500_649,C06_CF_1F1NW_650_799,C06_CF_1F1NW_800_999,C06_CF_1F1NW_1000_1499,C06_CF_1F1NW_1500_1999,C06_CF_1F1NW_2000_2499,C06_CF_1F1NW_2500_2999,C06_CF_1F1NW_3000_3999,C06_CF_1F1NW_4000mo,C06_CF_1F1NW_Ns,C06_CF_1F1NW_Tot,C06_CF_1P1NW_N,C06_CF_1P1NW_1_149,C06_CF_1P1NW_150_299,C06_CF_1P1NW_300_399,C06_CF_1P1NW_400_499,C06_CF_1P1NW_500_649,C06_CF_1P1NW_650_799,C06_CF_1P1NW_800_999,C06_CF_1P1NW_1000_1499,C06_CF_1P1NW_1500_1999,C06_CF_1P1NW_2000_2499,C06_CF_1P1NW_2500_2999,C06_CF_1P1NW_3000_3999,C06_CF_1P1NW_4000_mr,C06_CF_1P1NW_Ns,C06_CF_1P1NW_T,C06_CF_1A1NW_N,C06_CF_1A1NW_1_149,C06_CF_1A1NW_150_299,C06_CF_1A1NW_300_399,C06_CF_1A1NW_400_499,C06_CF_1A1NW_500_649,C06_CF_1A1NW_650_799,C06_CF_1A1NW_800_999,C06_CF_1A1NW_1000_1499,C06_CF_1A1NW_1500_1999,C06_CF_1A1NW_2000_2499,C06_CF_1A1NW_2500_2999,C06_CF_1A1NW_3000_3999,C06_CF_1A1NW_4000m,C06_CF_1A1NW_Ns,C06_CF_1A1NW_T,C06_CF_BA_N,C06_CF_BA_1_149,C06_CF_BA_150_299,C06_CF_BA_300_399,C06_CF_BA_400_499,C06_CF_BA_500_649,C06_CF_BA_650_799,C06_CF_BA_800_999,C06_CF_BA_1000_1499,C06_CF_BA_1500_1999,C06_CF_BA_2000_2499,C06_CF_BA_2500_2999,C06_CF_BA_3000_3999,C06_CF_BA_4000_more,C06_CF_BA_Ns,C06_fc_BA_Tot,C06_CF_BNW_N,C06_CF_BNW_1_149,C06_CF_BNW_150_299,C06_CF_BNW_300_399,C06_CF_BNW_400_499,C06_CF_BNW_500_649,C06_CF_BNW_650_799,C06_CF_BNW_800_999,C06_CF_BNW_1000_1499,C06_CF_BNW_1500_1999,C06_CF_BNW_2000_2499,C06_CF_BNW_2500_2999,C06_CF_BNW_3000_3999,C06_CF_BNW_4000_more,C06_CF_BNW_Ns,C06_CF_BNW_Tot,C06_CF_LFns_N,C06_CF_LFns_1_149,C06_CF_LFns_150_299,C06_CF_LFns_300_399,C06_CF_LFns_400_499,C06_CF_LFns_500_649,C06_CF_LFns_650_799,C06_CF_LFns_800_999,C06_CF_LFns_1000_1499,C06_CF_LFns_1500_1999,C06_CF_LFns_2000_2499,C06_CF_LFns_2500_2999,C06_CF_LFns_3000_3999,C06_CF_LFns_4000_more,C06_CF_LFns_Ns,C06_CF_LFns_Tot,C06_CF_Tot_N,C06_CF_Tot_1_149,C06_CF_Tot_150_299,C06_CF_Tot_300_399,C06_CF_Tot_400_499,C06_CF_Tot_500_649,C06_CF_Tot_650_799,C06_CF_Tot_800_999,C06_CF_Tot_1000_1499,C06_CF_Tot_1500_1999,C06_CF_Tot_2000_2499,C06_CF_Tot_2500_2999,C06_CF_Tot_3000_3999,C06_CF_Tot_4000_more,C06_CF_TFI_Ns,C06_CF_T_T,C06_1PF_F_N,C06_1PF_F_1_149,C06_1PF_F_150_299,C06_1PF_F_300_399,C06_1PF_F_400_499,C06_1PF_F_500_649,C06_1PF_F_650_799,C06_1PF_F_800_999,C06_1PF_F_1000_1499,C06_1PF_F_1500_1999,C06_1PF_F_2000_2499,C06_1PF_F_2500_2999,C06_1PF_F_3000_3999,C06_1PF_F_4000_more,C06_1PF_F_Ns,C06_1PF_F_T,C06_1PF_P_N,C06_1PF_P_1_149,C06_1PF_P_150_299,C06_1PF_P_300_399,C06_1PF_P_400_499,C06_1PF_P_500_649,C06_1PF_P_650_799,C06_1PF_P_800_999,C06_1PF_P_1000_1499,C06_1PF_P_1500_1999,C06_1PF_P_2000_2499,C06_1PF_P_2500_2999,C06_1PF_P_3000_3999,C06_1PF_P_4000_more,C06_1PF_P_Ns,C06_1PF_P_T,C06_1PF_A_N,C06_1PF_A_1_149,C06_1PF_A_150_299,C06_1PF_A_300_399,C06_1PF_A_400_499,C06_1PF_A_500_649,C06_1PF_A_650_799,C06_1PF_A_800_999,C06_1PF_A_1000_1499,C06_1PF_A_1500_1999,C06_1PF_A_2000_2499,C06_1PF_A_2500_2999,C06_1PF_A_3000_3999,C06_1PF_A_4000_more,C06_1PF_A_Ns,C06_1PF_A_T
10102,41,32,25,12,16,5,17,184,3,0,6,4,5,17,23,55,417,402,302,182,248,44,154,1857,0,0,0,0,3,3,9,10,55,59,71,54,55,7,36,365,3,0,0,4,3,31,63,128,335,161,46,158,45,12,75,1057,0,0,4,9,4,22,8,33,44,18,5,7,4,0,17,177,0,0,0,0,0,6,11,9,18,16,6,12,0,0,14,94,0,0,0,0,0,0,0,3,14,11,18,14,15,5,11,83,7,3,7,5,34,36,23,23,51,42,14,7,3,3,39,290,0,0,0,0,0,3,3,0,4,0,0,0,0,0,392,408,19,11,21,22,51,136,150,284,1176,1029,864,751,706,230,940,6384,6,0,3,7,0,55,68,72,232,94,26,42,10,4,89,713,0,0,9,56,0,104,47,29,60,8,7,6,0,0,23,360,0,0,4,3,0,5,8,3,10,6,3,0,0,0,9,57
10103,25,6,0,0,0,0,9,71,0,0,0,0,3,17,16,45,198,130,62,38,24,7,52,574,0,0,0,0,0,7,0,0,28,25,9,6,3,0,9,75,0,0,0,0,3,31,31,41,84,43,8,21,8,0,30,309,0,0,0,0,5,14,3,8,17,3,0,3,0,0,12,70,0,0,0,0,0,3,6,3,3,3,0,0,0,0,8,30,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,13,0,0,0,0,14,21,19,16,7,3,0,0,0,0,20,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,117,5,9,8,13,39,115,83,140,500,317,143,95,61,14,298,1831,0,0,0,10,6,18,18,20,41,8,4,3,0,0,26,158,0,0,3,30,4,42,23,11,21,3,0,0,0,3,14,163,0,0,0,4,0,3,0,0,7,0,0,0,0,0,5,21
10104,130,48,18,3,4,4,48,444,7,3,4,9,14,62,75,152,650,355,136,68,37,9,169,1756,0,4,3,0,3,16,14,18,72,40,15,14,0,3,39,253,0,0,14,11,10,93,133,183,348,107,15,36,8,0,110,1067,0,3,17,15,28,114,64,69,96,15,6,4,0,0,57,498,0,3,3,4,0,10,18,20,32,5,3,3,3,0,19,119,0,0,0,0,0,5,3,8,23,18,5,3,5,0,16,90,9,14,22,22,90,181,88,78,102,26,7,3,0,3,87,747,0,3,0,0,3,8,0,3,7,3,0,0,0,0,375,407,31,48,70,71,184,586,465,625,1776,832,355,213,109,23,1046,6437,0,3,4,19,0,93,77,68,108,31,5,8,0,0,66,493,0,7,37,164,12,262,91,51,50,0,0,0,0,0,84,770,0,0,3,17,0,19,17,4,15,0,0,3,0,0,10,84
10105,33,17,5,8,0,0,11,104,8,3,3,0,3,26,26,63,384,244,92,56,32,11,80,1017,0,0,0,0,0,3,3,6,56,42,22,12,3,0,24,176,0,3,3,3,5,32,80,86,212,73,28,17,8,0,59,621,0,0,3,3,7,30,9,23,30,6,3,0,3,0,17,139,0,0,0,0,0,9,5,15,23,10,3,3,0,0,4,69,0,0,0,0,0,0,0,3,7,11,3,3,0,0,12,43,4,3,8,10,38,62,33,40,40,12,6,0,0,0,41,309,0,0,0,0,0,7,0,3,3,3,0,0,0,0,189,207,22,16,26,23,66,185,179,267,929,616,316,189,103,23,540,3499,0,0,0,8,0,51,60,44,100,27,6,4,0,0,39,333,0,7,10,40,3,87,37,27,43,4,0,0,0,0,27,280,0,0,3,6,0,3,5,4,9,0,0,0,0,0,3,35
10106,40,14,14,3,0,3,21,124,9,0,3,0,7,22,33,76,392,249,120,83,71,15,92,1173,0,4,0,0,0,3,3,11,46,32,27,13,16,4,28,186,3,3,3,3,5,60,90,107,223,72,20,40,15,3,67,718,5,0,4,8,11,37,24,23,16,8,7,6,0,0,23,169,0,0,0,0,0,10,9,18,18,3,3,4,0,0,15,84,0,0,0,0,0,0,0,0,11,3,4,7,0,3,16,48,0,12,4,9,37,57,32,31,38,12,7,3,0,0,40,284,0,0,0,0,0,0,0,3,9,3,3,0,0,0,194,222,21,15,17,29,63,233,213,299,961,566,327,244,196,90,633,3912,4,4,3,4,0,33,28,36,81,27,8,9,7,0,38,284,3,0,15,44,4,84,33,21,31,5,3,3,3,0,16,257,0,0,0,5,0,6,3,0,4,3,0,0,0,0,11,31
10201,236,147,85,34,36,15,75,807,4,11,3,13,20,66,72,214,1567,1389,843,470,458,76,574,5784,3,3,0,0,0,15,14,38,203,187,140,76,75,17,115,897,3,8,13,9,9,106,264,445,1209,574,143,475,78,18,308,3661,0,4,6,15,19,122,81,100,196,82,20,26,20,3,94,793,0,0,3,3,3,17,27,51,103,49,5,23,6,0,51,329,0,0,3,0,0,3,8,3,45,40,32,18,22,7,37,217,14,35,33,28,123,221,124,168,260,120,49,31,14,3,155,1366,0,0,0,0,7,3,9,6,21,13,6,0,0,0,924,995,37,72,65,80,183,637,641,1147,4303,3251,1921,1604,1097,267,2754,18049,5,5,8,41,5,147,255,214,538,206,79,81,12,0,276,1874,7,15,49,246,22,501,298,160,225,71,18,7,0,0,203,1814,3,3,3,23,3,34,25,25,43,7,7,3,4,0,36,222
10202,216,106,53,25,14,4,66,634,8,5,5,7,8,58,86,222,1565,1068,524,260,165,31,421,4438,3,0,0,0,0,15,24,44,226,153,93,57,30,8,91,744,8,5,6,18,9,126,281,494,1229,436,129,206,51,13,293,3298,0,6,10,27,30,146,112,129,219,64,14,13,7,0,77,870,0,3,3,3,4,28,36,47,116,29,8,19,3,0,50,346,0,0,3,0,0,0,5,3,39,36,23,11,6,0,53,178,8,17,40,33,179,298,177,195,274,95,31,12,5,4,189,1563,0,3,0,0,3,7,6,5,16,5,3,6,0,0,774,834,34,49,73,98,247,745,764,1246,4412,2624,1400,893,476,126,2346,15527,3,0,3,16,6,149,214,199,430,147,39,18,4,0,181,1416,0,28,45,234,9,580,257,145,195,52,10,3,9,0,179,1752,0,3,11,25,3,45,23,16,24,4,4,3,0,0,36,199
10301,34,28,4,5,0,3,18,125,5,3,0,0,0,23,48,75,439,365,205,100,75,16,100,1462,0,0,0,0,0,7,3,8,62,53,30,24,12,3,20,233,3,3,4,4,3,28,78,109,310,97,29,57,11,6,71,821,0,0,3,11,5,28,13,20,34,11,6,5,0,0,21,161,0,0,0,0,0,5,12,11,35,3,0,0,3,0,10,74,0,0,0,0,0,0,0,0,12,13,5,7,0,3,10,56,4,4,9,8,33,58,21,35,38,12,4,3,0,0,29,265,0,0,0,0,0,3,7,6,5,3,3,0,0,0,269,297,15,18,16,24,51,183,184,292,1152,864,503,367,201,56,661,4594,4,0,7,6,3,38,57,48,134,37,3,4,0,0,63,418,0,6,7,39,8,114,55,33,30,10,0,0,0,0,23,332,0,0,0,4,0,3,9,3,7,3,0,0,0,0,4,43
10302,41,21,8,3,0,0,22,150,3,12,12,6,21,89,82,131,642,310,126,70,40,18,159,1719,0,0,0,0,8,15,14,16,88,52,20,10,4,7,37,265,6,9,13,11,11,129,158,220,399,119,18,32,5,3,115,1255,0,0,7,7,14,60,37,38,58,12,6,3,0,0,25,279,3,3,0,3,4,12,12,21,17,6,0,0,0,0,12,101,5,0,0,0,0,6,0,3,22,5,6,3,3,0,17,73,7,12,13,14,96,146,65,61,60,21,8,6,0,0,80,583,0,0,0,0,3,4,11,3,13,0,0,4,0,0,349,388,36,46,64,60,188,531,421,571,1689,821,361,199,110,47,1019,6157,4,6,10,17,4,53,72,61,103,15,5,7,0,0,53,408,0,3,33,80,3,158,59,41,32,5,0,3,0,0,27,450,0,0,5,9,0,25,10,4,5,5,0,0,0,0,5,72
10303,46,23,10,5,3,0,16,145,3,0,3,3,3,38,52,71,401,344,172,91,65,12,116,1376,0,0,0,0,0,5,6,15,53,30,22,17,9,0,28,185,4,3,6,7,9,73,121,134,295,125,34,79,19,3,97,999,0,0,3,10,19,43,22,21,45,16,4,3,0,3,21,225,0,0,3,0,3,4,10,14,25,9,3,3,0,0,15,86,0,0,0,0,0,4,0,3,11,5,5,7,3,0,10,48,3,11,16,9,93,121,55,55,69,32,11,0,0,4,59,538,0,0,0,0,0,3,0,0,5,3,0,3,0,0,248,275,22,25,35,42,133,319,290,351,1108,772,371,298,159,42,726,4699,3,0,5,9,0,49,50,39,90,28,3,11,8,0,26,318,0,3,17,68,13,123,43,22,31,9,4,0,0,0,31,374,0,0,3,3,0,14,7,0,5,3,0,0,0,0,3,34
