SA4_CODE_2016,C11_CF_NCu15DS_1000_1399,C11_CF_NCu15DS_1400_1799,C11_CF_NCu15DS_1800_2399,C11_CF_NCu15DS_2400_2999,C11_CF_NCu15DS_3000_3999,C11_CF_NCu15DS_4000ov,C11_CF_NCu15DS_NS,C11_CF_NCu15DS_Tot,C11_CF_NDCO_0_299,C11_CF_NDCO_300_449,C11_CF_NDCO_450_599,C11_CF_NDCO_600_799,C11_CF_NDCO_800_999,C11_CF_NDCO_1000_1399,C11_CF_NDCO_1400_1799,C11_CF_NDCO_1800_2399,C11_CF_NDCO_2400_2999,C11_CF_NDCO_3000_3999,C11_CF_NDCO_4000ov,C11_CF_NDCO_NS,C11_CF_NDCO_Tot,C11_CF_T_0_299,C11_CF_T_300_449,C11_CF_T_450_599,C11_CF_T_600_799,C11_CF_T_800_999,C11_CF_T_1000_1399,C11_CF_T_1400_1799,C11_CF_T_1800_2399,C11_CF_T_2400_2999,C11_CF_T_3000_3999,C11_CF_T_4000ov,C11_CF_T_NS,C11_CF_T_Tot,C11_1PF_Cu15DS_0_299,C11_1PF_Cu15DS_300_449,C11_1PF_Cu15DS_450_599,C11_1PF_Cu15DS_600_799,C11_1PF_Cu15DS_800_999,C11_1PF_Cu15DS_1000_1399,C11_1PF_Cu15DS_1400_1799,C11_1PF_Cu15DS_1800_2399,C11_1PF_Cu15DS_2400_2999,C11_1PF_Cu15DS_3000_3999,C11_1PF_Cu15DS_4000ov,C11_1PF_Cu15DS_NS,C11_1PF_Cu15DS_Tot,C11_1PF_CU15_NDS_0_299,C11_1PF_CU15_NDS_300_449,C11_1PF_CU15_NDS_450_599,C11_1PF_CU15_NDS_600_799,C11_1PF_CU15_NDS_800_999,C11_1PF_CU15_NDS_1000_1399,C11_1PF_CU15_NDS_1400_1799,C11_1PF_CU15_NDS_1800_2399,C11_1PF_CU15_NDS_2400_2999,C11_1PF_CU15_NDS_3000_3999,C11_1PF_CU15_NDS_4000ov,C11_1PF_CU15_NDS_NS,C11_1PF_CU15_NDS_Tot,C11_1PF_NCu15DS_0_299,C11_1PF_NCu15DS_300_449,C11_1PF_NCu15DS_450_599,C11_1PF_NCu15DS_600_799,C11_1PF_NCu15DS_800_999,C11_1PF_NCu15DS_1000_1399,C11_1PF_NCu15DS_1400_1799,C11_1PF_NCu15DS_1800_2399,C11_1PF_NCu15DS_2400_2999,C11_1PF_NCu15DS_3000_3999,C11_1PF_NCu15DS_4000ov,C11_1PF_NCu15DS_NS,C11_1PF_NCu15DS_Tot,C11_1PF_NDCO_0_299,C11_1PF_NDCO_300_449,C11_1PF_NDCO_450_599,C11_1PF_NDCO_600_799,C11_1PF_NDCO_800_999,C11_1PF_NDCO_1000_1399,C11_1PF_NDCO_1400_1799,C11_1PF_NDCO_1800_2399,C11_1PF_NDCO_2400_2999,C11_1PF_NDCO_3000_3999,C11_1PF_NDCO_4000ov,C11_1PF_NDCO_NS,C11_1PF_NDCO_Tot,C11_1PF_T_0_299,C11_1PF_T_300_449,C11_1PF_T_450_599,C11_1PF_T_600_799,C11_1PF_T_800_999,C11_1PF_T_1000_1399,C11_1PF_T_1400_1799,C11_1PF_T_1800_2399,C11_1PF_T_2400_2999,C11_1PF_T_3000_3999,C11_1PF_T_4000ov,C11_1PF_T_NS,C11_1PF_T_T,C11_T_0_299,C11_T_300_449,C11_T_450_599,C11_T_600_799,C11_T_800_999,C11_T_1000_1399,C11_T_1400_1799,C11_T_1800_2399,C11_T_2400_2999,C11_T_3000_3999,C11_T_4000ov,C11_T_NS,C11_T_T,C16_CFNC_0_299,C16_CFNC_300_449,C16_CFNC_450_599,C16_CFNC_600_799,C16_CFNC_800_999,C16_CFNC_1000_1399,C16_CFNC_1400_1799,C16_CFNC_1800_2399,C16_CFNC_2400_2999,C16_CFNC_3000_3999,C16_CFNC_4000ov,C16_CFNC_NS,C16_CFNC_T,C16_CF_Cu15DS_0_299,C16_CF_Cu15DS_300_449,C16_CF_Cu15DS_450_599,C16_CF_Cu15DS_600_799,C16_CF_Cu15DS_800_999,C16_CF_Cu15DS_1000_1399,C16_CF_Cu15DS_1400_1799,C16_CF_Cu15DS_1800_2399,C16_CF_Cu15DS_2400_2999,C16_CF_Cu15DS_3000_3999,C16_CF_Cu15DS_4000ov,C16_CF_Cu15DS_NS,C16_CF_Cu15DS_Tot,C16_CF_Cu15NDS_0_299,C16_CF_Cu15NDS_300_449,C16_CF_Cu15NDS_450_599,C16_CF_Cu15NDS_600_799,C16_CF_Cu15NDS_800_999,C16_CF_Cu15NDS_1000_1399,C16_CF_Cu15NDS_1400_1799,C16_CF_Cu15NDS_1800_2399,C16_CF_Cu15NDS_2400_2999,C16_CF_Cu15NDS_3000_3999,C16_CF_Cu15NDS_4000ov,C16_CF_Cu15NDS_NS,C16_CF_Cu15NDS_Tot,C16_CF_NCu15DS_0_299,C16_CF_NCu15DS_300_449,C16_CF_NCu15DS_450_599,C16_CF_NCu15DS_600_799,C16_CF_NCu15DS_800_999,C16_CF_NCu15DS_1000_1399,C16_CF_NCu15DS_1400_1799,C16_CF_NCu15DS_1800_2399,C16_CF_NCu15DS_2400_2999,C16_CF_NCu15DS_3000_3999,C16_CF_NCu15DS_4000ov,C16_CF_NCu15DS_NS,C16_CF_NCu15DS_Tot,C16_CF_NDCO_0_299,C16_CF_NDCO_300_449,C16_CF_NDCO_450_599,C16_CF_NDCO_600_799,C16_CF_NDCO_800_999,C16_CF_NDCO_1000_1399,C16_CF_NDCO_1400_1799,C16_CF_NDCO_1800_2399,C16_CF_NDCO_2400_2999,C16_CF_NDCO_3000_3999,C16_CF_NDCO_4000ov,C16_CF_NDCO_NS,C16_CF_NDCO_Tot,C16_CF_T_0_299,C16_CF_T_300_449,C16_CF_T_450_599,C16_CF_T_600_799,C16_CF_T_800_999,C16_CF_T_1000_1399,C16_CF_T_1400_1799,C16_CF_T_1800_2399,C16_CF_T_2400_2999,C16_CF_T_3000_3999,C16_CF_T_4000ov,C16_CF_T_NS,C16_CF_T_T,C16_1PF_Cu15DS_0_299,C16_1PF_Cu15DS_300_449,C16_1PF_Cu15DS_450_599,C16_1PF_Cu15DS_600_799,C16_1PF_Cu15DS_800_999,C16_1PF_Cu15DS_1000_1399,C16_1PF_Cu15DS_1400_1799,C16_1PF_Cu15DS_1800_2399,C16_1PF_Cu15DS_2400_2999,C16_1PF_Cu15DS_3000_3999
101,270,231,273,138,149,92,62,1528,99,52,51,101,138,253,222,233,108,120,73,94,1539,349,252,229,487,727,1902,2104,2533,1420,1286,707,550,12540,16,7,10,26,24,56,42,45,17,10,3,11,267,25,23,40,62,99,258,197,167,88,42,33,63,1097,15,20,9,35,31,82,56,50,20,19,13,17,372,40,29,24,58,44,107,95,70,35,22,19,41,581,93,84,83,186,200,506,392,326,163,93,63,130,2319,883,550,510,1062,1383,3460,3404,4013,2291,1991,1157,1032,21745,492,261,225,372,477,1164,1108,1248,602,634,361,347,7298,44,19,22,55,90,242,260,389,220,193,97,88,1720,140,74,79,191,335,1046,1406,1788,947,835,433,253,7533,66,27,35,60,109,249,272,327,184,190,109,68,1680,91,60,48,86,130,312,278,307,153,152,85,114,1806,342,177,185,387,659,1846,2206,2808,1499,1372,729,523,12740,4,3,5,19,23,59,42,33,18,8
102,444,487,625,344,283,157,139,2997,142,81,80,162,179,492,508,619,325,218,131,190,3131,444,266,268,544,752,2466,3572,6133,3136,2000,998,964,21546,12,12,12,22,36,95,94,109,28,25,14,20,475,56,37,42,71,118,314,371,424,159,98,45,126,1857,29,28,20,60,62,172,151,167,43,31,17,41,814,100,62,60,89,123,285,258,212,66,61,27,97,1450,194,132,135,242,341,870,876,916,302,207,105,280,4598,1134,636,618,1149,1535,4449,5820,9275,4503,2933,1515,1747,35312,618,264,218,357,426,1277,1633,2205,948,724,431,383,9482,50,30,22,69,97,335,528,780,381,258,136,112,2786,224,80,78,179,292,1297,2434,4021,1967,1315,582,397,12857,102,72,34,101,173,408,542,777,330,259,167,122,3082,168,104,71,160,206,523,629,725,348,257,123,157,3474,539,284,209,503,763,2568,4127,6301,3022,2095,1006,785,22205,12,7,9,17,33,94,124,94,33,21
103,257,207,215,95,65,50,72,1309,79,59,53,110,129,274,201,228,79,65,34,93,1390,378,191,269,523,822,2150,2162,2448,1048,701,387,540,11623,5,19,6,31,21,57,37,32,13,8,0,13,243,37,36,44,81,131,260,170,128,42,26,8,50,1015,13,16,18,27,38,63,39,38,11,16,9,16,298,44,33,33,54,58,133,66,52,17,10,4,45,535,99,97,105,190,255,510,313,253,74,57,22,128,2092,882,519,576,1043,1538,3644,3394,3648,1514,1011,590,1022,19378,414,212,186,345,436,1133,951,908,380,260,186,291,5703,46,24,25,51,97,276,319,358,174,117,71,68,1622,173,76,109,224,425,1262,1510,1769,770,469,243,252,7297,39,31,33,89,102,244,247,259,127,86,51,69,1379,86,47,50,99,129,289,268,267,99,93,41,83,1562,345,176,218,469,762,2076,2337,2657,1178,767,409,465,11855,5,4,7,16,32,64,61,28,5,7
104,179,165,156,56,43,27,36,922,53,41,31,76,81,172,143,129,36,36,32,57,887,182,140,135,348,452,1249,1386,1504,573,342,202,284,6805,9,6,5,11,23,54,41,19,0,4,4,6,180,19,19,26,57,80,176,159,109,24,22,16,42,763,11,18,16,21,36,73,44,37,9,8,0,11,294,21,21,24,49,40,74,51,41,19,11,12,30,393,55,72,77,137,183,382,299,213,63,46,28,89,1635,529,422,359,722,970,2270,2257,2365,865,552,359,571,12235,301,167,140,229,323,714,699,654,237,158,95,164,3878,21,14,16,30,70,171,219,215,65,57,29,28,931,80,38,44,103,190,641,947,1034,393,198,104,120,3898,28,24,23,33,63,163,171,164,74,62,17,36,854,56,43,42,54,84,194,170,174,47,44,26,46,988,189,119,120,225,407,1181,1504,1588,582,361,175,230,6674,3,3,3,8,17,39,29,27,11,3
105,127,78,94,25,17,15,34,590,51,36,33,81,77,134,92,82,23,19,22,67,716,263,180,178,391,541,1241,1003,922,332,206,162,304,5743,7,10,8,13,25,26,21,8,3,0,0,5,134,41,48,53,105,102,165,111,57,26,11,10,49,774,5,12,13,27,21,31,21,7,0,3,3,10,160,17,27,30,44,33,59,28,22,9,6,6,25,293,78,101,101,188,179,281,179,90,36,25,17,84,1357,624,399,434,831,1010,2077,1586,1381,507,309,259,610,10025,284,135,125,240,286,609,449,348,124,95,78,191,2953,31,12,22,31,53,153,155,131,43,37,11,39,721,132,64,83,171,275,721,699,639,181,142,90,118,3311,36,16,26,42,62,112,103,82,32,21,16,26,580,43,26,26,56,77,161,120,90,48,31,13,54,754,241,126,159,303,459,1149,1076,949,303,225,135,239,5373,5,8,8,15,23,36,15,17,3,3
106,357,339,398,168,146,88,106,1974,92,85,92,152,179,427,406,423,188,153,74,167,2422,346,248,245,553,800,2462,3157,4231,1908,1405,652,790,16801,14,3,5,19,36,58,69,60,23,8,7,11,310,43,19,36,67,94,322,291,267,87,55,31,75,1381,25,22,18,39,45,115,89,73,14,17,10,23,489,46,43,26,62,78,166,126,102,29,27,17,45,765,123,88,94,192,248,653,574,504,156,98,66,162,2951,895,558,534,1087,1483,4209,5020,6404,2813,2084,992,1377,27463,452,238,195,316,430,1301,1535,1731,684,541,261,360,8056,44,23,17,70,95,346,474,599,294,193,70,83,2313,166,64,82,152,320,1373,2163,3008,1350,926,379,332,10324,78,40,45,81,142,336,360,515,217,150,78,88,2128,127,87,68,130,187,476,468,512,197,160,92,141,2654,414,215,215,434,741,2528,3471,4630,2057,1437,619,646,17416,10,6,11,18,25,88,59,41,28,12
107,400,374,466,264,243,128,126,2494,108,65,60,117,170,389,377,466,254,229,97,138,2457,421,293,232,503,759,2197,2734,4715,2976,2290,998,787,18906,12,3,8,15,22,60,64,66,38,21,8,19,343,56,23,31,56,80,242,236,322,127,88,33,72,1354,18,24,14,42,53,115,104,100,55,39,21,31,601,62,45,32,46,82,158,151,160,77,37,16,56,927,149,90,89,156,235,567,547,652,301,181,81,176,3226,877,534,452,932,1317,3524,4226,6979,4212,3219,1460,1301,29051,429,218,127,277,336,836,1032,1653,893,802,377,244,7222,70,29,21,53,76,289,364,626,326,283,169,110,2432,244,72,93,164,258,972,1781,3502,2045,1653,692,348,11819,131,69,50,100,131,377,432,613,318,294,177,114,2817,155,84,60,125,166,453,434,530,241,200,118,132,2683,601,263,222,445,635,2097,3013,5273,2933,2429,1157,695,19755,14,11,6,11,10,72,83,69,24,22
108,226,228,231,116,69,26,47,1295,64,64,48,110,119,246,187,173,83,47,39,72,1246,233,217,200,459,674,1723,1873,2092,892,549,287,415,9616,12,13,10,26,29,84,52,33,8,8,8,16,289,35,34,32,82,108,275,237,127,64,22,15,61,1098,13,21,21,42,51,93,49,60,11,3,11,20,396,54,39,38,55,76,129,66,71,11,11,8,32,593,107,100,99,206,266,577,399,288,98,49,41,132,2372,797,594,552,1078,1416,3319,3159,3330,1426,877,517,874,17924,480,257,240,413,505,1058,1035,1013,389,226,153,307,6072,31,24,23,43,85,274,304,335,108,90,46,56,1416,103,78,54,155,282,989,1244,1453,505,321,142,191,5520,39,32,21,53,96,234,225,221,91,77,49,41,1176,66,57,50,85,140,283,264,244,87,66,27,73,1453,245,189,150,333,602,1777,2038,2257,795,554,261,360,9569,3,5,6,15,14,80,62,31,9,5
109,171,140,127,47,31,15,53,796,53,39,31,63,74,154,102,97,25,24,25,69,752,280,129,179,339,493,1417,1256,1249,362,272,181,358,6509,11,10,8,13,17,29,21,10,3,3,0,12,141,21,23,31,75,79,143,92,52,9,12,5,27,576,10,15,15,24,42,48,36,20,10,0,3,13,226,22,26,9,17,46,63,33,26,8,5,3,26,290,69,69,66,132,184,283,188,115,27,19,14,80,1236,657,348,393,749,985,2418,2035,1815,522,392,285,664,11267,292,169,121,280,338,711,587,465,146,94,79,209,3477,50,24,19,32,71,189,179,154,50,45,32,43,878,119,52,66,177,316,867,898,825,220,166,91,157,3956,49,19,16,42,70,152,172,139,46,39,20,39,815,72,27,30,60,94,180,136,126,37,28,8,44,851,293,124,126,320,551,1385,1380,1252,360,267,160,287,6498,3,0,7,12,20,39,16,8,0,0
110,227,160,146,61,50,36,66,1044,83,47,47,107,124,255,184,138,53,44,32,97,1206,378,194,231,530,786,1956,1810,1593,651,393,287,482,9280,4,7,15,21,28,67,31,24,5,0,0,5,222,42,45,44,116,118,257,138,83,25,5,10,63,947,8,6,20,36,41,71,33,26,8,3,3,13,283,34,37,35,50,46,80,47,37,10,3,16,45,431,92,93,109,222,241,475,256,167,49,16,32,127,1876,893,527,536,1115,1490,3380,2820,2390,938,575,454,935,16049,451,176,188,335,450,1039,821,701,219,177,124,261,4944,46,24,29,52,92,224,224,236,92,64,42,66,1188,170,78,79,222,352,1141,1243,1114,419,290,179,206,5489,55,24,31,71,81,197,171,179,74,52,32,56,1014,63,40,44,88,116,243,209,198,61,44,26,74,1214,339,173,185,432,643,1808,1844,1719,646,445,276,401,8912,8,4,9,15,27,45,39,23,5,3
