SA4_CODE_2016,C06_M_NatPhy_sci_15_19,C06_M_NatPhy_sci_20_24,C06_M_NatPhy_sci_25_34,C06_M_NatPhy_sci_35_44,C06_M_NatPhy_sci_45_54,C06_M_NatPhy_sci_55_64,C06_M_NatPhy_sci_65_74,C06_M_NatPhy_sci_75_84,C06_M_NatPhy_sci_85_ov,C06_M_NatPhy_sci_Tot,C06_M_InfTec_15_19,C06_M_InfTec_20_24,C06_M_InfTec_25_34,C06_M_InfTec_35_44,C06_M_InfTec_45_54,C06_M_InfTec_55_64,C06_M_InfTec_65_74,C06_M_InfTec_75_84,C06_M_InfTec_85_ov,C06_M_InfTec_Tot,C06_M_EngRT_15_19,C06_M_EngRT_20_24,C06_M_EngRT_25_34,C06_M_EngRT_35_44,C06_M_EngRT_45_54,C06_M_EngRT_55_64,C06_M_EngRT_65_74,C06_M_EngRT_75_84,C06_M_EngRT_85_ov,C06_M_EngRT_Tot,C06_M_ArchBuild_15_19,C06_M_ArchBuild_20_24,C06_M_ArchBuild_25_34,C06_M_ArchBuild_35_44,C06_M_ArchBuild_45_54,C06_M_ArchBuild_55_64,C06_M_ArchBuild_65_74,C06_M_ArchBuild_75_84,C06_M_ArchBuild_85o,C06_M_Arch_building_Tot,C06_M_AgEnv_RS_15_19,C06_M_AgEnv_RS_20_24,C06_M_AgEnv_RS_25_34,C06_M_AgEnv_RS_35_44,C06_M_AgEnv_RS_45_54,C06_M_AgEnv_RS_55_64,C06_M_AgEnv_RS_65_74,C06_M_AgEnv_RS_75_84,C06_M_AgEnv_RS_85_ov,C06_M_AgEnv_RS_Tot,C06_M_Health_15_19,C06_M_Health_20_24,C06_M_Health_25_34,C06_M_Health_35_44,C06_M_Health_45_54,C06_M_Health_55_64,C06_M_Health_65_74,C06_M_Health_75_84,C06_M_Health_85o,C06_M_Healt_To,C06_M_Educ_15_19,C06_M_Educ_20_24,C06_M_Educ_25_34,C06_M_Educ_35_44,C06_M_Educ_45_54,C06_M_Educ_55_64,C06_M_Educ_65_74,C06_M_Educ_75_84,C06_M_Educ_85o,C06_M_Educ_Tot,C06_M_MngtCom_15_19,C06_M_MngtCom_20_24,C06_M_MngtCom_25_34,C06_M_MngtCom_35_44,C06_M_MngtCom_45_54,C06_M_MngtCom_55_64,C06_M_MngtCom_65_74,C06_M_MngtCom_75_84,C06_M_MngtCom_85o,C06_M_MngtCom_Tot,C06_M_Soc_cult_15_19,C06_M_Soc_cult_20_24,C06_M_Soc_cult_25_34,C06_M_Soc_cult_35_44,C06_M_Soc_cult_45_54,C06_M_Soc_cult_55_64,C06_M_Soc_cult_65_74,C06_M_Soc_cult_75_84,C06_M_Soc_cult_85o,C06_M_Soc_cult_Tot,C06_M_Creative_art_15_19,C06_M_Creative_art_20_24,C06_M_Creative_art_25_34,C06_M_Creative_art_35_44,C06_M_Creative_art_45_54,C06_M_Creative_art_55_64,C06_M_Creative_art_65_74,C06_M_Creative_art_75_84,C06_M_Creat_arts_85o,C06_M_Creative_arts_Tot,C06_M_FoodHos_PS_15_19,C06_M_FoodHos_PS_20_24,C06_M_FoodHos_PS_25_34,C06_M_FoodHos_PS_35_44,C06_M_FoodHos_PS_45_54,C06_M_FoodHos_PS_55_64,C06_M_FoodHos_PS_65_74,C06_M_FoodHos_PS_75_84,C06_M_FoodHos_PS_85o,C06_M_FoodHos_PS_Tot,C06_M_MixFld_pr_15_19,C06_M_MixFld_pr_20_24,C06_M_MixFld_pr_25_34,C06_M_MixFld_pr_35_44,C06_M_MixFld_pr_45_54,C06_M_MixFld_pr_55_64,C06_M_MixFld_pr_65_74,C06_M_MixFld_pr_75_84,C06_M_MixFld_pr_85_ov,C06_M_MixFld_pr_Tot,C06_M_FldStu_ID_15_19,C06_M_FldStu_ID_20_24,C06_M_FldStu_ID_25_34,C06_M_FldStu_ID_35_44,C06_M_FldStu_ID_45_54,C06_M_FldStu_ID_55_64,C06_M_FldStu_ID_65_74,C06_M_FldStu_ID_75_84,C06_M_FldStu_ID_85o,C06_M_FldStu_ID_Tot,C06_M_FldStu_NS_15_19,C06_M_FldStu_NS_20_24,C06_M_FldStu_NS_25_34,C06_M_FldStu_NS_35_44,C06_M_FldStu_NS_45_54,C06_M_FldStu_NS_55_64,C06_M_FldStu_NS_65_74,C06_M_FldStu_NS_75_84,C06_M_FldStu_NS_85o,C06_M_FldStu_NS_T,C06_M_Tot_15_19,C06_M_Tot_20_24,C06_M_Tot_25_34,C06_M_Tot_35_44,C06_M_Tot_45_54,C06_M_Tot_55_64,C06_M_Tot_65_74,C06_M_Tot_75_84,C06_M_Tot_85o,C06_M_T_T,C11_M_NatPhy_sci_15_19,C11_M_NatPhy_sci_20_24,C11_M_NatPhy_sci_25_34,C11_M_NatPhy_sci_35_44,C11_M_NatPhy_sci_45_54,C11_M_NatPhy_sci_55_64,C11_M_NatPhy_sci_65_74,C11_M_NatPhy_sci_75_84,C11_M_NatPhy_sci_85_ov,C11_M_NatPhy_sci_Tot,C11_M_InfTec_15_19,C11_M_InfTec_20_24,C11_M_InfTec_25_34,C11_M_InfTec_35_44,C11_M_InfTec_45_54,C11_M_InfTec_55_64,C11_M_InfTec_65_74,C11_M_InfTec_75_84,C11_M_InfTec_85_ov,C11_M_InfTec_Tot,C11_M_EngRT_15_19,C11_M_EngRT_20_24,C11_M_EngRT_25_34,C11_M_EngRT_35_44,C11_M_EngRT_45_54,C11_M_EngRT_55_64,C11_M_EngRT_65_74,C11_M_EngRT_75_84,C11_M_EngRT_85_ov,C11_M_EngRT_Tot,C11_M_ArchBuild_15_19,C11_M_ArchBuild_20_24,C11_M_ArchBuild_25_34,C11_M_ArchBuild_35_44,C11_M_ArchBuild_45_54,C11_M_ArchBuild_55_64,C11_M_ArchBuild_65_74,C11_M_ArchBuild_75_84,C11_M_ArchBuild_85o,C11_M_Arch_building_Tot,C11_M_AgEnv_RS_15_19,C11_M_AgEnv_RS_20_24,C11_M_AgEnv_RS_25_34,C11_M_AgEnv_RS_35_44,C11_M_AgEnv_RS_45_54,C11_M_AgEnv_RS_55_64,C11_M_AgEnv_RS_65_74,C11_M_AgEnv_RS_75_84,C11_M_AgEnv_RS_85o,C11_M_AgEnv_RS_Tot
101,0,23,127,224,273,260,118,53,5,1086,21,111,231,272,212,89,19,6,0,969,89,500,1583,2591,2658,2404,1581,686,115,12219,54,286,762,1163,1350,946,611,273,47,5485,27,162,475,614,591,443,231,125,13,2671,9,25,137,264,356,276,161,87,19,1331,5,20,157,257,591,480,204,62,11,1783,32,185,523,839,843,728,326,160,32,3665,17,104,416,648,608,578,243,123,21,2760,7,55,128,139,156,146,57,35,7,734,38,167,404,374,336,252,106,43,13,1728,3,3,4,7,5,9,3,5,4,46,8,24,65,106,131,107,59,41,13,551,848,534,1137,1338,1428,1257,1087,924,259,8811,1161,2196,6151,8825,9551,7968,4802,2620,562,43830,0,24,120,257,255,315,220,80,14,1286,40,116,359,327,292,174,42,9,0,1369,101,615,1550,2390,2872,2717,1889,819,217,13162,63,364,863,1151,1408,1187,727,338,76,6173,40,121,364,629,672,550,311,142,26,2853
102,4,59,157,204,200,152,115,80,12,987,64,252,392,358,244,84,17,0,0,1414,146,713,2560,4066,4284,3433,2489,1705,339,19734,109,574,1662,2047,1808,1321,915,553,96,9091,34,135,397,376,331,165,115,58,9,1611,26,77,385,485,616,320,192,129,30,2249,3,44,271,367,790,537,290,154,30,2481,64,474,1021,1395,1512,1116,605,392,96,6676,38,158,562,640,626,440,279,166,40,2957,23,130,264,206,210,181,107,64,10,1188,52,241,567,532,461,331,219,96,20,2510,9,3,9,3,10,5,9,8,0,56,12,30,77,131,140,109,54,60,15,633,1287,755,1367,1824,1828,1597,1768,2057,750,13227,1863,3635,9689,12637,13062,9791,7176,5513,1451,64812,0,69,147,225,204,207,151,76,24,1102,49,217,551,501,351,154,28,9,3,1857,109,872,2420,3584,4521,3989,3046,1728,520,20794,86,585,1715,2057,1991,1548,1035,589,170,9770,36,159,407,477,386,217,144,73,17,1920
103,0,28,91,120,157,143,45,12,3,609,43,122,141,127,96,53,16,0,0,592,145,697,2021,2684,2567,1946,1078,492,83,11711,74,271,774,736,789,567,371,162,21,3770,54,195,526,664,684,567,293,110,18,3116,15,38,136,250,309,224,108,71,5,1164,4,27,171,255,472,331,130,46,6,1452,44,204,459,589,637,521,230,84,17,2779,19,78,251,355,341,290,120,60,15,1527,17,51,92,64,108,97,35,12,8,481,41,176,324,304,231,160,90,37,14,1377,3,7,4,4,3,3,0,3,0,30,11,24,61,75,86,63,30,7,9,374,825,662,1228,1275,1182,1124,1066,896,241,8497,1285,2585,6297,7512,7672,6092,3606,1981,441,37470,3,22,89,139,148,144,77,26,8,664,23,99,216,140,110,70,24,0,0,691,134,922,2197,2626,2795,2289,1370,618,131,13087,66,385,812,792,857,731,413,216,45,4308,44,152,461,621,747,613,431,148,31,3247
104,0,12,53,85,108,105,49,23,7,441,19,65,89,56,98,35,4,0,0,364,53,249,771,1465,1756,1562,1077,569,99,7589,19,142,434,704,1007,650,413,207,46,3617,15,60,207,276,249,148,96,45,10,1108,4,23,120,208,258,151,86,54,11,931,4,21,98,162,466,337,185,57,15,1350,31,142,297,404,514,439,217,106,28,2171,13,42,147,283,340,276,114,48,9,1269,6,25,94,95,120,82,19,11,0,459,29,124,265,263,229,169,84,27,3,1193,3,5,0,0,5,4,0,0,3,22,3,17,27,56,73,57,37,12,0,291,564,295,512,698,743,652,710,681,254,5117,772,1219,3118,4760,5955,4672,3083,1841,486,25912,3,13,48,76,95,139,85,26,5,493,26,80,120,106,88,56,23,7,0,512,90,292,761,1226,1711,1910,1343,687,159,8174,50,165,466,686,991,872,489,235,67,4018,20,87,222,301,316,230,100,61,10,1350
105,0,5,53,63,53,52,18,6,0,248,13,55,56,44,43,9,3,0,0,228,86,354,991,1268,1355,927,522,236,40,5792,14,114,344,430,458,325,205,86,15,1994,34,145,387,442,372,288,126,59,13,1856,7,18,90,134,154,88,45,28,3,573,3,35,151,163,219,134,45,21,0,782,22,93,253,337,321,237,80,26,5,1382,9,34,202,206,171,116,50,20,6,808,0,19,19,37,37,25,8,9,0,150,12,83,176,140,146,95,52,31,5,741,0,3,0,4,11,0,0,3,0,21,11,9,29,41,38,34,17,12,0,187,583,422,692,818,864,789,726,600,129,5620,784,1393,3444,4127,4244,3135,1911,1125,208,20380,0,10,36,67,57,67,19,5,0,259,9,43,84,53,49,16,5,4,0,261,85,415,996,1155,1340,1124,657,288,69,6132,38,188,369,358,450,398,246,89,19,2156,39,138,335,438,438,281,171,76,12,1931
106,0,25,80,137,191,149,52,32,0,672,49,138,176,141,115,44,5,0,0,674,204,1167,3611,4781,4283,3109,1689,793,125,19756,50,320,838,1066,1020,842,516,238,33,4918,25,156,384,379,310,198,98,38,10,1591,9,58,148,303,394,257,127,57,15,1368,3,27,142,212,503,372,181,72,7,1512,38,258,618,761,764,655,309,142,25,3577,16,69,268,305,328,292,149,59,12,1493,11,51,83,65,94,101,41,21,4,463,57,200,478,400,268,241,133,53,10,1836,0,3,0,0,8,13,3,0,0,30,9,27,95,108,123,83,37,20,5,510,963,623,1268,1457,1361,1249,1109,1003,314,9356,1434,3111,8198,10115,9766,7595,4454,2527,555,47757,0,43,119,166,177,193,102,36,3,845,23,112,259,141,127,85,27,3,0,785,186,1650,4095,4671,4889,3933,2341,925,223,22911,47,351,886,1053,1102,934,662,246,57,5335,16,125,409,431,372,279,147,56,15,1858
107,3,97,286,266,339,264,120,43,9,1429,43,403,595,332,210,78,16,0,0,1679,117,980,3746,4992,5084,3684,2188,1170,216,22178,77,511,1440,1524,1218,886,685,355,64,6764,18,120,313,313,204,98,42,24,7,1141,5,88,388,461,458,261,146,83,10,1912,3,75,322,423,832,522,198,86,22,2484,64,530,1152,1195,1220,762,300,133,29,5390,29,256,640,665,656,394,183,72,13,2906,32,154,253,222,189,87,35,17,0,987,46,244,486,384,271,214,122,51,17,1841,6,22,10,9,15,6,8,3,0,79,17,54,119,134,114,97,39,24,3,589,1098,885,1295,1529,1463,1339,1373,1376,357,10723,1558,4427,11043,12443,12277,8691,5463,3446,764,60109,3,125,338,305,312,333,188,67,10,1691,53,289,773,408,277,120,29,5,0,1957,125,1222,3413,4479,5357,4391,2650,1358,395,23380,100,608,1529,1679,1433,981,705,408,98,7540,19,104,353,343,275,147,81,30,12,1374
108,3,9,47,63,102,154,88,54,11,529,22,100,103,113,97,56,12,3,0,511,101,367,1195,2126,2595,2673,2137,1253,194,12631,52,236,750,1138,1358,1052,771,401,66,5833,25,97,255,370,358,236,130,70,18,1554,11,41,160,308,442,258,134,96,24,1474,0,24,140,273,641,513,280,128,13,2006,42,165,347,492,625,703,403,255,54,3091,13,73,177,346,363,297,174,93,18,1552,4,38,77,78,129,104,67,38,3,529,42,175,372,346,311,274,149,64,14,1749,3,8,0,3,8,8,5,4,0,36,9,13,56,86,104,80,61,43,18,464,767,419,806,1024,1161,1090,1236,1357,435,8303,1102,1754,4486,6769,8298,7500,5637,3851,862,40261,0,0,32,85,91,165,138,54,20,602,29,101,160,125,116,116,30,10,0,690,91,459,1137,1829,2622,2909,2669,1419,391,13527,59,260,685,1040,1377,1335,942,471,103,6260,33,96,250,430,404,346,179,94,20,1851
109,0,9,50,48,61,43,21,12,0,244,19,61,128,71,44,28,5,3,0,361,58,402,1124,1369,1423,1037,603,305,48,6359,41,170,403,473,576,362,239,113,17,2394,38,158,395,466,422,261,114,51,11,1911,5,26,94,135,175,104,46,32,3,635,0,14,98,142,240,162,90,26,7,778,24,132,342,400,445,322,152,81,10,1906,3,37,166,160,187,118,53,24,6,753,5,37,56,40,46,35,19,8,5,248,22,112,212,188,150,100,65,28,6,892,0,0,0,0,0,3,0,3,0,8,3,11,40,49,43,30,13,14,6,207,537,252,472,592,654,610,697,679,146,4641,755,1419,3579,4132,4462,3229,2122,1370,269,21336,0,13,48,53,57,71,33,15,5,291,9,58,115,94,52,35,12,4,0,382,75,446,1035,1154,1441,1268,833,360,91,6695,52,259,433,455,543,426,288,165,27,2646,33,115,371,444,454,343,169,66,11,2011
110,3,30,100,125,171,158,68,36,9,702,26,100,112,84,64,28,6,3,0,419,142,567,1452,1822,1938,1523,859,346,69,8713,45,181,499,690,720,538,355,129,26,3179,63,220,573,683,567,542,267,101,25,3050,9,47,128,221,280,155,104,45,9,1005,18,30,177,260,440,324,147,51,8,1445,41,210,459,578,596,475,174,63,17,2618,7,93,280,395,399,337,115,61,11,1693,8,47,90,78,91,62,25,8,0,417,33,134,293,253,214,150,102,29,9,1219,8,10,3,8,0,7,3,0,0,39,6,18,56,108,89,59,17,17,4,367,705,413,867,1062,998,1005,998,874,227,7153,1113,2114,5093,6350,6565,5355,3256,1768,409,32019,3,26,83,129,144,185,117,30,18,737,22,69,162,106,89,56,11,6,0,521,114,645,1539,1663,2014,1770,1112,423,98,9380,63,289,588,625,783,670,411,194,32,3660,44,178,572,704,642,582,351,147,39,3249
