SA4_CODE_2016,C16_P_NatPhy_sci_15_19,C16_P_NatPhy_sci_20_24,C16_P_NatPhy_sci_25_34,C16_P_NatPhy_sci_35_44,C16_P_NatPhy_sci_45_54,C16_P_NatPhy_sci_55_64,C16_P_NatPhy_sci_65_74,C16_P_NatPhy_sci_75_84,C16_P_NatPhy_sci_85_ov,C16_P_NatPhy_sci_Tot,C16_P_InfTec_15_19,C16_P_InfTec_20_24,C16_P_InfTec_25_34,C16_P_InfTec_35_44,C16_P_InfTec_45_54,C16_P_InfTec_55_64,C16_P_InfTec_65_74,C16_P_InfTec_75_84,C16_P_InfTec_85_ov,C16_P_InfTec_Tot,C16_P_EngRT_15_19,C16_P_EngRT_20_24,C16_P_EngRT_25_34,C16_P_EngRT_35_44,C16_P_EngRT_45_54,C16_P_EngRT_55_64,C16_P_EngRT_65_74,C16_P_EngRT_75_84,C16_P_EngRT_85_ov,C16_P_EngRT_Tot,C16_P_ArchBuild_15_19,C16_P_ArchBuild_20_24,C16_P_ArchBuild_25_34,C16_P_ArchBuild_35_44,C16_P_ArchBuild_45_54,C16_P_ArchBuild_55_64,C16_P_ArchBuild_65_74,C16_P_ArchBuild_75_84,C16_P_ArchBuild_85o,C16_P_Arch_building_Tot,C16_P_AgEnv_RS_15_19,C16_P_AgEnv_RS_20_24,C16_P_AgEnv_RS_25_34,C16_P_AgEnv_RS_35_44,C16_P_AgEnv_RS_45_54,C16_P_AgEnv_RS_55_64,C16_P_AgEnv_RS_65_74,C16_P_AgEnv_RS_75_84,C16_P_AgEnv_RS_85o,C16_P_AgEnv_RS_Tot,C16_P_Health_15_19,C16_P_Health_20_24,C16_P_Health_25_34,C16_P_Health_35_44,C16_P_Health_45_54,C16_P_Health_55_64,C16_P_Health_65_74,C16_P_Health_75_84,C16_P_Health_85o,C16_P_Healt_To,C16_P_Educ_15_19,C16_P_Educ_20_24,C16_P_Educ_25_34,C16_P_Educ_35_44,C16_P_Educ_45_54,C16_P_Educ_55_64,C16_P_Educ_65_74,C16_P_Educ_75_84,C16_P_Educ_85o,C16_P_Educ_Tot,C16_P_MngtCom_15_19,C16_P_MngtCom_20_24,C16_P_MngtCom_25_34,C16_P_MngtCom_35_44,C16_P_MngtCom_45_54,C16_P_MngtCom_55_64,C16_P_MngtCom_65_74,C16_P_MngtCom_75_84,C16_P_MngtCom_85o,C16_P_MngtCom_Tot,C16_P_Soc_cult_15_19,C16_P_Soc_cult_20_24,C16_P_Soc_cult_25_34,C16_P_Soc_cult_35_44,C16_P_Soc_cult_45_54,C16_P_Soc_cult_55_64,C16_P_Soc_cult_65_74,C16_P_Soc_cult_75_84,C16_P_Soc_cult_85o,C16_P_Society_cultur_Tot,C16_P_Creative_art_15_19,C16_P_Creative_art_20_24,C16_P_Creative_art_25_34,C16_P_Creative_art_35_44,C16_P_Creative_art_45_54,C16_P_Creative_art_55_64,C16_P_Creative_art_65_74,C16_P_Creative_art_75_84,C16_P_Creative_art_85o,C16_P_Creative_arts_Tot,C16_P_FoodHos_PS_15_19,C16_P_FoodHos_PS_20_24,C16_P_FoodHos_PS_25_34,C16_P_FoodHos_PS_35_44,C16_P_FoodHos_PS_45_54,C16_P_FoodHos_PS_55_64,C16_P_FoodHos_PS_65_74,C16_P_FoodHos_PS_75_84,C16_P_FoodHos_PS_85o,C16_P_Foo_hos_pers_S_Tot,C16_P_MixFld_pr_15_19,C16_P_MixFld_pr_20_24,C16_P_MixFld_pr_25_34,C16_P_MixFld_pr_35_44,C16_P_MixFld_pr_45_54,C16_P_MixFld_pr_55_64,C16_P_MixFld_pr_65_74,C16_P_MixFld_pr_75_84,C16_P_MixFld_pr_85_ov,C16_P_MixFld_pr_Tot,C16_P_FldStu_ID_15_19,C16_P_FldStu_ID_20_24,C16_P_FldStu_ID_25_34,C16_P_FldStu_ID_35_44,C16_P_FldStu_ID_45_54,C16_P_FldStu_ID_55_64,C16_P_FldStu_ID_65_74,C16_P_FldStu_ID_75_84,C16_P_FldStu_ID_85o,C16_P_FldStu_ID_Tot,C16_P_FldStu_NS_15_19,C16_P_FldStu_NS_20_24,C16_P_FldStu_NS_25_34,C16_P_FldStu_NS_35_44,C16_P_FldStu_NS_45_54,C16_P_FldStu_NS_55_64,C16_P_FldStu_NS_65_74,C16_P_FldStu_NS_75_84,C16_P_FldStu_NS_85o,C16_P_FldStu_NS_T,C16_P_Tot_15_19,C16_P_Tot_20_24,C16_P_Tot_25_34,C16_P_Tot_35_44,C16_P_Tot_45_54,C16_P_Tot_55_64,C16_P_Tot_65_74,C16_P_Tot_75_84,C16_P_Tot_85o,C16_P_T_T
101,0,81,306,497,571,558,474,125,49,2665,46,132,479,520,471,362,153,24,6,2190,68,614,2092,2325,2989,3005,2516,1246,337,15182,75,483,1197,1196,1411,1475,955,437,108,7333,52,245,618,893,960,852,574,211,54,4457,37,308,1251,1433,1925,2373,1347,618,179,9475,13,196,1014,1351,1499,2126,1504,502,119,8321,149,744,2549,3299,3806,3074,2041,613,191,16465,132,603,1967,2523,2779,2510,1499,382,78,12477,22,177,573,543,533,521,339,129,34,2872,165,536,1292,1125,958,716,505,132,38,5471,12,12,11,19,29,35,49,48,20,225,13,53,158,273,323,263,178,69,37,1366,1540,1059,2296,2496,3078,3090,3074,2365,1369,20367,2316,5240,15812,18499,21329,20951,15200,6902,2622,108862
102,7,158,448,582,511,468,341,154,52,2714,55,185,680,806,658,372,160,34,6,2949,110,765,2864,3376,4486,4618,3997,2279,843,23345,114,651,2092,2265,2246,1827,1319,740,221,11474,48,251,631,678,612,448,231,117,32,3035,151,679,2743,2988,3299,3166,1717,779,271,15787,28,378,2084,2211,2133,2749,1783,760,216,12350,284,1470,4499,5871,5589,4751,3562,1348,501,27864,273,1222,3285,3554,3421,2683,1510,463,143,16553,118,504,1088,1058,748,609,374,186,57,4733,277,883,2073,1843,1577,1056,865,318,107,8998,35,24,33,27,41,41,79,104,32,410,15,77,192,304,353,288,201,89,56,1571,1612,1288,2384,2698,3147,3114,3495,3400,2616,23760,3126,8526,25082,28246,28816,26191,19634,10777,5143,155541
103,3,57,242,314,281,247,204,57,14,1405,25,75,277,228,192,150,78,15,3,1045,127,925,2754,2613,2884,2654,1987,876,254,15076,79,364,969,935,900,863,582,276,62,5026,72,244,642,840,895,816,626,292,59,4485,89,511,1713,1591,1761,1947,1161,521,207,9505,41,277,1319,1509,1426,1816,1084,405,130,8002,150,795,2500,2761,2937,2276,1411,479,148,13453,145,640,1741,1722,1727,1365,768,219,59,8384,36,152,442,414,348,247,228,64,21,1944,187,543,1169,1012,798,492,336,116,40,4693,26,27,14,23,20,30,38,41,10,228,17,44,125,163,205,153,104,50,21,880,1722,1521,2620,2605,3027,2935,3072,2244,1028,20776,2723,6177,16511,16716,17398,15989,11675,5656,2049,94905
104,3,39,127,196,205,229,189,64,17,1074,21,84,189,163,139,149,71,13,0,823,63,402,1079,1178,1668,1961,1795,854,276,9289,34,187,568,672,826,1035,690,329,82,4419,18,116,350,435,457,358,193,80,25,2037,42,251,946,1157,1393,1673,903,375,122,6867,14,135,704,868,1012,1585,1017,370,78,5781,129,505,1418,1847,2028,2076,1308,497,164,9966,73,342,1028,1329,1545,1575,770,204,57,6921,18,91,304,357,283,327,206,72,16,1675,137,328,780,703,627,518,356,125,54,3631,15,11,20,9,21,13,27,33,23,175,6,21,66,132,155,144,114,55,26,719,926,608,1241,1333,1658,1935,1858,1635,1014,12205,1506,3122,8801,10380,12016,13593,9496,4694,1965,65577
105,0,18,122,113,120,84,51,17,0,529,4,44,153,89,92,75,26,4,0,495,71,481,1303,1174,1266,1265,851,378,115,6908,35,176,477,397,415,460,288,148,38,2425,48,172,434,495,557,439,271,125,29,2561,40,313,1021,839,925,1009,520,231,84,4978,16,158,915,854,778,805,420,136,55,4149,59,388,1447,1374,1447,1096,541,175,47,6568,72,332,1085,901,928,728,296,65,20,4420,4,67,144,118,84,113,71,14,3,625,82,268,595,472,380,276,212,56,15,2346,10,8,12,11,14,16,28,22,8,135,4,26,71,81,85,76,48,25,6,435,931,906,1957,1663,1901,1907,1745,1345,694,13044,1368,3352,9743,8572,8990,8361,5377,2744,1112,49615
106,3,74,358,408,370,372,234,77,23,1917,17,95,356,317,244,212,103,16,0,1357,134,1550,4768,4836,5302,4492,3263,1441,377,26159,70,377,1162,1153,1223,1115,884,396,109,6496,68,246,587,722,584,430,250,102,26,3014,111,534,1942,2023,2261,2369,1325,518,155,11234,23,235,1383,1490,1482,1863,1149,413,128,8173,271,1340,3924,4133,3810,3034,2005,604,161,19279,183,835,2131,2105,1948,1624,839,246,57,9973,42,207,465,450,331,310,246,93,31,2177,218,830,1852,1566,1139,697,565,185,41,7098,31,19,37,40,22,56,55,40,19,317,20,61,175,240,270,182,136,76,18,1177,1601,1304,2962,2785,3009,2982,3003,2283,1256,21185,2790,7704,22094,22272,22007,19719,14050,6507,2399,119550
107,11,364,846,751,595,565,406,139,20,3702,30,294,972,865,527,296,115,17,3,3125,116,1392,4191,4410,5205,5089,3637,1905,604,26546,143,757,1828,1858,1760,1270,850,509,152,9131,23,161,472,533,408,292,135,59,17,2098,101,814,2891,2737,2597,2385,1138,488,161,13312,51,466,2203,2325,2110,2943,1598,594,147,12439,266,1874,4922,5365,4948,3856,2200,714,268,24411,212,1438,3575,3462,3192,2459,1207,363,88,15991,74,607,1166,962,684,496,266,119,36,4410,245,849,1665,1459,1193,734,501,184,71,6909,36,58,32,24,33,39,72,57,28,375,24,100,239,313,297,228,138,66,24,1436,1346,1326,2385,2255,2529,2565,2705,2502,1577,19173,2675,10509,27391,27326,26061,23213,14965,7723,3189,143053
108,0,35,111,217,235,303,308,107,30,1345,34,84,186,233,255,250,165,29,4,1244,81,537,1391,1817,2565,3310,3476,1877,614,15665,72,253,820,1017,1369,1539,1182,644,148,7053,35,151,417,542,602,563,342,135,29,2808,67,351,1306,1571,2169,2691,1555,671,218,10593,24,185,952,1234,1435,2249,1629,660,164,8541,176,691,1880,2495,2952,3158,2632,973,324,15280,109,530,1499,1866,2063,2021,1112,318,70,9576,29,96,270,336,346,394,300,138,53,1969,169,474,1090,1153,958,846,674,222,77,5659,21,26,22,17,23,37,56,76,35,306,10,32,75,141,167,188,199,86,30,932,1443,913,1730,1849,2579,3051,3651,3101,2016,20332,2280,4356,11741,14489,17732,20599,17277,9029,3810,101308
109,3,28,138,178,134,124,77,28,5,713,3,54,150,150,98,94,46,3,0,597,73,466,1294,1210,1386,1468,1153,506,149,7707,46,260,624,504,500,583,379,216,60,3164,29,174,539,596,587,488,295,115,40,2864,37,273,999,899,974,1177,689,272,97,5414,9,160,740,765,800,961,559,242,54,4293,62,479,1513,1637,1548,1280,730,270,95,7617,80,346,909,1011,1015,841,436,104,19,4758,16,75,222,174,151,127,91,35,12,918,110,320,747,628,528,372,251,106,36,3084,19,26,16,12,16,18,30,30,15,184,3,18,75,107,109,84,41,34,7,480,822,695,1195,1225,1426,1717,1722,1469,725,10989,1307,3358,9162,9090,9272,9326,6505,3442,1314,52776
110,3,85,275,312,282,305,209,72,25,1565,18,75,215,177,146,101,54,14,3,801,119,744,1950,1771,1971,2028,1457,646,158,10846,67,293,734,670,748,743,545,254,53,4113,91,298,862,959,949,694,555,242,33,4676,90,403,1473,1307,1548,1785,999,435,156,8199,25,219,1082,1294,1356,1531,978,380,99,6960,134,661,2119,2318,2389,2005,1217,385,124,11361,144,579,1609,1707,1636,1462,795,215,38,8179,22,96,314,269,269,195,177,79,19,1447,145,411,979,735,591,475,266,89,23,3703,32,31,28,15,29,24,46,43,10,255,12,41,109,136,175,156,105,36,7,777,1636,1183,2203,2227,2642,2819,2688,2067,991,18452,2535,5113,13936,13898,14743,14320,10075,4968,1743,81332
