LGA_NAME16	Year	AustCitizen	Sex	persons
Albury (C)	2006	0		3835
Albury (C)	2006	1	F	22012
Albury (C)	2006	1	M	20438
Albury (C)	2011	0		4594
Albury (C)	2011	1	F	22504
Albury (C)	2011	1	M	20710
Albury (C)	2016	0		6047
Albury (C)	2016	1	F	23328
Albury (C)	2016	1	M	21701
Armidale Regional (A)	2006	0		2576
Armidale Regional (A)	2006	1	F	12965
Armidale Regional (A)	2006	1	M	12054
Armidale Regional (A)	2011	0		3288
Armidale Regional (A)	2011	1	F	13118
Armidale Regional (A)	2011	1	M	12097
Armidale Regional (A)	2016	0		4220
Armidale Regional (A)	2016	1	F	13073
Armidale Regional (A)	2016	1	M	12156
Ballina (A)	2006	0		2935
Ballina (A)	2006	1	F	18517
Ballina (A)	2006	1	M	17010
Ballina (A)	2011	0		3253
Ballina (A)	2011	1	F	18736
Ballina (A)	2011	1	M	17283
Ballina (A)	2016	0		4463
Ballina (A)	2016	1	F	19331
Ballina (A)	2016	1	M	17996
Balranald (A)	2006	0		229
Balranald (A)	2006	1	F	1069
Balranald (A)	2006	1	M	1144
Balranald (A)	2011	0		280
Balranald (A)	2011	1	F	981
Balranald (A)	2011	1	M	1021
Balranald (A)	2016	0		317
Balranald (A)	2016	1	F	953
Balranald (A)	2016	1	M	1017
Bathurst Regional (A)	2006	0		3460
Bathurst Regional (A)	2006	1	F	16509
Bathurst Regional (A)	2006	1	M	15876
Bathurst Regional (A)	2011	0		3882
Bathurst Regional (A)	2011	1	F	17609
Bathurst Regional (A)	2011	1	M	17026
Bathurst Regional (A)	2016	0		5243
Bathurst Regional (A)	2016	1	F	18362
Bathurst Regional (A)	2016	1	M	17695
Bega Valley (A)	2006	0		2442
Bega Valley (A)	2006	1	F	14535
Bega Valley (A)	2006	1	M	14084
Bega Valley (A)	2011	0		2576
Bega Valley (A)	2011	1	F	14977
Bega Valley (A)	2011	1	M	14397
Bega Valley (A)	2016	0		3492
Bega Valley (A)	2016	1	F	15221
Bega Valley (A)	2016	1	M	14540
Bellingen (A)	2006	0		1085
Bellingen (A)	2006	1	F	5808
Bellingen (A)	2006	1	M	5524
Bellingen (A)	2011	0		973
Bellingen (A)	2011	1	F	5941
Bellingen (A)	2011	1	M	5601
Bellingen (A)	2016	0		1290
Bellingen (A)	2016	1	F	5885
Bellingen (A)	2016	1	M	5493
Berrigan (A)	2006	0		505
Berrigan (A)	2006	1	F	3743
Berrigan (A)	2006	1	M	3745
Berrigan (A)	2011	0		651
Berrigan (A)	2011	1	F	3740
Berrigan (A)	2011	1	M	3676
Berrigan (A)	2016	0		1049
Berrigan (A)	2016	1	F	3730
Berrigan (A)	2016	1	M	3683
Blacktown (C)	2006	0		43539
Blacktown (C)	2006	1	F	115541
Blacktown (C)	2006	1	M	112632
Blacktown (C)	2011	0		49420
Blacktown (C)	2011	1	F	126942
Blacktown (C)	2011	1	M	124735
Blacktown (C)	2016	0		64905
Blacktown (C)	2016	1	F	136792
Blacktown (C)	2016	1	M	135265
Bland (A)	2006	0		339
Bland (A)	2006	1	F	2900
Bland (A)	2006	1	M	2859
Bland (A)	2011	0		309
Bland (A)	2011	1	F	2796
Bland (A)	2011	1	M	2757
Bland (A)	2016	0		811
Bland (A)	2016	1	F	2574
Bland (A)	2016	1	M	2570
Blayney (A)	2006	0		407
Blayney (A)	2006	1	F	3096
Blayney (A)	2006	1	M	3091
Blayney (A)	2011	0		567
Blayney (A)	2011	1	F	3229
Blayney (A)	2011	1	M	3189
Blayney (A)	2016	0		648
Blayney (A)	2016	1	F	3337
Blayney (A)	2016	1	M	3272
Blue Mountains (C)	2006	0		7210
Blue Mountains (C)	2006	1	F	34506
Blue Mountains (C)	2006	1	M	32348
Blue Mountains (C)	2011	0		7775
Blue Mountains (C)	2011	1	F	35303
Blue Mountains (C)	2011	1	M	32863
Blue Mountains (C)	2016	0		7617
Blue Mountains (C)	2016	1	F	35851
Blue Mountains (C)	2016	1	M	33436
Bogan (A)	2006	0		131
Bogan (A)	2006	1	F	1326
Bogan (A)	2006	1	M	1422
Bogan (A)	2011	0		294
Bogan (A)	2011	1	F	1284
Bogan (A)	2011	1	M	1322
Bogan (A)	2016	0		367
Bogan (A)	2016	1	F	1154
Bogan (A)	2016	1	M	1171
Botany Bay (C)	2006	0		7251
Botany Bay (C)	2006	1	F	14619
Botany Bay (C)	2006	1	M	14124
Botany Bay (C)	2011	0		8045
Botany Bay (C)	2011	1	F	15887
Botany Bay (C)	2011	1	M	15422
Botany Bay (C)	2016	0		12164
Botany Bay (C)	2016	1	F	17368
Botany Bay (C)	2016	1	M	17122
Bourke (A)	2006	0		313
Bourke (A)	2006	1	F	1359
Bourke (A)	2006	1	M	1422
Bourke (A)	2011	0		513
Bourke (A)	2011	1	F	1171
Bourke (A)	2011	1	M	1183
Bourke (A)	2016	0		571
Bourke (A)	2016	1	F	1043
Bourke (A)	2016	1	M	1020
Brewarrina (A)	2006	0		221
Brewarrina (A)	2006	1	F	863
Brewarrina (A)	2006	1	M	859
Brewarrina (A)	2011	0		161
Brewarrina (A)	2011	1	F	805
Brewarrina (A)	2011	1	M	800
Brewarrina (A)	2016	0		188
Brewarrina (A)	2016	1	F	725
Brewarrina (A)	2016	1	M	738
Broken Hill (C)	2006	0		1865
Broken Hill (C)	2006	1	F	8996
Broken Hill (C)	2006	1	M	8505
Broken Hill (C)	2011	0		1686
Broken Hill (C)	2011	1	F	8664
Broken Hill (C)	2011	1	M	8169
Broken Hill (C)	2016	0		1719
Broken Hill (C)	2016	1	F	8240
Broken Hill (C)	2016	1	M	7749
Burwood (A)	2006	0		8426
Burwood (A)	2006	1	F	11735
Burwood (A)	2006	1	M	10763
Burwood (A)	2011	0		9242
Burwood (A)	2011	1	F	12107
Burwood (A)	2011	1	M	11075
Burwood (A)	2016	0		13133
Burwood (A)	2016	1	F	12305
Burwood (A)	2016	1	M	11371
Byron (A)	2006	0		4263
Byron (A)	2006	1	F	12573
Byron (A)	2006	1	M	11929
Byron (A)	2011	0		3803
Byron (A)	2011	1	F	13087
Byron (A)	2011	1	M	12317
Byron (A)	2016	0		5971
Byron (A)	2016	1	F	13309
Byron (A)	2016	1	M	12276
Cabonne (A)	2006	0		762
Cabonne (A)	2006	1	F	5820
Cabonne (A)	2006	1	M	5814
Cabonne (A)	2011	0		792
Cabonne (A)	2011	1	F	6014
Cabonne (A)	2011	1	M	6017
Cabonne (A)	2016	0		1154
Cabonne (A)	2016	1	F	6114
Cabonne (A)	2016	1	M	6118
Camden (A)	2006	0		4667
Camden (A)	2006	1	F	22959
Camden (A)	2006	1	M	22019
Camden (A)	2011	0		5079
Camden (A)	2011	1	F	26352
Camden (A)	2011	1	M	25288
Camden (A)	2016	0		8101
Camden (A)	2016	1	F	35734
Camden (A)	2016	1	M	34383
Campbelltown (C) (NSW)	2006	0		20143
Campbelltown (C) (NSW)	2006	1	F	62527
Campbelltown (C) (NSW)	2006	1	M	60405
Campbelltown (C) (NSW)	2011	0		21087
Campbelltown (C) (NSW)	2011	1	F	63640
Campbelltown (C) (NSW)	2011	1	M	61242
Campbelltown (C) (NSW)	2016	0		25995
Campbelltown (C) (NSW)	2016	1	F	66444
Campbelltown (C) (NSW)	2016	1	M	64567
Canada Bay (A)	2006	0		11282
Canada Bay (A)	2006	1	F	28443
Canada Bay (A)	2006	1	M	26021
Canada Bay (A)	2011	0		14915
Canada Bay (A)	2011	1	F	31549
Canada Bay (A)	2011	1	M	29298
Canada Bay (A)	2016	0		21736
Canada Bay (A)	2016	1	F	34340
Canada Bay (A)	2016	1	M	31939
Canterbury-Bankstown (A)	2006	0		50568
Canterbury-Bankstown (A)	2006	1	F	127016
Canterbury-Bankstown (A)	2006	1	M	122865
Canterbury-Bankstown (A)	2011	0		56708
Canterbury-Bankstown (A)	2011	1	F	133204
Canterbury-Bankstown (A)	2011	1	M	129895
Canterbury-Bankstown (A)	2016	0		70881
Canterbury-Bankstown (A)	2016	1	F	139096
Canterbury-Bankstown (A)	2016	1	M	136325
Carrathool (A)	2006	0		324
Carrathool (A)	2006	1	F	1178
Carrathool (A)	2006	1	M	1315
Carrathool (A)	2011	0		238
Carrathool (A)	2011	1	F	1108
Carrathool (A)	2011	1	M	1239
Carrathool (A)	2016	0		400
Carrathool (A)	2016	1	F	1106
Carrathool (A)	2016	1	M	1213
Central Coast (C) (NSW)	2006	0		33482
Central Coast (C) (NSW)	2006	1	F	136893
Central Coast (C) (NSW)	2006	1	M	127582
Central Coast (C) (NSW)	2011	0		32019
Central Coast (C) (NSW)	2011	1	F	145313
Central Coast (C) (NSW)	2011	1	M	134850
Central Coast (C) (NSW)	2016	0		35733
Central Coast (C) (NSW)	2016	1	F	150449
Central Coast (C) (NSW)	2016	1	M	141554
Central Darling (A)	2006	0		201
Central Darling (A)	2006	1	F	814
Central Darling (A)	2006	1	M	924
Central Darling (A)	2011	0		224
Central Darling (A)	2011	1	F	856
Central Darling (A)	2011	1	M	912
Central Darling (A)	2016	0		310
Central Darling (A)	2016	1	F	725
Central Darling (A)	2016	1	M	798
Cessnock (C)	2006	0		3922
Cessnock (C)	2006	1	F	21601
Cessnock (C)	2006	1	M	20686
Cessnock (C)	2011	0		4540
Cessnock (C)	2011	1	F	23542
Cessnock (C)	2011	1	M	22758
Cessnock (C)	2016	0		6042
Cessnock (C)	2016	1	F	25209
Cessnock (C)	2016	1	M	24309
Clarence Valley (A)	2006	0		3544
Clarence Valley (A)	2006	1	F	22644
Clarence Valley (A)	2006	1	M	21960
Clarence Valley (A)	2011	0		3789
Clarence Valley (A)	2011	1	F	23394
Clarence Valley (A)	2011	1	M	22483
Clarence Valley (A)	2016	0		5099
Clarence Valley (A)	2016	1	F	23080
Clarence Valley (A)	2016	1	M	22492
Cobar (A)	2006	0		582
Cobar (A)	2006	1	F	2082
