SA2_NAME16	Year	Occupation	workers
Braidwood	2006		20
Braidwood	2006	Clerical and administrative workers	92
Braidwood	2006	Community and personal service workers	94
Braidwood	2006	Labourers	118
Braidwood	2006	Machinery operators and drivers	71
Braidwood	2006	Managers	252
Braidwood	2006	Professionals	195
Braidwood	2006	Sales workers	80
Braidwood	2006	Technicians and trades workers	141
Braidwood	2011		28
Braidwood	2011	Clerical and administrative workers	180
Braidwood	2011	Community and personal service workers	140
Braidwood	2011	Labourers	141
Braidwood	2011	Machinery operators and drivers	105
Braidwood	2011	Managers	360
Braidwood	2011	Professionals	278
Braidwood	2011	Sales workers	95
Braidwood	2011	Technicians and trades workers	229
Braidwood	2016		47
Braidwood	2016	Clerical and administrative workers	190
Braidwood	2016	Community and personal service workers	123
Braidwood	2016	Labourers	156
Braidwood	2016	Machinery operators and drivers	113
Braidwood	2016	Managers	371
Braidwood	2016	Professionals	312
Braidwood	2016	Sales workers	108
Braidwood	2016	Technicians and trades workers	222
Karabar	2006		108
Karabar	2006	Clerical and administrative workers	907
Karabar	2006	Community and personal service workers	502
Karabar	2006	Labourers	577
Karabar	2006	Machinery operators and drivers	342
Karabar	2006	Managers	493
Karabar	2006	Professionals	629
Karabar	2006	Sales workers	377
Karabar	2006	Technicians and trades workers	777
Karabar	2011		104
Karabar	2011	Clerical and administrative workers	961
Karabar	2011	Community and personal service workers	458
Karabar	2011	Labourers	462
Karabar	2011	Machinery operators and drivers	336
Karabar	2011	Managers	463
Karabar	2011	Professionals	663
Karabar	2011	Sales workers	383
Karabar	2011	Technicians and trades workers	714
Karabar	2016		97
Karabar	2016	Clerical and administrative workers	837
Karabar	2016	Community and personal service workers	471
Karabar	2016	Labourers	413
Karabar	2016	Machinery operators and drivers	281
Karabar	2016	Managers	454
Karabar	2016	Professionals	610
Karabar	2016	Sales workers	365
Karabar	2016	Technicians and trades workers	671
Queanbeyan	2006		78
Queanbeyan	2006	Clerical and administrative workers	869
Queanbeyan	2006	Community and personal service workers	420
Queanbeyan	2006	Labourers	522
Queanbeyan	2006	Machinery operators and drivers	300
Queanbeyan	2006	Managers	422
Queanbeyan	2006	Professionals	789
Queanbeyan	2006	Sales workers	378
Queanbeyan	2006	Technicians and trades workers	696
Queanbeyan	2011		159
Queanbeyan	2011	Clerical and administrative workers	1054
Queanbeyan	2011	Community and personal service workers	551
Queanbeyan	2011	Labourers	485
Queanbeyan	2011	Machinery operators and drivers	324
Queanbeyan	2011	Managers	564
Queanbeyan	2011	Professionals	1055
Queanbeyan	2011	Sales workers	442
Queanbeyan	2011	Technicians and trades workers	792
Queanbeyan	2016		135
Queanbeyan	2016	Clerical and administrative workers	996
Queanbeyan	2016	Community and personal service workers	714
Queanbeyan	2016	Labourers	527
Queanbeyan	2016	Machinery operators and drivers	296
Queanbeyan	2016	Managers	622
Queanbeyan	2016	Professionals	1043
Queanbeyan	2016	Sales workers	523
Queanbeyan	2016	Technicians and trades workers	754
Queanbeyan - East	2006		42
Queanbeyan - East	2006	Clerical and administrative workers	402
Queanbeyan - East	2006	Community and personal service workers	199
Queanbeyan - East	2006	Labourers	203
Queanbeyan - East	2006	Machinery operators and drivers	126
Queanbeyan - East	2006	Managers	313
Queanbeyan - East	2006	Professionals	428
Queanbeyan - East	2006	Sales workers	190
Queanbeyan - East	2006	Technicians and trades workers	320
Queanbeyan - East	2011		67
Queanbeyan - East	2011	Clerical and administrative workers	511
Queanbeyan - East	2011	Community and personal service workers	262
Queanbeyan - East	2011	Labourers	227
Queanbeyan - East	2011	Machinery operators and drivers	156
Queanbeyan - East	2011	Managers	327
Queanbeyan - East	2011	Professionals	540
Queanbeyan - East	2011	Sales workers	225
Queanbeyan - East	2011	Technicians and trades workers	401
Queanbeyan - East	2016		45
Queanbeyan - East	2016	Clerical and administrative workers	463
Queanbeyan - East	2016	Community and personal service workers	302
Queanbeyan - East	2016	Labourers	230
Queanbeyan - East	2016	Machinery operators and drivers	147
Queanbeyan - East	2016	Managers	323
Queanbeyan - East	2016	Professionals	518
Queanbeyan - East	2016	Sales workers	241
Queanbeyan - East	2016	Technicians and trades workers	369
Queanbeyan Region	2006		102
Queanbeyan Region	2006	Clerical and administrative workers	1182
Queanbeyan Region	2006	Community and personal service workers	496
Queanbeyan Region	2006	Labourers	409
Queanbeyan Region	2006	Machinery operators and drivers	330
Queanbeyan Region	2006	Managers	1353
Queanbeyan Region	2006	Professionals	1590
Queanbeyan Region	2006	Sales workers	423
Queanbeyan Region	2006	Technicians and trades workers	960
Queanbeyan Region	2011		153
Queanbeyan Region	2011	Clerical and administrative workers	1452
Queanbeyan Region	2011	Community and personal service workers	642
Queanbeyan Region	2011	Labourers	438
Queanbeyan Region	2011	Machinery operators and drivers	369
Queanbeyan Region	2011	Managers	1515
Queanbeyan Region	2011	Professionals	1705
Queanbeyan Region	2011	Sales workers	486
Queanbeyan Region	2011	Technicians and trades workers	1063
Queanbeyan Region	2016		205
Queanbeyan Region	2016	Clerical and administrative workers	1591
Queanbeyan Region	2016	Community and personal service workers	770
