SA2_NAME16	Year	averageNumberOfPersonsPerBedroom
Braidwood	2006	0.8
Karabar	2006	0.8
Queanbeyan	2006	0.8
Queanbeyan - East	2006	0.8
Queanbeyan Region	2006	0.8
Queanbeyan West - Jerrabomberra	2006	0.8
Bombala	2006	0.7
Cooma	2006	0.7
Cooma Region	2006	0.8
Jindabyne - Berridale	2006	0.8
Batemans Bay	2006	0.8
Batemans Bay - South	2006	0.7
Bega - Tathra	2006	0.8
Bega-Eden Hinterland	2006	0.9
Broulee - Tomakin	2006	0.8
Deua - Wadbilliga	2006	0
Eden	2006	0.8
Eurobodalla Hinterland	2006	0.8
Merimbula - Tura Beach	2006	0.8
Moruya - Tuross Head	2006	0.8
Narooma - Bermagui	2006	0.8
Goulburn	2006	0.8
Goulburn Region	2006	0.8
Yass	2006	0.8
Yass Region	2006	0.8
Young	2006	0.8
Young Region	2006	0.8
Avoca Beach - Copacabana	2006	0.8
Box Head - MacMasters Beach	2006	0.8
Calga - Kulnura	2006	0.8
Erina - Green Point	2006	0.7
Gosford - Springfield	2006	0.8
Kariong	2006	0.8
Kincumber - Picketts Valley	2006	0.8
Narara	2006	0.8
Niagara Park - Lisarow	2006	0.8
Point Clare - Koolewong	2006	0.7
Saratoga - Davistown	2006	0.8
Terrigal - North Avoca	2006	0.8
Umina - Booker Bay - Patonga	2006	0.8
Wamberal - Forresters Beach	2006	0.8
Woy Woy - Blackwall	2006	0.8
Wyoming	2006	0.8
Bateau Bay - Killarney Vale	2006	0.8
Blue Haven - San Remo	2006	0.8
Budgewoi - Buff Point - Halekulani	2006	0.8
Chittaway Bay - Tumbi Umbi	2006	0.8
Gorokan - Kanwal - Charmhaven	2006	0.8
Jilliby - Yarramalong	2006	0.8
Lake Munmorah - Mannering Park	2006	0.8
Ourimbah - Fountaindale	2006	0.8
Summerland Point - Gwandalan	2006	0.8
The Entrance	2006	0.8
Toukley - Norah Head	2006	0.8
Tuggerah - Kangy Angy	2006	0.8
Warnervale - Wadalba	2006	0.8
Wyong	2006	0.8
Bathurst	2006	0.8
Bathurst - East	2006	0.8
Bathurst Region	2006	0.8
Oberon	2006	0.8
Condobolin	2006	0.8
Cowra	2006	0.8
Cowra Region	2006	0.8
Forbes	2006	0.8
Grenfell	2006	0.7
Parkes (NSW)	2006	0.8
Parkes Region	2006	0.8
West Wyalong	2006	0.7
Lithgow	2006	0.8
Lithgow Region	2006	0.8
Mudgee	2006	0.8
Mudgee Region - East	2006	0.8
Mudgee Region - West	2006	0.8
Wollangambe - Wollemi	2006	0
Blayney	2006	0.8
Orange	2006	0.8
Orange - North	2006	0.8
Orange Region	2006	0.8
Grafton	2006	0.8
Grafton Region	2006	0.8
Maclean - Yamba - Iluka	2006	0.8
Bellingen	2006	0.8
Coffs Harbour - North	2006	0.8
Coffs Harbour - South	2006	0.8
Coramba - Nana Glen - Bucca	2006	0.8
Dorrigo	2006	0.8
Korora - Emerald Beach	2006	0.8
Sawtell - Boambee	2006	0.8
Urunga	2006	0.8
Woolgoolga - Arrawarra	2006	0.8
Bourke - Brewarrina	2006	0.8
Cobar	2006	0.8
Coonamble	2006	0.8
Nyngan - Warren	2006	0.8
Walgett - Lightning Ridge	2006	0.9
Broken Hill	2006	0.8
Far West	2006	0.8
Coonabarabran	2006	0.8
Dubbo - East	2006	0.8
Dubbo - South	2006	0.8
Dubbo - West	2006	0.8
Dubbo Region	2006	0.8
Gilgandra	2006	0.8
Narromine	2006	0.8
Wellington	2006	0.8
Branxton - Greta - Pokolbin	2006	0.8
Cessnock	2006	0.8
Cessnock Region	2006	0.8
Dungog	2006	0.8
Kurri Kurri - Abermain	2006	0.8
Singleton	2006	0.8
Singleton Region	2006	0.8
Maitland	2006	0.8
Maitland - East	2006	0.8
Maitland - North	2006	0.8
Maitland - West	2006	0.8
Thornton - Millers Forest	2006	0.8
Anna Bay	2006	0.8
Lemon Tree Passage - Tanilba Bay	2006	0.7
Nelson Bay Peninsula	2006	0.7
Raymond Terrace	2006	0.8
Seaham - Woodville	2006	0.8
Tea Gardens - Hawks Nest	2006	0.7
Williamtown - Medowie - Karuah	2006	0.8
Muswellbrook	2006	0.8
Muswellbrook Region	2006	0.8
Scone	2006	0.8
Scone Region	2006	0.8
Dapto - Avondale	2006	0.8
Horsley - Kembla Grange	2006	0.8
Port Kembla Industrial	2006	0
Unanderra - Mount Kembla	2006	0.8
Berkeley - Lake Heights - Cringila	2006	0.8
Port Kembla - Warrawong	2006	0.8
Windang - Primbee	2006	0.8
