SA2_NAME16	Year	labourForceParticipation
Braidwood	2006	57
Braidwood	2011	59.4
Braidwood	2016	53.4
Karabar	2006	67.7
Karabar	2011	69.4
Karabar	2016	66.3
Queanbeyan	2006	60.9
Queanbeyan	2011	64.8
Queanbeyan	2016	64.5
Queanbeyan - East	2006	68.3
Queanbeyan - East	2011	71.6
Queanbeyan - East	2016	70
Queanbeyan Region	2006	71.4
Queanbeyan Region	2011	72.6
Queanbeyan Region	2016	67.9
Queanbeyan West - Jerrabomberra	2006	77.5
Queanbeyan West - Jerrabomberra	2011	79
Queanbeyan West - Jerrabomberra	2016	75.9
Bombala	2006	57.5
Bombala	2011	58
Bombala	2016	56.1
Cooma	2006	57.4
Cooma	2011	57.4
Cooma	2016	53.6
Cooma Region	2006	64.1
Cooma Region	2011	62.7
Cooma Region	2016	59.7
Jindabyne - Berridale	2006	62.7
Jindabyne - Berridale	2011	66
Jindabyne - Berridale	2016	69.6
Batemans Bay	2006	48.2
Batemans Bay	2011	44.8
Batemans Bay	2016	42.8
Batemans Bay - South	2006	46.5
Batemans Bay - South	2011	43.3
Batemans Bay - South	2016	43.7
Bega - Tathra	2006	54.9
Bega - Tathra	2011	55.4
Bega - Tathra	2016	53.4
Bega-Eden Hinterland	2006	58.4
Bega-Eden Hinterland	2011	57.1
Bega-Eden Hinterland	2016	53.7
Broulee - Tomakin	2006	44.7
Broulee - Tomakin	2011	47.3
Broulee - Tomakin	2016	46.1
Deua - Wadbilliga	2006	0
Deua - Wadbilliga	2011	73.8
Deua - Wadbilliga	2016	24
Eden	2006	54.1
Eden	2011	51.8
Eden	2016	45.6
Eurobodalla Hinterland	2006	54.6
Eurobodalla Hinterland	2011	54.4
Eurobodalla Hinterland	2016	53.1
Merimbula - Tura Beach	2006	50.8
Merimbula - Tura Beach	2011	49.3
Merimbula - Tura Beach	2016	47
Moruya - Tuross Head	2006	47
Moruya - Tuross Head	2011	47.2
Moruya - Tuross Head	2016	44.7
Narooma - Bermagui	2006	42.2
Narooma - Bermagui	2011	41.2
Narooma - Bermagui	2016	38.5
Goulburn	2006	55.9
Goulburn	2011	57.3
Goulburn	2016	55.6
Goulburn Region	2006	58.9
Goulburn Region	2011	59.9
Goulburn Region	2016	57.1
Yass	2006	61.7
Yass	2011	62.3
Yass	2016	59.2
Yass Region	2006	70.7
Yass Region	2011	70.7
Yass Region	2016	68.1
Young	2006	57.2
Young	2011	55.3
Young	2016	53.4
Young Region	2006	56.7
Young Region	2011	55.3
Young Region	2016	54
Avoca Beach - Copacabana	2006	65.9
Avoca Beach - Copacabana	2011	65.9
Avoca Beach - Copacabana	2016	66.9
Box Head - MacMasters Beach	2006	55.7
Box Head - MacMasters Beach	2011	56.3
Box Head - MacMasters Beach	2016	56.2
Calga - Kulnura	2006	58.3
Calga - Kulnura	2011	63.7
Calga - Kulnura	2016	59.1
Erina - Green Point	2006	50.9
