SA3_NAME16	Year	Sex	employmentToPopulation
Queanbeyan	2006	F	62.6
Queanbeyan	2006	M	71.4
Queanbeyan	2011	F	65.6
Queanbeyan	2011	M	72.4
Queanbeyan	2016	F	62.5
Queanbeyan	2016	M	67.8
Snowy Mountains	2006	F	53.9
Snowy Mountains	2006	M	61.6
Snowy Mountains	2011	F	55.9
Snowy Mountains	2011	M	62.2
Snowy Mountains	2016	F	57
Snowy Mountains	2016	M	60.2
South Coast	2006	F	42.3
South Coast	2006	M	49.5
South Coast	2011	F	43
South Coast	2011	M	48.2
South Coast	2016	F	42
South Coast	2016	M	45.3
Goulburn - Mulwaree	2006	F	49.4
Goulburn - Mulwaree	2006	M	58.1
Goulburn - Mulwaree	2011	F	51.2
Goulburn - Mulwaree	2011	M	59.1
Goulburn - Mulwaree	2016	F	49.8
Goulburn - Mulwaree	2016	M	55.8
Young - Yass	2006	F	52.4
Young - Yass	2006	M	66
Young - Yass	2011	F	53.3
Young - Yass	2011	M	64.4
Young - Yass	2016	F	52.8
Young - Yass	2016	M	60.9
Gosford	2006	F	47.4
Gosford	2006	M	58.4
Gosford	2011	F	49.1
Gosford	2011	M	59
Gosford	2016	F	49.8
Gosford	2016	M	57.8
Wyong	2006	F	43.3
Wyong	2006	M	55.1
Wyong	2011	F	45.3
Wyong	2011	M	55.6
Wyong	2016	F	46.7
Wyong	2016	M	55.1
Bathurst	2006	F	53.1
Bathurst	2006	M	60.8
Bathurst	2011	F	54
Bathurst	2011	M	60.9
Bathurst	2016	F	52.9
Bathurst	2016	M	55.8
Lachlan Valley	2006	F	46.1
Lachlan Valley	2006	M	59.9
Lachlan Valley	2011	F	47.1
Lachlan Valley	2011	M	58.3
Lachlan Valley	2016	F	45.4
Lachlan Valley	2016	M	54.4
Lithgow - Mudgee	2006	F	44.6
Lithgow - Mudgee	2006	M	55.6
Lithgow - Mudgee	2011	F	46
Lithgow - Mudgee	2011	M	55.6
Lithgow - Mudgee	2016	F	44.2
Lithgow - Mudgee	2016	M	50.6
Orange	2006	F	51.7
Orange	2006	M	63.7
Orange	2011	F	53.6
Orange	2011	M	65
Orange	2016	F	53.2
Orange	2016	M	60.5
Clarence Valley	2006	F	39.6
Clarence Valley	2006	M	48.3
Clarence Valley	2011	F	40.9
Clarence Valley	2011	M	47
Clarence Valley	2016	F	39.4
Clarence Valley	2016	M	43.5
Coffs Harbour	2006	F	45.4
Coffs Harbour	2006	M	52.7
Coffs Harbour	2011	F	47.3
Coffs Harbour	2011	M	53.2
Coffs Harbour	2016	F	47.1
Coffs Harbour	2016	M	51.6
Bourke - Cobar - Coonamble	2006	F	49.4
Bourke - Cobar - Coonamble	2006	M	58.2
Bourke - Cobar - Coonamble	2011	F	49
Bourke - Cobar - Coonamble	2011	M	56.8
Bourke - Cobar - Coonamble	2016	F	45.7
Bourke - Cobar - Coonamble	2016	M	50.9
Broken Hill and Far West	2006	F	40.9
Broken Hill and Far West	2006	M	50.7
Broken Hill and Far West	2011	F	43.6
Broken Hill and Far West	2011	M	51.6
Broken Hill and Far West	2016	F	44.3
Broken Hill and Far West	2016	M	49.2
Dubbo	2006	F	50.1
Dubbo	2006	M	61.6
Dubbo	2011	F	52.3
Dubbo	2011	M	60.4
Dubbo	2016	F	50.7
Dubbo	2016	M	56.7
Lower Hunter	2006	F	46.2
Lower Hunter	2006	M	61.5
Lower Hunter	2011	F	49.2
Lower Hunter	2011	M	62.7
Lower Hunter	2016	F	47.8
Lower Hunter	2016	M	56.6
Maitland	2006	F	50.3
Maitland	2006	M	65.1
Maitland	2011	F	52.8
Maitland	2011	M	67.2
Maitland	2016	F	53.5
Maitland	2016	M	62.8
Port Stephens	2006	F	43.4
Port Stephens	2006	M	55.2
Port Stephens	2011	F	45.1
Port Stephens	2011	M	55.4
Port Stephens	2016	F	44.1
Port Stephens	2016	M	51.1
Upper Hunter	2006	F	50.7
Upper Hunter	2006	M	67.1
Upper Hunter	2011	F	53.3
Upper Hunter	2011	M	67.4
Upper Hunter	2016	F	49.8
Upper Hunter	2016	M	60.3
Dapto - Port Kembla	2006	F	42.6
Dapto - Port Kembla	2006	M	56.2
Dapto - Port Kembla	2011	F	44.5
Dapto - Port Kembla	2011	M	56.2
Dapto - Port Kembla	2016	F	46.2
Dapto - Port Kembla	2016	M	54.6
Illawarra Catchment Reserve	2006	F	0
Illawarra Catchment Reserve	2006	M	0
Illawarra Catchment Reserve	2011	F	0
Illawarra Catchment Reserve	2011	M	50
Illawarra Catchment Reserve	2016	F	0
Illawarra Catchment Reserve	2016	M	0
Kiama - Shellharbour	2006	F	47.6
Kiama - Shellharbour	2006	M	61.4
Kiama - Shellharbour	2011	F	49.3
Kiama - Shellharbour	2011	M	61.1
Kiama - Shellharbour	2016	F	49.7
Kiama - Shellharbour	2016	M	58.1
Wollongong	2006	F	48.5
Wollongong	2006	M	58.9
Wollongong	2011	F	50.7
Wollongong	2011	M	58.3
Wollongong	2016	F	51.7
Wollongong	2016	M	57
Great Lakes	2006	F	36
Great Lakes	2006	M	43.1
Great Lakes	2011	F	36.2
Great Lakes	2011	M	41.1
Great Lakes	2016	F	36.3
Great Lakes	2016	M	39.1
Kempsey - Nambucca	2006	F	37.3
Kempsey - Nambucca	2006	M	42.6
Kempsey - Nambucca	2011	F	38.9
Kempsey - Nambucca	2011	M	42.1
Kempsey - Nambucca	2016	F	38.1
Kempsey - Nambucca	2016	M	40.4
