SA3_NAME16	Year	adults
Adelaide City	2006	15692
Adelaide City	2011	18495
Adelaide City	2016	20855
Adelaide Hills	2006	50404
Adelaide Hills	2011	54010
Adelaide Hills	2016	57953
Albany	2006	41340
Albany	2011	43879
Albany	2016	48052
Albury	2006	44247
Albury	2011	46087
Albury	2016	49459
Alice Springs	2006	26549
Alice Springs	2011	27744
Alice Springs	2016	28353
Armadale	2006	39476
Armadale	2011	48923
Armadale	2016	61875
Armidale	2006	27713
Armidale	2011	28953
Armidale	2016	30334
Auburn	2006	52207
Auburn	2011	59789
Auburn	2016	74020
Augusta - Margaret River - Busselton	2006	27990
Augusta - Margaret River - Busselton	2011	33034
Augusta - Margaret River - Busselton	2016	40315
Bald Hills - Everton Park	2006	27900
Bald Hills - Everton Park	2011	30616
Bald Hills - Everton Park	2016	33193
Ballarat	2006	70334
Ballarat	2011	76837
Ballarat	2016	83849
Bankstown	2006	115238
Bankstown	2011	124502
Bankstown	2016	134742
Banyule	2006	94425
Banyule	2011	97229
Banyule	2016	99867
Barkly	2006	3961
Barkly	2011	4222
Barkly	2016	4152
Barossa	2006	25072
Barossa	2011	26603
Barossa	2016	28737
Barwon - West	2006	10627
Barwon - West	2011	12814
Barwon - West	2016	14767
Bathurst	2006	32488
Bathurst	2011	34534
Bathurst	2016	37553
Baulkham Hills	2006	99496
Baulkham Hills	2011	106469
Baulkham Hills	2016	114756
Baw Baw	2006	29595
Baw Baw	2011	34381
Baw Baw	2016	39317
Bayside	2006	70903
Bayside	2011	73813
Bayside	2016	78672
Bayswater - Bassendean	2006	58456
Bayswater - Bassendean	2011	63873
Bayswater - Bassendean	2016	67409
Beaudesert	2006	8547
Beaudesert	2011	9716
Beaudesert	2016	11153
Beenleigh	2006	25346
Beenleigh	2011	29487
Beenleigh	2016	32125
Belconnen	2006	68523
Belconnen	2011	75429
Belconnen	2016	78015
Belmont - Victoria Park	2006	46430
Belmont - Victoria Park	2011	54073
Belmont - Victoria Park	2016	59968
Bendigo	2006	62915
Bendigo	2011	69160
Bendigo	2016	76242
Biloela	2006	11141
Biloela	2011	11061
Biloela	2016	11146
Blacktown	2006	92085
Blacktown	2011	98640
Blacktown	2016	107274
Blacktown - North	2006	44579
Blacktown - North	2011	55831
Blacktown - North	2016	70011
Blue Mountains	2006	58755
Blue Mountains	2011	60924
Blue Mountains	2016	62646
Blue Mountains - South	2006	0
Blue Mountains - South	2011	3
Blue Mountains - South	2016	6
Boroondara	2006	126575
Boroondara	2011	131405
Boroondara	2016	138432
Botany	2006	29419
Botany	2011	32213
Botany	2016	38755
Bourke - Cobar - Coonamble	2006	20350
Bourke - Cobar - Coonamble	2011	19604
Bourke - Cobar - Coonamble	2016	19040
Bowen Basin - North	2006	24691
Bowen Basin - North	2011	27322
Bowen Basin - North	2016	25889
Bribie - Beachmere	2006	23054
Bribie - Beachmere	2011	25903
Bribie - Beachmere	2016	28619
Brighton	2006	10662
Brighton	2011	11934
Brighton	2016	13088
Brimbank	2006	126446
Brimbank	2011	140967
Brimbank	2016	151395
Bringelly - Green Valley	2006	55065
Bringelly - Green Valley	2011	61078
Bringelly - Green Valley	2016	78791
Brisbane Inner	2006	47778
Brisbane Inner	2011	53288
Brisbane Inner	2016	62153
Brisbane Inner - East	2006	28013
Brisbane Inner - East	2011	31001
Brisbane Inner - East	2016	33291
Brisbane Inner - North	2006	58601
Brisbane Inner - North	2011	63644
Brisbane Inner - North	2016	73613
Brisbane Inner - West	2006	42763
Brisbane Inner - West	2011	44742
Brisbane Inner - West	2016	46433
Broadbeach - Burleigh	2006	47670
Broadbeach - Burleigh	2011	49531
Broadbeach - Burleigh	2016	52513
Broken Hill and Far West	2006	17715
Broken Hill and Far West	2011	17324
Broken Hill and Far West	2016	16785
Browns Plains	2006	48759
Browns Plains	2011	54714
Browns Plains	2016	60677
Brunswick - Coburg	2006	62133
Brunswick - Coburg	2011	67398
Brunswick - Coburg	2016	74326
Buderim	2006	32327
Buderim	2011	36511
Buderim	2016	43784
Bunbury	2006	63777
Bunbury	2011	74151
Bunbury	2016	81588
Bundaberg	2006	62246
Bundaberg	2011	68295
Bundaberg	2016	72195
Burnett	2006	35015
Burnett	2011	37447
Burnett	2016	39807
Burnie - Ulverstone	2006	37621
Burnie - Ulverstone	2011	38777
Burnie - Ulverstone	2016	39220
Burnside	2006	35267
Burnside	2011	35498
Burnside	2016	36425
Caboolture	2006	35451
Caboolture	2011	44922
Caboolture	2016	52308
Caboolture Hinterland	2006	8142
Caboolture Hinterland	2011	9072
Caboolture Hinterland	2016	10924
Cairns - North	2006	30502
Cairns - North	2011	36878
Cairns - North	2016	41792
Cairns - South	2006	66035
Cairns - South	2011	73852
Cairns - South	2016	80148
Caloundra	2006	50148
Caloundra	2011	56960
Caloundra	2016	66076
Camden	2006	32800
Camden	2011	39229
Camden	2016	47528
Campaspe	2006	28430
Campaspe	2011	29248
Campaspe	2016	30533
Campbelltown (NSW)	2006	110193
Campbelltown (NSW)	2011	115004
Campbelltown (NSW)	2016	124387
Campbelltown (SA)	2006	38691
Campbelltown (SA)	2011	40397
Campbelltown (SA)	2016	42267
Canada Bay	2006	53815
Canada Bay	2011	61548
Canada Bay	2016	71250
Canberra East	2006	959
Canberra East	2011	1299
Canberra East	2016	1461
Canning	2006	66326
Canning	2011	73805
Canning	2016	77461
Canterbury	2006	92771
Canterbury	2011	99527
Canterbury	2016	108031
Capalaba	2006	53561
Capalaba	2011	55639
Capalaba	2016	57717
Cardinia	2006	43019
Cardinia	2011	56951
Cardinia	2016	72522
Carindale	2006	35369
Carindale	2011	38076
Carindale	2016	40886
Carlingford	2006	44823
Carlingford	2011	48303
Carlingford	2016	53846
Casey - North	2006	87283
Casey - North	2011	97088
Casey - North	2016	104389
Casey - South	2006	75006
Casey - South	2011	96705
Casey - South	2016	127057
Centenary	2006	25162
Centenary	2011	25600
Centenary	2016	26008
Central Highlands (Qld)	2006	20296
Central Highlands (Qld)	2011	22248
Central Highlands (Qld)	2016	21713
Central Highlands (Tas.)	2006	8559
Central Highlands (Tas.)	2011	9025
Central Highlands (Tas.)	2016	9189
Charles Sturt	2006	82027
Charles Sturt	2011	85951
Charles Sturt	2016	91740
Charters Towers - Ayr - Ingham	2006	32585
