SA4_NAME16	Year	CoupleFamily	HasChild	HasDependantStudent	HasNonDependentChild	Rent.min	occupied_private_dwellings_being_rented
Capital Region	2006	0	0	1	0		9
Capital Region	2006	0	0	1	0	0	18
Capital Region	2006	0	0	1	0	3937	21
Capital Region	2006	0	0	1	0	5250	55
Capital Region	2006	0	0	1	0	7875	94
Capital Region	2006	0	0	1	0	10500	37
Capital Region	2006	0	0	1	0	11812	30
Capital Region	2006	0	0	1	0	14437	14
Capital Region	2006	0	0	1	0	18375	4
Capital Region	2006	0	0	1	0	23625	0
Capital Region	2006	0	0	1	0	28875	0
Capital Region	2006	0	0	1	0	34125	0
Capital Region	2006	0	0	1	0	39375	0
Capital Region	2006	0	0	1	0	44625	0
Capital Region	2006	0	0	1	0	49875	0
Capital Region	2006	0	1	0	0		73
Capital Region	2006	0	1	0	0	0	122
Capital Region	2006	0	1	0	0	3937	272
Capital Region	2006	0	1	0	0	5250	451
Capital Region	2006	0	1	0	0	7875	788
Capital Region	2006	0	1	0	0	10500	307
Capital Region	2006	0	1	0	0	11812	281
Capital Region	2006	0	1	0	0	14437	108
Capital Region	2006	0	1	0	0	18375	30
Capital Region	2006	0	1	0	0	23625	11
Capital Region	2006	0	1	0	0	28875	0
Capital Region	2006	0	1	0	0	34125	0
Capital Region	2006	0	1	0	0	39375	0
Capital Region	2006	0	1	0	0	44625	0
Capital Region	2006	0	1	0	0	49875	12
Capital Region	2006	0	1	1	0		14
Capital Region	2006	0	1	1	0	0	10
Capital Region	2006	0	1	1	0	3937	17
Capital Region	2006	0	1	1	0	5250	57
Capital Region	2006	0	1	1	0	7875	63
Capital Region	2006	0	1	1	0	10500	58
Capital Region	2006	0	1	1	0	11812	45
Capital Region	2006	0	1	1	0	14437	19
Capital Region	2006	0	1	1	0	18375	5
Capital Region	2006	0	1	1	0	23625	0
Capital Region	2006	0	1	1	0	28875	0
Capital Region	2006	0	1	1	0	34125	0
Capital Region	2006	0	1	1	0	39375	0
Capital Region	2006	0	1	1	0	44625	0
Capital Region	2006	0	1	1	0	49875	8
Capital Region	2006	0	1	1	1		16
Capital Region	2006	0	1	1	1	0	75
Capital Region	2006	0	1	1	1	3937	34
Capital Region	2006	0	1	1	1	5250	150
Capital Region	2006	0	1	1	1	7875	174
Capital Region	2006	0	1	1	1	10500	66
Capital Region	2006	0	1	1	1	11812	55
Capital Region	2006	0	1	1	1	14437	19
Capital Region	2006	0	1	1	1	18375	6
Capital Region	2006	0	1	1	1	23625	3
Capital Region	2006	0	1	1	1	28875	0
Capital Region	2006	0	1	1	1	34125	0
Capital Region	2006	0	1	1	1	39375	0
Capital Region	2006	0	1	1	1	44625	0
Capital Region	2006	0	1	1	1	49875	12
Capital Region	2006	1	0	1			109
Capital Region	2006	1	0	1		0	436
Capital Region	2006	1	0	1		3937	124
Capital Region	2006	1	0	1		5250	592
Capital Region	2006	1	0	1		7875	879
Capital Region	2006	1	0	1		10500	346
Capital Region	2006	1	0	1		11812	379
Capital Region	2006	1	0	1		14437	238
Capital Region	2006	1	0	1		18375	99
Capital Region	2006	1	0	1		23625	23
Capital Region	2006	1	0	1		28875	6
Capital Region	2006	1	0	1		34125	4
Capital Region	2006	1	0	1		39375	4
Capital Region	2006	1	0	1		44625	3
Capital Region	2006	1	0	1		49875	9
Capital Region	2006	1	0	1	0		16
Capital Region	2006	1	0	1	0	0	21
Capital Region	2006	1	0	1	0	3937	3
Capital Region	2006	1	0	1	0	5250	38
Capital Region	2006	1	0	1	0	7875	61
Capital Region	2006	1	0	1	0	10500	39
Capital Region	2006	1	0	1	0	11812	41
Capital Region	2006	1	0	1	0	14437	26
Capital Region	2006	1	0	1	0	18375	9
Capital Region	2006	1	0	1	0	23625	5
Capital Region	2006	1	0	1	0	28875	3
Capital Region	2006	1	0	1	0	34125	0
Capital Region	2006	1	0	1	0	39375	0
Capital Region	2006	1	0	1	0	44625	0
Capital Region	2006	1	0	1	0	49875	3
Capital Region	2006	1	1	0	0		98
Capital Region	2006	1	1	0	0	0	398
Capital Region	2006	1	1	0	0	3937	73
Capital Region	2006	1	1	0	0	5250	405
Capital Region	2006	1	1	0	0	7875	867
Capital Region	2006	1	1	0	0	10500	439
Capital Region	2006	1	1	0	0	11812	476
Capital Region	2006	1	1	0	0	14437	295
Capital Region	2006	1	1	0	0	18375	140
Capital Region	2006	1	1	0	0	23625	45
Capital Region	2006	1	1	0	0	28875	10
Capital Region	2006	1	1	0	0	34125	3
Capital Region	2006	1	1	0	0	39375	0
Capital Region	2006	1	1	0	0	44625	0
Capital Region	2006	1	1	0	0	49875	12
Capital Region	2006	1	1	1	0		18
Capital Region	2006	1	1	1	0	0	49
Capital Region	2006	1	1	1	0	3937	15
Capital Region	2006	1	1	1	0	5250	39
Capital Region	2006	1	1	1	0	7875	88
Capital Region	2006	1	1	1	0	10500	49
Capital Region	2006	1	1	1	0	11812	64
Capital Region	2006	1	1	1	0	14437	38
Capital Region	2006	1	1	1	0	18375	17
Capital Region	2006	1	1	1	0	23625	4
Capital Region	2006	1	1	1	0	28875	4
Capital Region	2006	1	1	1	0	34125	0
Capital Region	2006	1	1	1	0	39375	0
Capital Region	2006	1	1	1	0	44625	0
Capital Region	2006	1	1	1	0	49875	3
Capital Region	2006	1	1	1	1		23
Capital Region	2006	1	1	1	1	0	39
Capital Region	2006	1	1	1	1	3937	16
Capital Region	2006	1	1	1	1	5250	51
Capital Region	2006	1	1	1	1	7875	96
Capital Region	2006	1	1	1	1	10500	48
Capital Region	2006	1	1	1	1	11812	47
Capital Region	2006	1	1	1	1	14437	30
Capital Region	2006	1	1	1	1	18375	15
Capital Region	2006	1	1	1	1	23625	8
Capital Region	2006	1	1	1	1	28875	0
Capital Region	2006	1	1	1	1	34125	0
Capital Region	2006	1	1	1	1	39375	0
Capital Region	2006	1	1	1	1	44625	0
Capital Region	2006	1	1	1	1	49875	3
Capital Region	2011	0	0	1	0		11
Capital Region	2011	0	0	1	0	0	16
Capital Region	2011	0	0	1	0	3937	23
Capital Region	2011	0	0	1	0	5250	36
Capital Region	2011	0	0	1	0	7875	75
Capital Region	2011	0	0	1	0	10500	49
Capital Region	2011	0	0	1	0	11812	93
Capital Region	2011	0	0	1	0	14437	65
Capital Region	2011	0	0	1	0	18375	23
Capital Region	2011	0	0	1	0	23625	12
Capital Region	2011	0	0	1	0	28875	0
Capital Region	2011	0	0	1	0	34125	0
Capital Region	2011	0	0	1	0	39375	0
Capital Region	2011	0	0	1	0	44625	0
Capital Region	2011	0	0	1	0	49875	3
Capital Region	2011	0	1	0	0		58
Capital Region	2011	0	1	0	0	0	88
Capital Region	2011	0	1	0	0	3937	51
Capital Region	2011	0	1	0	0	5250	280
Capital Region	2011	0	1	0	0	7875	467
Capital Region	2011	0	1	0	0	10500	345
Capital Region	2011	0	1	0	0	11812	495
Capital Region	2011	0	1	0	0	14437	401
Capital Region	2011	0	1	0	0	18375	158
Capital Region	2011	0	1	0	0	23625	29
Capital Region	2011	0	1	0	0	28875	11
Capital Region	2011	0	1	0	0	34125	3
Capital Region	2011	0	1	0	0	39375	0
Capital Region	2011	0	1	0	0	44625	0
Capital Region	2011	0	1	0	0	49875	8
Capital Region	2011	0	1	1	0		9
Capital Region	2011	0	1	1	0	0	11
Capital Region	2011	0	1	1	0	3937	0
Capital Region	2011	0	1	1	0	5250	36
Capital Region	2011	0	1	1	0	7875	55
Capital Region	2011	0	1	1	0	10500	47
Capital Region	2011	0	1	1	0	11812	96
Capital Region	2011	0	1	1	0	14437	73
Capital Region	2011	0	1	1	0	18375	30
Capital Region	2011	0	1	1	0	23625	15
Capital Region	2011	0	1	1	0	28875	3
Capital Region	2011	0	1	1	0	34125	0
Capital Region	2011	0	1	1	0	39375	3
Capital Region	2011	0	1	1	0	44625	0
Capital Region	2011	0	1	1	0	49875	0
Capital Region	2011	0	1	1	1		33
Capital Region	2011	0	1	1	1	0	37
Capital Region	2011	0	1	1	1	3937	39
Capital Region	2011	0	1	1	1	5250	88
Capital Region	2011	0	1	1	1	7875	147
Capital Region	2011	0	1	1	1	10500	88
Capital Region	2011	0	1	1	1	11812	125
Capital Region	2011	0	1	1	1	14437	82
Capital Region	2011	0	1	1	1	18375	54
Capital Region	2011	0	1	1	1	23625	13
Capital Region	2011	0	1	1	1	28875	7
Capital Region	2011	0	1	1	1	34125	0
Capital Region	2011	0	1	1	1	39375	0
Capital Region	2011	0	1	1	1	44625	0
Capital Region	2011	0	1	1	1	49875	4
Capital Region	2011	1	0	1			106
Capital Region	2011	1	0	1		0	396
Capital Region	2011	1	0	1		3937	54
Capital Region	2011	1	0	1		5250	302
Capital Region	2011	1	0	1		7875	530
Capital Region	2011	1	0	1		10500	381
Capital Region	2011	1	0	1		11812	621
Capital Region	2011	1	0	1		14437	533
Capital Region	2011	1	0	1		18375	371
Capital Region	2011	1	0	1		23625	115
Capital Region	2011	1	0	1		28875	38
