SA4_NAME16	Year	DwellingStructure	occupied_private_dwellings
Capital Region	2006		58
Capital Region	2006	(Other)	1344
Capital Region	2006	Flat/apartment	5409
Capital Region	2006	Semi-detached, row/terrace house, townhouse etc.	4238
Capital Region	2006	Separate house	62785
Capital Region	2011		153
Capital Region	2011	(Other)	1192
Capital Region	2011	Flat/apartment	5472
Capital Region	2011	Semi-detached, row/terrace house, townhouse etc.	5590
Capital Region	2011	Separate house	66237
Capital Region	2016		739
Capital Region	2016	(Other)	1043
Capital Region	2016	Flat/apartment	5001
Capital Region	2016	Semi-detached, row/terrace house, townhouse etc.	7159
Capital Region	2016	Separate house	68358
Central Coast	2006		59
Central Coast	2006	(Other)	1582
Central Coast	2006	Flat/apartment	7358
Central Coast	2006	Semi-detached, row/terrace house, townhouse etc.	11851
Central Coast	2006	Separate house	90060
Central Coast	2011		137
Central Coast	2011	(Other)	1339
Central Coast	2011	Flat/apartment	8575
Central Coast	2011	Semi-detached, row/terrace house, townhouse etc.	13848
Central Coast	2011	Separate house	93306
Central Coast	2016		545
Central Coast	2016	(Other)	1150
Central Coast	2016	Flat/apartment	9260
Central Coast	2016	Semi-detached, row/terrace house, townhouse etc.	15026
Central Coast	2016	Separate house	95068
Central West	2006		71
Central West	2006	(Other)	872
Central West	2006	Flat/apartment	3607
Central West	2006	Semi-detached, row/terrace house, townhouse etc.	2462
Central West	2006	Separate house	63027
Central West	2011		79
Central West	2011	(Other)	669
Central West	2011	Flat/apartment	3158
Central West	2011	Semi-detached, row/terrace house, townhouse etc.	3409
Central West	2011	Separate house	65791
Central West	2016		791
Central West	2016	(Other)	819
Central West	2016	Flat/apartment	2466
Central West	2016	Semi-detached, row/terrace house, townhouse etc.	4324
Central West	2016	Separate house	66348
Coffs Harbour - Grafton	2006		14
Coffs Harbour - Grafton	2006	(Other)	1553
Coffs Harbour - Grafton	2006	Flat/apartment	3983
Coffs Harbour - Grafton	2006	Semi-detached, row/terrace house, townhouse etc.	3642
Coffs Harbour - Grafton	2006	Separate house	38668
Coffs Harbour - Grafton	2011		42
Coffs Harbour - Grafton	2011	(Other)	1498
Coffs Harbour - Grafton	2011	Flat/apartment	3864
Coffs Harbour - Grafton	2011	Semi-detached, row/terrace house, townhouse etc.	3774
Coffs Harbour - Grafton	2011	Separate house	41164
Coffs Harbour - Grafton	2016		467
Coffs Harbour - Grafton	2016	(Other)	1318
Coffs Harbour - Grafton	2016	Flat/apartment	3813
Coffs Harbour - Grafton	2016	Semi-detached, row/terrace house, townhouse etc.	4640
Coffs Harbour - Grafton	2016	Separate house	41380
Far West and Orana	2006		31
Far West and Orana	2006	(Other)	939
Far West and Orana	2006	Flat/apartment	2124
Far West and Orana	2006	Semi-detached, row/terrace house, townhouse etc.	1245
Far West and Orana	2006	Separate house	37634
Far West and Orana	2011		108
Far West and Orana	2011	(Other)	704
Far West and Orana	2011	Flat/apartment	2370
Far West and Orana	2011	Semi-detached, row/terrace house, townhouse etc.	1123
Far West and Orana	2011	Separate house	38047
Far West and Orana	2016		351
Far West and Orana	2016	(Other)	722
Far West and Orana	2016	Flat/apartment	2022
Far West and Orana	2016	Semi-detached, row/terrace house, townhouse etc.	1421
Far West and Orana	2016	Separate house	36730
Hunter Valley exc Newcastle	2006		58
Hunter Valley exc Newcastle	2006	(Other)	1074
Hunter Valley exc Newcastle	2006	Flat/apartment	3788
Hunter Valley exc Newcastle	2006	Semi-detached, row/terrace house, townhouse etc.	3984
Hunter Valley exc Newcastle	2006	Separate house	72062
Hunter Valley exc Newcastle	2011		65
Hunter Valley exc Newcastle	2011	(Other)	1057
Hunter Valley exc Newcastle	2011	Flat/apartment	3772
Hunter Valley exc Newcastle	2011	Semi-detached, row/terrace house, townhouse etc.	5893
Hunter Valley exc Newcastle	2011	Separate house	77254
Hunter Valley exc Newcastle	2016		789
Hunter Valley exc Newcastle	2016	(Other)	986
Hunter Valley exc Newcastle	2016	Flat/apartment	2512
Hunter Valley exc Newcastle	2016	Semi-detached, row/terrace house, townhouse etc.	8736
Hunter Valley exc Newcastle	2016	Separate house	80868
Illawarra	2006		54
Illawarra	2006	(Other)	1248
Illawarra	2006	Flat/apartment	13036
Illawarra	2006	Semi-detached, row/terrace house, townhouse etc.	9467
Illawarra	2006	Separate house	72182
Illawarra	2011		54
Illawarra	2011	(Other)	1150
Illawarra	2011	Flat/apartment	13404
Illawarra	2011	Semi-detached, row/terrace house, townhouse etc.	11408
Illawarra	2011	Separate house	75578
Illawarra	2016		644
Illawarra	2016	(Other)	920
Illawarra	2016	Flat/apartment	14037
Illawarra	2016	Semi-detached, row/terrace house, townhouse etc.	13339
Illawarra	2016	Separate house	76356
Mid North Coast	2006		29
Mid North Coast	2006	(Other)	2252
Mid North Coast	2006	Flat/apartment	6157
Mid North Coast	2006	Semi-detached, row/terrace house, townhouse etc.	6232
