SA4_NAME16	Year	EduInstitutionType	students
Capital Region	2006		16395
Capital Region	2006	Infants/Primary	17685
Capital Region	2006	Pre-school	3226
Capital Region	2006	Secondary	13782
Capital Region	2006	Technical or Further Educational Institution	4659
Capital Region	2006	University or other tertiary	3537
Capital Region	2011		15820
Capital Region	2011	Infants/Primary	16810
Capital Region	2011	Pre-school	3534
Capital Region	2011	Secondary	14207
Capital Region	2011	Technical or Further Educational Institution	5045
Capital Region	2011	University or other tertiary	4402
Capital Region	2016		20463
Capital Region	2016	Infants/Primary	17446
Capital Region	2016	Pre-school	3388
Capital Region	2016	Secondary	13329
Capital Region	2016	Technical or Further Educational Institution	3961
Capital Region	2016	University or other tertiary	5184
Central Coast	2006		26709
Central Coast	2006	Infants/Primary	26418
Central Coast	2006	Pre-school	5971
Central Coast	2006	Secondary	20532
Central Coast	2006	Technical or Further Educational Institution	6290
Central Coast	2006	University or other tertiary	6095
Central Coast	2011		23065
Central Coast	2011	Infants/Primary	25549
Central Coast	2011	Pre-school	6539
Central Coast	2011	Secondary	21357
Central Coast	2011	Technical or Further Educational Institution	6926
Central Coast	2011	University or other tertiary	9006
Central Coast	2016		23480
Central Coast	2016	Infants/Primary	27203
Central Coast	2016	Pre-school	6486
Central Coast	2016	Secondary	20659
Central Coast	2016	Technical or Further Educational Institution	6262
Central Coast	2016	University or other tertiary	10275
Central West	2006		14725
Central West	2006	Infants/Primary	17802
Central West	2006	Pre-school	3517
Central West	2006	Secondary	14043
Central West	2006	Technical or Further Educational Institution	4791
Central West	2006	University or other tertiary	4199
Central West	2011		15846
Central West	2011	Infants/Primary	16753
Central West	2011	Pre-school	3906
Central West	2011	Secondary	13864
Central West	2011	Technical or Further Educational Institution	4974
Central West	2011	University or other tertiary	4871
Central West	2016		21459
Central West	2016	Infants/Primary	17932
Central West	2016	Pre-school	3770
Central West	2016	Secondary	13142
Central West	2016	Technical or Further Educational Institution	4316
Central West	2016	University or other tertiary	5238
Coffs Harbour - Grafton	2006		9552
Coffs Harbour - Grafton	2006	Infants/Primary	11425
Coffs Harbour - Grafton	2006	Pre-school	2207
Coffs Harbour - Grafton	2006	Secondary	9621
Coffs Harbour - Grafton	2006	Technical or Further Educational Institution	2965
Coffs Harbour - Grafton	2006	University or other tertiary	2120
Coffs Harbour - Grafton	2011		9135
Coffs Harbour - Grafton	2011	Infants/Primary	10501
Coffs Harbour - Grafton	2011	Pre-school	2360
Coffs Harbour - Grafton	2011	Secondary	9274
Coffs Harbour - Grafton	2011	Technical or Further Educational Institution	3727
Coffs Harbour - Grafton	2011	University or other tertiary	2669
Coffs Harbour - Grafton	2016		12177
Coffs Harbour - Grafton	2016	Infants/Primary	10837
Coffs Harbour - Grafton	2016	Pre-school	2357
Coffs Harbour - Grafton	2016	Secondary	8293
Coffs Harbour - Grafton	2016	Technical or Further Educational Institution	2981
Coffs Harbour - Grafton	2016	University or other tertiary	2605
Far West and Orana	2006		10590
Far West and Orana	2006	Infants/Primary	11195
Far West and Orana	2006	Pre-school	2154
Far West and Orana	2006	Secondary	7181
Far West and Orana	2006	Technical or Further Educational Institution	2635
Far West and Orana	2006	University or other tertiary	1514
Far West and Orana	2011		10359
Far West and Orana	2011	Infants/Primary	9914
Far West and Orana	2011	Pre-school	2241
Far West and Orana	2011	Secondary	7064
Far West and Orana	2011	Technical or Further Educational Institution	2913
Far West and Orana	2011	University or other tertiary	1683
Far West and Orana	2016		13059
Far West and Orana	2016	Infants/Primary	9568
Far West and Orana	2016	Pre-school	2303
