SA4_NAME16	Year	LanguageSpoken	Sex	persons
Capital Region	2006		F	4485
Capital Region	2006		M	5762
Capital Region	2006	(Other)	F	848
Capital Region	2006	(Other)	M	820
Capital Region	2006	Afrikaans	F	21
Capital Region	2006	Afrikaans	M	21
Capital Region	2006	Arabic	F	131
Capital Region	2006	Arabic	M	188
Capital Region	2006	Australian_Indigenous_Languages	F	24
Capital Region	2006	Australian_Indigenous_Languages	M	26
Capital Region	2006	Chinese_languages_Bengali	F	4
Capital Region	2006	Chinese_languages_Bengali	M	9
Capital Region	2006	Chinese_languages_Cantonese	F	102
Capital Region	2006	Chinese_languages_Cantonese	M	129
Capital Region	2006	Chinese_languages_Mandarin	F	112
Capital Region	2006	Chinese_languages_Mandarin	M	98
Capital Region	2006	Chinese_languages_Other	F	19
Capital Region	2006	Chinese_languages_Other	M	16
Capital Region	2006	Croatian	F	261
Capital Region	2006	Croatian	M	284
Capital Region	2006	Dutch	F	190
Capital Region	2006	Dutch	M	158
Capital Region	2006	English	F	89887
Capital Region	2006	English	M	88093
Capital Region	2006	Filipino	F	92
Capital Region	2006	Filipino	M	29
Capital Region	2006	French	F	138
Capital Region	2006	French	M	127
Capital Region	2006	German	F	502
Capital Region	2006	German	M	449
Capital Region	2006	Greek	F	278
Capital Region	2006	Greek	M	291
Capital Region	2006	Hindi	F	57
Capital Region	2006	Hindi	M	54
Capital Region	2006	Indonesian	F	73
Capital Region	2006	Indonesian	M	54
Capital Region	2006	Italian	F	538
Capital Region	2006	Italian	M	641
Capital Region	2006	Japanese	F	48
Capital Region	2006	Japanese	M	39
Capital Region	2006	Korean	F	17
Capital Region	2006	Korean	M	20
Capital Region	2006	Macedonian	F	496
Capital Region	2006	Macedonian	M	531
Capital Region	2006	Persian_includes_Dari	F	10
Capital Region	2006	Persian_includes_Dari	M	19
Capital Region	2006	Polish	F	129
Capital Region	2006	Polish	M	103
Capital Region	2006	Punjabi	F	17
Capital Region	2006	Punjabi	M	18
Capital Region	2006	Russian	F	66
Capital Region	2006	Russian	M	53
Capital Region	2006	Samoan	F	29
Capital Region	2006	Samoan	M	26
Capital Region	2006	Serbian	F	189
Capital Region	2006	Serbian	M	211
Capital Region	2006	Sinhalese	F	19
Capital Region	2006	Sinhalese	M	28
Capital Region	2006	Spanish	F	165
Capital Region	2006	Spanish	M	165
Capital Region	2006	Tagalog	F	107
Capital Region	2006	Tagalog	M	40
Capital Region	2006	Tamil	F	9
Capital Region	2006	Tamil	M	25
Capital Region	2006	Thai	F	66
Capital Region	2006	Thai	M	33
Capital Region	2006	Turkish	F	23
Capital Region	2006	Turkish	M	29
Capital Region	2006	Urdu	F	17
Capital Region	2006	Urdu	M	13
Capital Region	2006	Vietnamese	F	85
Capital Region	2006	Vietnamese	M	91
Capital Region	2011		F	4707
Capital Region	2011		M	5978
Capital Region	2011	(Other)	F	1018
Capital Region	2011	(Other)	M	998
Capital Region	2011	Afrikaans	F	54
Capital Region	2011	Afrikaans	M	50
Capital Region	2011	Arabic	F	166
Capital Region	2011	Arabic	M	218
Capital Region	2011	Australian_Indigenous_Languages	F	36
Capital Region	2011	Australian_Indigenous_Languages	M	38
Capital Region	2011	Chinese_languages_Bengali	F	42
Capital Region	2011	Chinese_languages_Bengali	M	55
Capital Region	2011	Chinese_languages_Cantonese	F	134
Capital Region	2011	Chinese_languages_Cantonese	M	128
Capital Region	2011	Chinese_languages_Mandarin	F	183
Capital Region	2011	Chinese_languages_Mandarin	M	127
Capital Region	2011	Chinese_languages_Other	F	28
Capital Region	2011	Chinese_languages_Other	M	29
Capital Region	2011	Croatian	F	252
Capital Region	2011	Croatian	M	265
