STE_NAME16	Year	DwellingStructure	UsualResidents.min	occupied_private_dwellings
New South Wales	2006		1	505
New South Wales	2006		2	479
New South Wales	2006		3	224
New South Wales	2006		4	214
New South Wales	2006		5	81
New South Wales	2006		6	48
New South Wales	2006	(Other)	1	13542
New South Wales	2006	(Other)	2	7873
New South Wales	2006	(Other)	3	1941
New South Wales	2006	(Other)	4	1445
New South Wales	2006	(Other)	5	589
New South Wales	2006	(Other)	6	312
New South Wales	2006	Flat/apartment	1	183885
New South Wales	2006	Flat/apartment	2	143851
New South Wales	2006	Flat/apartment	3	49183
New South Wales	2006	Flat/apartment	4	25425
New South Wales	2006	Flat/apartment	5	6910
New South Wales	2006	Flat/apartment	6	2538
New South Wales	2006	Semi-detached, row/terrace house, townhouse etc.	1	73824
New South Wales	2006	Semi-detached, row/terrace house, townhouse etc.	2	77940
New South Wales	2006	Semi-detached, row/terrace house, townhouse etc.	3	35558
New South Wales	2006	Semi-detached, row/terrace house, townhouse etc.	4	26147
New South Wales	2006	Semi-detached, row/terrace house, townhouse etc.	5	8818
New South Wales	2006	Semi-detached, row/terrace house, townhouse etc.	6	4270
New South Wales	2006	Separate house	1	290867
New South Wales	2006	Separate house	2	542110
New South Wales	2006	Separate house	3	284772
New South Wales	2006	Separate house	4	318257
New South Wales	2006	Separate house	5	152903
New South Wales	2006	Separate house	6	73711
New South Wales	2011		1	1414
New South Wales	2011		2	1012
New South Wales	2011		3	416
New South Wales	2011		4	289
New South Wales	2011		5	143
New South Wales	2011		6	65
New South Wales	2011	(Other)	1	11295
New South Wales	2011	(Other)	2	6484
New South Wales	2011	(Other)	3	1588
New South Wales	2011	(Other)	4	1054
New South Wales	2011	(Other)	5	409
New South Wales	2011	(Other)	6	312
New South Wales	2011	Flat/apartment	1	193121
New South Wales	2011	Flat/apartment	2	163021
New South Wales	2011	Flat/apartment	3	62584
New South Wales	2011	Flat/apartment	4	33845
New South Wales	2011	Flat/apartment	5	9174
New South Wales	2011	Flat/apartment	6	3440
New South Wales	2011	Semi-detached, row/terrace house, townhouse etc.	1	85267
New South Wales	2011	Semi-detached, row/terrace house, townhouse etc.	2	85802
New South Wales	2011	Semi-detached, row/terrace house, townhouse etc.	3	42082
New South Wales	2011	Semi-detached, row/terrace house, townhouse etc.	4	33189
New South Wales	2011	Semi-detached, row/terrace house, townhouse etc.	5	11839
New South Wales	2011	Semi-detached, row/terrace house, townhouse etc.	6	5746
New South Wales	2011	Separate house	1	308054
New South Wales	2011	Separate house	2	558365
New South Wales	2011	Separate house	3	290370
New South Wales	2011	Separate house	4	324586
New South Wales	2011	Separate house	5	155648
New South Wales	2011	Separate house	6	80671
New South Wales	2016		1	5883
New South Wales	2016		2	4266
New South Wales	2016		3	1628
New South Wales	2016		4	1224
New South Wales	2016		5	648
New South Wales	2016		6	429
New South Wales	2016	(Other)	1	11227
New South Wales	2016	(Other)	2	7288
New South Wales	2016	(Other)	3	2277
New South Wales	2016	(Other)	4	1553
New South Wales	2016	(Other)	5	743
New South Wales	2016	(Other)	6	496
New South Wales	2016	Flat/apartment	1	192643
New South Wales	2016	Flat/apartment	2	182471
New South Wales	2016	Flat/apartment	3	79636
New South Wales	2016	Flat/apartment	4	45947
New South Wales	2016	Flat/apartment	5	12973
New South Wales	2016	Flat/apartment	6	5703
New South Wales	2016	Semi-detached, row/terrace house, townhouse etc.	1	103683
New South Wales	2016	Semi-detached, row/terrace house, townhouse etc.	2	96321
New South Wales	2016	Semi-detached, row/terrace house, townhouse etc.	3	50380
New South Wales	2016	Semi-detached, row/terrace house, townhouse etc.	4	43800
New South Wales	2016	Semi-detached, row/terrace house, townhouse etc.	5	15612
New South Wales	2016	Semi-detached, row/terrace house, townhouse etc.	6	7652
New South Wales	2016	Separate house	1	307344
New South Wales	2016	Separate house	2	551952
New South Wales	2016	Separate house	3	291028
New South Wales	2016	Separate house	4	330274
New South Wales	2016	Separate house	5	159601
New South Wales	2016	Separate house	6	89612
Victoria	2006		1	149
Victoria	2006		2	127
Victoria	2006		3	44
Victoria	2006		4	42
Victoria	2006		5	18
Victoria	2006		6	8
Victoria	2006	(Other)	1	6627
Victoria	2006	(Other)	2	3594
Victoria	2006	(Other)	3	1082
Victoria	2006	(Other)	4	939
Victoria	2006	(Other)	5	386
Victoria	2006	(Other)	6	216
Victoria	2006	Flat/apartment	1	115441
Victoria	2006	Flat/apartment	2	75426
Victoria	2006	Flat/apartment	3	20807
Victoria	2006	Flat/apartment	4	9166
Victoria	2006	Flat/apartment	5	2588
Victoria	2006	Flat/apartment	6	1112
Victoria	2006	Semi-detached, row/terrace house, townhouse etc.	1	60332
Victoria	2006	Semi-detached, row/terrace house, townhouse etc.	2	58229
Victoria	2006	Semi-detached, row/terrace house, townhouse etc.	3	22605
Victoria	2006	Semi-detached, row/terrace house, townhouse etc.	4	15205
Victoria	2006	Semi-detached, row/terrace house, townhouse etc.	5	4764
Victoria	2006	Semi-detached, row/terrace house, townhouse etc.	6	1830
Victoria	2006	Separate house	1	253905
Victoria	2006	Separate house	2	453891
Victoria	2006	Separate house	3	239098
Victoria	2006	Separate house	4	265428
Victoria	2006	Separate house	5	119060
Victoria	2006	Separate house	6	49544
Victoria	2011		1	260
Victoria	2011		2	274
Victoria	2011		3	110
Victoria	2011		4	98
Victoria	2011		5	34
Victoria	2011		6	15
Victoria	2011	(Other)	1	6430
Victoria	2011	(Other)	2	3315
Victoria	2011	(Other)	3	937
Victoria	2011	(Other)	4	632
Victoria	2011	(Other)	5	235
Victoria	2011	(Other)	6	139
Victoria	2011	Flat/apartment	1	120637
Victoria	2011	Flat/apartment	2	87894
Victoria	2011	Flat/apartment	3	26087
Victoria	2011	Flat/apartment	4	11364
Victoria	2011	Flat/apartment	5	3149
Victoria	2011	Flat/apartment	6	1362
