STE_NAME16	Year	IndustryOfEmployment	workers
New South Wales	2006		77191
New South Wales	2006	Accommodation and food services	190455
New South Wales	2006	Administrative and support services	90433
New South Wales	2006	Agriculture forestry and fishing	78659
New South Wales	2006	Arts and recreation services	39578
New South Wales	2006	Construction	212728
New South Wales	2006	Education and training	219678
New South Wales	2006	Electricity gas water and waste services	29186
New South Wales	2006	Financial and insurance services	144866
New South Wales	2006	Health care and social assistance	304340
New South Wales	2006	Information media and telecommunications	68978
New South Wales	2006	Manufacturing	277985
New South Wales	2006	Mining	20314
New South Wales	2006	Other services	110093
New South Wales	2006	Professional scientific and technical services	213253
New South Wales	2006	Public administration and safety	174915
New South Wales	2006	Rental hiring and real estate services	50584
New South Wales	2006	Retail trade	323928
New South Wales	2006	Transport postal and warehousing	145518
New South Wales	2006	Wholesale trade	136759
New South Wales	2011		77458
New South Wales	2011	Accommodation and food services	210379
New South Wales	2011	Administrative and support services	102355
New South Wales	2011	Agriculture forestry and fishing	69576
New South Wales	2011	Arts and recreation services	46332
New South Wales	2011	Construction	230057
New South Wales	2011	Education and training	248951
New South Wales	2011	Electricity gas water and waste services	34205
New South Wales	2011	Financial and insurance services	158422
New South Wales	2011	Health care and social assistance	364321
New South Wales	2011	Information media and telecommunications	72489
New South Wales	2011	Manufacturing	264867
New South Wales	2011	Mining	31185
New South Wales	2011	Other services	117616
New South Wales	2011	Professional scientific and technical services	247292
New South Wales	2011	Public administration and safety	192635
New South Wales	2011	Rental hiring and real estate services	51551
New South Wales	2011	Retail trade	324725
New South Wales	2011	Transport postal and warehousing	155024
New South Wales	2011	Wholesale trade	138891
New South Wales	2016		159108
New South Wales	2016	Accommodation and food services	239222
New South Wales	2016	Administrative and support services	117482
New South Wales	2016	Agriculture forestry and fishing	72625
New South Wales	2016	Arts and recreation services	51775
New South Wales	2016	Construction	282491
New South Wales	2016	Education and training	282568
New South Wales	2016	Electricity gas water and waste services	31881
New South Wales	2016	Financial and insurance services	167259
New South Wales	2016	Health care and social assistance	422195
New South Wales	2016	Information media and telecommunications	73398
New South Wales	2016	Manufacturing	197331
New South Wales	2016	Mining	31736
New South Wales	2016	Other services	124477
New South Wales	2016	Professional scientific and technical services	274078
New South Wales	2016	Public administration and safety	204173
New South Wales	2016	Rental hiring and real estate services	59652
New South Wales	2016	Retail trade	326396
New South Wales	2016	Transport postal and warehousing	158760
New South Wales	2016	Wholesale trade	103722
Victoria	2006		59431
Victoria	2006	Accommodation and food services	131840
Victoria	2006	Administrative and support services	74923
Victoria	2006	Agriculture forestry and fishing	63711
Victoria	2006	Arts and recreation services	35650
Victoria	2006	Construction	171463
Victoria	2006	Education and training	174423
Victoria	2006	Electricity gas water and waste services	20014
Victoria	2006	Financial and insurance services	92293
Victoria	2006	Health care and social assistance	236552
Victoria	2006	Information media and telecommunications	49935
Victoria	2006	Manufacturing	287108
Victoria	2006	Mining	6276
Victoria	2006	Other services	81642
Victoria	2006	Professional scientific and technical services	161615
Victoria	2006	Public administration and safety	116969
Victoria	2006	Rental hiring and real estate services	30775
Victoria	2006	Retail trade	263447
Victoria	2006	Transport postal and warehousing	103816
Victoria	2006	Wholesale trade	112550
Victoria	2011		61173
Victoria	2011	Accommodation and food services	153898
Victoria	2011	Administrative and support services	83188
Victoria	2011	Agriculture forestry and fishing	57052
Victoria	2011	Arts and recreation services	43609
Victoria	2011	Construction	210972
Victoria	2011	Education and training	202317
Victoria	2011	Electricity gas water and waste services	27630
Victoria	2011	Financial and insurance services	104701
Victoria	2011	Health care and social assistance	292417
Victoria	2011	Information media and telecommunications	50091
Victoria	2011	Manufacturing	271051
Victoria	2011	Mining	9118
Victoria	2011	Other services	91147
Victoria	2011	Professional scientific and technical services	196236
Victoria	2011	Public administration and safety	134949
Victoria	2011	Rental hiring and real estate services	35046
Victoria	2011	Retail trade	273715
Victoria	2011	Transport postal and warehousing	118214
Victoria	2011	Wholesale trade	114091
Victoria	2016		129326
Victoria	2016	Accommodation and food services	180825
Victoria	2016	Administrative and support services	93315
Victoria	2016	Agriculture forestry and fishing	60913
Victoria	2016	Arts and recreation services	52765
Victoria	2016	Construction	228149
Victoria	2016	Education and training	236276
Victoria	2016	Electricity gas water and waste services	30808
Victoria	2016	Financial and insurance services	106669
Victoria	2016	Health care and social assistance	341999
Victoria	2016	Information media and telecommunications	52200
Victoria	2016	Manufacturing	212723
Victoria	2016	Mining	9139
Victoria	2016	Other services	98254
Victoria	2016	Professional scientific and technical services	217402
Victoria	2016	Public administration and safety	144321
Victoria	2016	Rental hiring and real estate services	43013
Victoria	2016	Retail trade	279636
Victoria	2016	Transport postal and warehousing	130069
Victoria	2016	Wholesale trade	88321
Queensland	2006		48802
Queensland	2006	Accommodation and food services	127629
Queensland	2006	Administrative and support services	55705
Queensland	2006	Agriculture forestry and fishing	61733
Queensland	2006	Arts and recreation services	24626
Queensland	2006	Construction	164938
Queensland	2006	Education and training	139089
Queensland	2006	Electricity gas water and waste services	18541
Queensland	2006	Financial and insurance services	52036
Queensland	2006	Health care and social assistance	186335
Queensland	2006	Information media and telecommunications	26345
Queensland	2006	Manufacturing	180214
Queensland	2006	Mining	30721
Queensland	2006	Other services	68361
Queensland	2006	Professional scientific and technical services	102413
Queensland	2006	Public administration and safety	122416
Queensland	2006	Rental hiring and real estate services	37982
Queensland	2006	Retail trade	212422
Queensland	2006	Transport postal and warehousing	92611
Queensland	2006	Wholesale trade	72075
Queensland	2011		48060
Queensland	2011	Accommodation and food services	141855
Queensland	2011	Administrative and support services	65015
