STE_NAME16	Year	LanguageSpoken	Sex	persons
New South Wales	2006		F	180806
New South Wales	2006		M	207143
New South Wales	2006	(Other)	F	94502
New South Wales	2006	(Other)	M	93640
New South Wales	2006	Afrikaans	F	1837
New South Wales	2006	Afrikaans	M	1761
New South Wales	2006	Arabic	F	80843
New South Wales	2006	Arabic	M	84142
New South Wales	2006	Australian_Indigenous_Languages	F	967
New South Wales	2006	Australian_Indigenous_Languages	M	977
New South Wales	2006	Chinese_languages_Bengali	F	5407
New South Wales	2006	Chinese_languages_Bengali	M	7586
New South Wales	2006	Chinese_languages_Cantonese	F	68565
New South Wales	2006	Chinese_languages_Cantonese	M	61039
New South Wales	2006	Chinese_languages_Mandarin	F	53564
New South Wales	2006	Chinese_languages_Mandarin	M	47029
New South Wales	2006	Chinese_languages_Other	F	7145
New South Wales	2006	Chinese_languages_Other	M	6228
New South Wales	2006	Croatian	F	11879
New South Wales	2006	Croatian	M	11727
New South Wales	2006	Dutch	F	4750
New South Wales	2006	Dutch	M	3963
New South Wales	2006	English	F	2462813
New South Wales	2006	English	M	2383863
New South Wales	2006	Filipino	F	10697
New South Wales	2006	Filipino	M	7566
New South Wales	2006	French	F	7987
New South Wales	2006	French	M	7202
New South Wales	2006	German	F	12002
New South Wales	2006	German	M	10106
New South Wales	2006	Greek	F	43878
New South Wales	2006	Greek	M	42278
New South Wales	2006	Hindi	F	18826
New South Wales	2006	Hindi	M	19323
New South Wales	2006	Indonesian	F	10158
New South Wales	2006	Indonesian	M	8902
New South Wales	2006	Italian	F	44595
New South Wales	2006	Italian	M	42703
New South Wales	2006	Japanese	F	7385
New South Wales	2006	Japanese	M	5139
New South Wales	2006	Korean	F	19344
New South Wales	2006	Korean	M	17342
New South Wales	2006	Macedonian	F	14381
New South Wales	2006	Macedonian	M	14564
New South Wales	2006	Persian_includes_Dari	F	5368
New South Wales	2006	Persian_includes_Dari	M	5566
New South Wales	2006	Polish	F	8577
New South Wales	2006	Polish	M	6919
New South Wales	2006	Punjabi	F	4647
New South Wales	2006	Punjabi	M	5727
New South Wales	2006	Russian	F	7946
New South Wales	2006	Russian	M	6110
New South Wales	2006	Samoan	F	6629
New South Wales	2006	Samoan	M	6278
New South Wales	2006	Serbian	F	10884
New South Wales	2006	Serbian	M	10730
New South Wales	2006	Sinhalese	F	3351
New South Wales	2006	Sinhalese	M	3376
New South Wales	2006	Spanish	F	26144
New South Wales	2006	Spanish	M	23418
New South Wales	2006	Tagalog	F	16983
New South Wales	2006	Tagalog	M	12235
New South Wales	2006	Tamil	F	7821
New South Wales	2006	Tamil	M	7921
New South Wales	2006	Thai	F	6367
New South Wales	2006	Thai	M	3920
New South Wales	2006	Turkish	F	10171
New South Wales	2006	Turkish	M	10421
New South Wales	2006	Urdu	F	4827
New South Wales	2006	Urdu	M	5713
New South Wales	2006	Vietnamese	F	38694
New South Wales	2006	Vietnamese	M	35893
New South Wales	2011		F	162158
New South Wales	2011		M	187825
New South Wales	2011	(Other)	F	119915
New South Wales	2011	(Other)	M	119782
New South Wales	2011	Afrikaans	F	3137
New South Wales	2011	Afrikaans	M	3092
New South Wales	2011	Arabic	F	90595
New South Wales	2011	Arabic	M	93661
New South Wales	2011	Australian_Indigenous_Languages	F	661
New South Wales	2011	Australian_Indigenous_Languages	M	640
New South Wales	2011	Chinese_languages_Bengali	F	9448
New South Wales	2011	Chinese_languages_Bengali	M	12035
New South Wales	2011	Chinese_languages_Cantonese	F	72451
New South Wales	2011	Chinese_languages_Cantonese	M	63921
New South Wales	2011	Chinese_languages_Mandarin	F	75690
New South Wales	2011	Chinese_languages_Mandarin	M	64134
New South Wales	2011	Chinese_languages_Other	F	10156
New South Wales	2011	Chinese_languages_Other	M	9122
New South Wales	2011	Croatian	F	11719
New South Wales	2011	Croatian	M	11165
New South Wales	2011	Dutch	F	5113
New South Wales	2011	Dutch	M	4175
New South Wales	2011	English	F	2543331
New South Wales	2011	English	M	2470013
New South Wales	2011	Filipino	F	12448
New South Wales	2011	Filipino	M	8662
