STE_NAME16	Year	SameAddress1YearAgo	persons
New South Wales	2006		482328
New South Wales	2006	0	927019
New South Wales	2006	1	5139827
New South Wales	2011		438797
New South Wales	2011	0	946007
New South Wales	2011	1	5532852
New South Wales	2016		690992
New South Wales	2016	0	1070271
New South Wales	2016	1	5718965
Victoria	2006		329029
Victoria	2006	0	675699
Victoria	2006	1	3927694
Victoria	2011		309031
Victoria	2011	0	739460
Victoria	2011	1	4305548
Victoria	2016		538449
Victoria	2016	0	860618
Victoria	2016	1	4527557
Queensland	2006		289664
Queensland	2006	0	759133
Queensland	2006	1	2855734
Queensland	2011		289854
Queensland	2011	0	764693
Queensland	2011	1	3278190
Queensland	2016		466159
Queensland	2016	0	813045
Queensland	2016	1	3423989
South Australia	2006		87668
South Australia	2006	0	210723
South Australia	2006	1	1215949
South Australia	2011		82554
South Australia	2011	0	215028
South Australia	2011	1	1298987
South Australia	2016		141675
South Australia	2016	0	221485
South Australia	2016	1	1313493
Western Australia	2006		157286
Western Australia	2006	0	357739
Western Australia	2006	1	1444062
Western Australia	2011		167398
Western Australia	2011	0	369200
Western Australia	2011	1	1702573
Western Australia	2016		251222
Western Australia	2016	0	393496
Western Australia	2016	1	1829692
Tasmania	2006		28394
Tasmania	2006	0	69282
Tasmania	2006	1	378805
Tasmania	2011		25494
Tasmania	2011	0	67891
Tasmania	2011	1	401966
Tasmania	2016		47671
Tasmania	2016	0	66816
Tasmania	2016	1	395478
Northern Territory	2006		22974
Northern Territory	2006	0	38930
Northern Territory	2006	1	130995
Northern Territory	2011		24155
Northern Territory	2011	0	39816
Northern Territory	2011	1	147972
Northern Territory	2016		33891
Northern Territory	2016	0	42802
Northern Territory	2016	1	152140
Australian Capital Territory	2006		19052
Australian Capital Territory	2006	0	54264
Australian Capital Territory	2006	1	250718
Australian Capital Territory	2011		19214
Australian Capital Territory	2011	0	61408
Australian Capital Territory	2011	1	276596
Australian Capital Territory	2016		35638
Australian Capital Territory	2016	0	67174
Australian Capital Territory	2016	1	294585
Other Territories	2006		184
Other Territories	2006	0	350
Other Territories	2006	1	1786
Other Territories	2011		890
Other Territories	2011	0	381
Other Territories	2011	1	1758
Other Territories	2016		812
Other Territories	2016	0	581
Other Territories	2016	1	3194
