STE_NAME16	Year	Sex	persons
New South Wales	2006	F	3320726
New South Wales	2006	M	3228451
New South Wales	2011	F	3508782
New South Wales	2011	M	3408880
New South Wales	2016	F	3794217
New South Wales	2016	M	3686014
Victoria	2006	F	2512009
Victoria	2006	M	2420415
Victoria	2011	F	2721423
Victoria	2011	M	2632617
Victoria	2016	F	3018549
Victoria	2016	M	2908077
Queensland	2006	F	1969151
Queensland	2006	M	1935378
Queensland	2011	F	2184520
Queensland	2011	M	2148221
Queensland	2016	F	2381308
Queensland	2016	M	2321889
South Australia	2006	F	769131
South Australia	2006	M	745209
South Australia	2011	F	809351
South Australia	2011	M	787217
South Australia	2016	F	850652
South Australia	2016	M	825997
Western Australia	2006	F	982963
Western Australia	2006	M	976122
Western Australia	2011	F	1112991
Western Australia	2011	M	1126175
Western Australia	2016	F	1235994
Western Australia	2016	M	1238419
Tasmania	2006	F	243100
Tasmania	2006	M	233383
Tasmania	2011	F	252677
Tasmania	2011	M	242675
Tasmania	2016	F	260482
Tasmania	2016	M	249478
Northern Territory	2006	F	93532
Northern Territory	2006	M	99372
Northern Territory	2011	F	102428
Northern Territory	2011	M	109519
Northern Territory	2016	F	110266
Northern Territory	2016	M	118570
Australian Capital Territory	2006	F	164382
Australian Capital Territory	2006	M	159654
Australian Capital Territory	2011	F	180477
Australian Capital Territory	2011	M	176747
Australian Capital Territory	2016	F	201653
Australian Capital Territory	2016	M	195739
Other Territories	2006	F	1052
Other Territories	2006	M	1261
Other Territories	2011	F	1061
Other Territories	2011	M	1967
Other Territories	2016	F	2120
Other Territories	2016	M	2462
