STE_NAME16	Year	averageNumberOfPersonsPerBedroom
New South Wales	2006	0.8
Victoria	2006	0.8
Queensland	2006	0.8
South Australia	2006	0.8
Western Australia	2006	0.8
Tasmania	2006	0.8
Northern Territory	2006	1
Australian Capital Territory	2006	0.8
Other Territories	2006	0.9
New South Wales	2011	0.9
Victoria	2011	0.9
Queensland	2011	0.8
South Australia	2011	0.8
Western Australia	2011	0.8
Tasmania	2011	0.8
Northern Territory	2011	1
Australian Capital Territory	2011	0.8
Other Territories	2011	1
New South Wales	2016	0.9
Victoria	2016	0.9
Queensland	2016	0.8
South Australia	2016	0.8
Western Australia	2016	0.8
Tasmania	2016	0.8
Northern Territory	2016	1
Australian Capital Territory	2016	0.8
Other Territories	2016	0.9
